params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
K=512,fp16,0.0173,0.0026,0.0030,6.71,5.84,1.1538,0.0025,7.02,0.0341,0.0670,0.51
K=512,bf16,0.0172,0.0026,0.0031,6.72,5.53,1.1923,0.0025,6.94,0.0341,0.0671,0.51
K=512,fp32,0.0130,0.0037,0.0033,3.52,3.97,0.8919,0.0027,4.87,0.0338,0.0849,0.40
K=1024,fp16,0.0228,0.0028,0.0034,8.23,6.73,1.2143,0.0029,7.84,0.0439,0.0963,0.46
K=1024,bf16,0.0232,0.0030,0.0035,7.78,6.59,1.1667,0.0030,7.77,0.0441,0.1459,0.30
K=1024,fp32,0.0177,0.0036,0.0037,4.89,4.73,1.0278,0.0033,5.36,0.0462,0.1347,0.34
K=1536,fp16,0.0300,0.0032,0.0042,9.30,7.06,1.3125,0.0035,8.46,0.0531,0.1329,0.40
K=1536,bf16,0.0300,0.0031,0.0040,9.55,7.56,1.2903,0.0035,8.69,0.0530,0.1519,0.35
K=1536,fp32,0.0225,0.0055,0.0055,4.10,4.09,1.0000,0.0049,4.63,0.0679,0.1859,0.37
K=2048,fp16,0.0354,0.0038,0.0043,9.31,8.28,1.1316,0.0044,8.11,0.0642,0.1641,0.39
K=2048,bf16,0.0366,0.0037,0.0055,9.92,6.64,1.4865,0.0037,9.81,0.0641,0.1855,0.35
K=2048,fp32,0.0262,0.0067,0.0070,3.88,3.76,1.0448,0.0065,4.00,0.0750,0.2318,0.32
K=2560,fp16,0.0421,0.0044,0.0061,9.49,6.94,1.3864,0.0046,9.11,0.0761,0.1904,0.40
K=2560,bf16,0.0420,0.0054,0.0071,7.79,5.93,1.3148,0.0042,9.99,0.0761,0.2264,0.34
K=2560,fp32,0.0320,0.0084,0.0085,3.81,3.76,1.0119,0.0083,3.84,0.1105,0.2766,0.40
K=3072,fp16,0.0474,0.0056,0.0083,8.45,5.73,1.4821,0.0050,9.41,0.0877,0.2353,0.37
K=3072,bf16,0.0483,0.0057,0.0075,8.48,6.43,1.3158,0.0050,9.72,0.0877,0.2353,0.37
