params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=2500000,fp16,0.0032,0.0030,0.0031,1.07,1.01,1.0547,0.0036,0.90,3.0330,0.6229,4.87
n=2500000,bf16,0.0031,0.0035,0.0032,0.88,0.97,0.9123,0.0028,1.10,3.0326,0.6298,4.81
n=2500000,fp32,0.0042,0.0041,0.0042,1.02,0.98,1.0359,0.0038,1.10,3.1652,0.9579,3.30
n=5000000,fp16,0.0050,0.0057,0.0043,0.86,1.14,0.7576,0.0044,1.13,6.5373,1.3746,4.76
n=5000000,bf16,0.0048,0.0047,0.0044,1.04,1.09,0.9518,0.0041,1.18,6.5368,1.3853,4.72
n=5000000,fp32,0.0081,0.0081,0.0082,1.00,1.00,1.0056,0.0074,1.10,6.6449,2.6054,2.55
n=7500000,fp16,0.0067,0.0061,0.0061,1.10,1.10,1.0017,0.0067,0.99,9.1109,2.2252,4.09
n=7500000,bf16,0.0066,0.0060,0.0061,1.09,1.09,1.0051,0.0059,1.13,9.1117,2.2179,4.11
n=7500000,fp32,0.0115,0.0120,0.0117,0.96,0.99,0.9718,0.0115,1.00,9.7024,3.9259,2.47
n=10000000,fp16,0.0089,0.0082,0.0084,1.08,1.06,1.0245,0.0090,0.99,0.1172,0.3334,0.35
n=10000000,bf16,0.0087,0.0082,0.0089,1.07,0.98,1.0892,0.0080,1.09,0.1168,0.3203,0.36
n=10000000,fp32,0.0147,0.0146,0.0148,1.00,0.99,1.0096,0.0143,1.03,0.1629,0.5904,0.28
n=12500000,fp16,0.0105,0.0104,0.0107,1.01,0.98,1.0266,0.0108,0.97,16.3249,2.3640,6.91
n=12500000,bf16,0.0104,0.0104,0.0106,1.01,0.99,1.0189,0.0099,1.05,16.3248,2.4313,6.71
n=12500000,fp32,0.0176,0.0175,0.0177,1.00,0.99,1.0110,0.0175,1.01,16.3845,4.6375,3.53
n=15000000,fp16,0.0120,0.0114,0.0122,1.05,0.98,1.0727,0.0121,1.00,19.2266,3.6453,5.27
n=15000000,bf16,0.0121,0.0120,0.0117,1.01,1.03,0.9745,0.0116,1.04,19.2271,3.6462,5.27
n=15000000,fp32,0.0206,0.0206,0.0206,1.00,1.00,1.0017,0.0206,1.00,18.3154,11.6347,1.57
n=17500000,fp16,0.0144,0.0130,0.0132,1.11,1.09,1.0114,0.0141,1.02,22.8504,4.5953,4.97
n=17500000,bf16,0.0143,0.0129,0.0131,1.10,1.09,1.0088,0.0130,1.10,22.8503,4.6046,4.96
n=17500000,fp32,0.0234,0.0233,0.0234,1.00,1.00,1.0024,0.0229,1.02,21.3622,6.6725,3.20
n=20000000,fp16,0.0153,0.0152,0.0147,1.01,1.04,0.9649,0.0153,1.00,0.2085,0.6283,0.33
n=20000000,bf16,0.0153,0.0144,0.0146,1.06,1.05,1.0123,0.0147,1.04,0.2086,0.6197,0.34
n=20000000,fp32,0.0264,0.0265,0.0264,0.99,1.00,0.9979,0.0262,1.01,0.2993,1.1468,0.26
n=22500000,fp16,0.0171,0.0168,0.0163,1.02,1.05,0.9712,0.0169,1.01,28.3795,7.1137,3.99
n=22500000,bf16,0.0173,0.0161,0.0162,1.08,1.07,1.0062,0.0163,1.06,28.3791,7.0767,4.01
n=22500000,fp32,0.0292,0.0292,0.0292,1.00,1.00,0.9997,0.0292,1.00,29.7340,21.6666,1.37
n=25000000,fp16,0.0183,0.0175,0.0176,1.05,1.04,1.0079,0.0187,0.98,32.6290,7.9391,4.11
n=25000000,bf16,0.0185,0.0187,0.0189,0.99,0.98,1.0106,0.0177,1.05,32.6287,7.9216,4.12
n=25000000,fp32,0.0320,0.0320,0.0320,1.00,1.00,1.0006,0.0317,1.01,33.0196,23.5441,1.40
n=27500000,fp16,0.0200,0.0189,0.0191,1.06,1.05,1.0119,0.0200,1.00,35.8958,5.1608,6.96
n=27500000,bf16,0.0201,0.0189,0.0190,1.06,1.06,1.0038,0.0193,1.04,35.8948,5.1653,6.95
n=27500000,fp32,0.0352,0.0347,0.0355,1.01,0.99,1.0208,0.0353,1.00,36.2529,25.6046,1.42
n=30000000,fp16,0.0222,0.0215,0.0206,1.03,1.08,0.9586,0.0217,1.02,0.3013,0.9417,0.32
n=30000000,bf16,0.0222,0.0214,0.0204,1.04,1.09,0.9550,0.0205,1.08,0.3014,0.9365,0.32
n=30000000,fp32,0.0378,0.0377,0.0379,1.00,1.00,1.0051,0.0378,1.00,0.4460,1.7038,0.26
n=32500000,fp16,0.0232,0.0231,0.0223,1.01,1.04,0.9642,0.0233,1.00,42.4249,8.5537,4.96
n=32500000,bf16,0.0233,0.0232,0.0222,1.01,1.05,0.9563,0.0224,1.04,42.4260,8.5453,4.96
n=32500000,fp32,0.0407,0.0406,0.0412,1.00,0.99,1.0143,0.0410,0.99,42.7793,35.0798,1.22
n=35000000,fp16,0.0251,0.0235,0.0236,1.07,1.06,1.0077,0.0256,0.98,42.5997,6.7520,6.31
n=35000000,bf16,0.0250,0.0233,0.0235,1.07,1.06,1.0058,0.0233,1.07,42.5993,6.7306,6.33
n=35000000,fp32,0.0435,0.0434,0.0435,1.00,1.00,1.0024,0.0432,1.01,46.0630,32.5861,1.41
n=37500000,fp16,0.0264,0.0250,0.0252,1.05,1.05,1.0055,0.0265,1.00,48.9342,18.2967,2.67
n=37500000,bf16,0.0263,0.0249,0.0251,1.06,1.05,1.0073,0.0247,1.07,48.9326,12.1617,4.02
n=37500000,fp32,0.0464,0.0463,0.0470,1.00,0.99,1.0166,0.0463,1.00,49.3002,35.0167,1.41
n=40000000,fp16,0.0280,0.0279,0.0266,1.00,1.05,0.9563,0.0279,1.00,0.3968,1.2556,0.32
n=40000000,bf16,0.0280,0.0263,0.0263,1.07,1.07,0.9977,0.0259,1.08,0.3973,1.2512,0.32
n=40000000,fp32,0.0494,0.0494,0.0493,1.00,1.00,0.9975,0.0495,1.00,0.5633,2.2647,0.25
n=42500000,fp16,0.0302,0.0280,0.0282,1.08,1.07,1.0090,0.0298,1.01,53.5595,20.1644,2.66
n=42500000,bf16,0.0301,0.0278,0.0280,1.08,1.08,1.0070,0.0277,1.09,53.5591,20.1875,2.65
n=42500000,fp32,0.0522,0.0521,0.0522,1.00,1.00,1.0016,0.0525,0.99,55.8705,39.4889,1.41
n=45000000,fp16,0.0311,0.0295,0.0296,1.05,1.05,1.0051,0.0310,1.00,60.2557,22.2276,2.71
n=45000000,bf16,0.0313,0.0292,0.0292,1.07,1.07,0.9992,0.0290,1.08,60.2554,22.2844,2.70
n=45000000,fp32,0.0551,0.0550,0.0550,1.00,1.00,1.0013,0.0555,0.99,59.7616,41.9126,1.43
n=47500000,fp16,0.0329,0.0309,0.0309,1.07,1.07,1.0013,0.0329,1.00,63.5989,23.4449,2.71
n=47500000,bf16,0.0329,0.0305,0.0309,1.08,1.06,1.0130,0.0309,1.06,63.5981,23.4229,2.72
n=47500000,fp32,0.0578,0.0576,0.0578,1.00,1.00,1.0042,0.0578,1.00,65.1992,46.6972,1.40
n=50000000,fp16,0.0342,0.0323,0.0324,1.06,1.05,1.0046,0.0345,0.99,0.4868,1.5734,0.31
n=50000000,bf16,0.0340,0.0321,0.0323,1.06,1.05,1.0080,0.0320,1.06,0.4877,1.5692,0.31
n=50000000,fp32,0.0610,0.0609,0.0617,1.00,0.99,1.0130,0.0610,1.00,0.7159,2.8306,0.25
