params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
n=2500000,fp16,0.0032,0.0030,0.0032,1.05,0.98,1.0648,0.0030,1.06
n=2500000,bf16,0.0031,0.0030,0.0032,1.03,0.96,1.0750,0.0031,1.02
n=2500000,fp32,0.0044,0.0044,0.0045,1.01,0.98,1.0276,0.0045,1.00
n=5000000,fp16,0.0049,0.0045,0.0047,1.09,1.04,1.0429,0.0047,1.08
n=5000000,bf16,0.0048,0.0047,0.0049,1.03,0.99,1.0486,0.0046,1.13
n=5000000,fp32,0.0081,0.0081,0.0082,1.00,0.99,1.0085,0.0082,0.99
n=7500000,fp16,0.0068,0.0067,0.0069,1.01,0.98,1.0327,0.0067,1.01
n=7500000,bf16,0.0066,0.0066,0.0068,1.01,0.98,1.0338,0.0067,1.01
n=7500000,fp32,0.0114,0.0114,0.0116,1.00,0.98,1.0144,0.0116,0.99
n=10000000,fp16,0.0087,0.0087,0.0089,1.00,0.98,1.0256,0.0088,1.00
n=10000000,bf16,0.0088,0.0087,0.0089,1.01,0.99,1.0186,0.0087,1.03
n=10000000,fp32,0.0145,0.0145,0.0145,1.00,1.00,1.0028,0.0147,0.99
n=12500000,fp16,0.0105,0.0104,0.0107,1.01,0.98,1.0300,0.0108,0.96
n=12500000,bf16,0.0104,0.0103,0.0106,1.01,0.98,1.0262,0.0104,1.00
n=12500000,fp32,0.0175,0.0174,0.0175,1.00,1.00,1.0027,0.0178,0.98
n=15000000,fp16,0.0120,0.0120,0.0124,1.00,0.97,1.0324,0.0121,1.00
n=15000000,bf16,0.0121,0.0121,0.0124,1.00,0.98,1.0247,0.0120,1.01
n=15000000,fp32,0.0208,0.0208,0.0209,1.00,1.00,1.0041,0.0206,1.00
n=17500000,fp16,0.0142,0.0135,0.0139,1.05,1.02,1.0277,0.0137,1.05
n=17500000,bf16,0.0136,0.0136,0.0140,1.01,0.98,1.0300,0.0137,1.04
n=17500000,fp32,0.0235,0.0233,0.0233,1.01,1.01,1.0017,0.0235,0.99
n=20000000,fp16,0.0153,0.0151,0.0156,1.01,0.98,1.0334,0.0154,1.00
n=20000000,bf16,0.0153,0.0151,0.0156,1.01,0.98,1.0312,0.0154,1.00
n=20000000,fp32,0.0264,0.0264,0.0263,1.00,1.00,0.9982,0.0264,1.00
n=22500000,fp16,0.0171,0.0167,0.0173,1.03,0.99,1.0321,0.0169,1.01
n=22500000,bf16,0.0172,0.0168,0.0173,1.02,0.99,1.0293,0.0170,1.01
n=22500000,fp32,0.0291,0.0291,0.0291,1.00,1.00,1.0008,0.0293,1.00
n=25000000,fp16,0.0185,0.0183,0.0189,1.01,0.98,1.0321,0.0185,1.00
n=25000000,bf16,0.0184,0.0182,0.0188,1.01,0.97,1.0352,0.0186,1.00
n=25000000,fp32,0.0321,0.0320,0.0320,1.00,1.00,1.0006,0.0321,1.00
n=27500000,fp16,0.0200,0.0199,0.0205,1.01,0.98,1.0292,0.0202,1.00
n=27500000,bf16,0.0201,0.0200,0.0206,1.01,0.98,1.0313,0.0201,1.00
n=27500000,fp32,0.0350,0.0350,0.0349,1.00,1.00,0.9990,0.0351,1.00
n=30000000,fp16,0.0223,0.0215,0.0222,1.04,1.00,1.0325,0.0218,1.02
n=30000000,bf16,0.0226,0.0216,0.0223,1.05,1.01,1.0325,0.0217,1.02
n=30000000,fp32,0.0379,0.0378,0.0379,1.00,1.00,1.0008,0.0380,1.00
n=32500000,fp16,0.0233,0.0232,0.0240,1.00,0.97,1.0321,0.0234,1.00
n=32500000,bf16,0.0234,0.0232,0.0239,1.01,0.98,1.0328,0.0232,1.00
n=32500000,fp32,0.0408,0.0407,0.0408,1.00,1.00,1.0004,0.0408,1.00
n=35000000,fp16,0.0252,0.0248,0.0256,1.02,0.99,1.0320,0.0250,1.01
n=35000000,bf16,0.0250,0.0246,0.0254,1.02,0.99,1.0339,0.0249,1.01
n=35000000,fp32,0.0438,0.0437,0.0438,1.00,1.00,1.0036,0.0436,1.00
n=37500000,fp16,0.0263,0.0262,0.0270,1.01,0.97,1.0332,0.0264,1.00
n=37500000,bf16,0.0265,0.0264,0.0272,1.01,0.97,1.0322,0.0265,1.00
n=37500000,fp32,0.0470,0.0469,0.0469,1.00,1.00,1.0015,0.0465,1.00
n=40000000,fp16,0.0280,0.0278,0.0287,1.01,0.97,1.0341,0.0281,1.00
n=40000000,bf16,0.0281,0.0279,0.0288,1.01,0.98,1.0319,0.0278,1.00
n=40000000,fp32,0.0491,0.0490,0.0491,1.00,1.00,1.0014,0.0493,1.00
n=42500000,fp16,0.0302,0.0293,0.0303,1.03,1.00,1.0334,0.0298,1.02
n=42500000,bf16,0.0301,0.0293,0.0304,1.03,0.99,1.0356,0.0297,1.02
n=42500000,fp32,0.0521,0.0519,0.0519,1.00,1.00,0.9997,0.0522,1.00
n=45000000,fp16,0.0310,0.0308,0.0319,1.01,0.97,1.0350,0.0311,1.00
n=45000000,bf16,0.0311,0.0309,0.0319,1.01,0.97,1.0347,0.0312,1.00
n=45000000,fp32,0.0550,0.0549,0.0552,1.00,1.00,1.0051,0.0551,1.00
n=47500000,fp16,0.0329,0.0324,0.0336,1.02,0.98,1.0358,0.0326,1.00
n=47500000,bf16,0.0331,0.0325,0.0336,1.02,0.98,1.0339,0.0328,1.00
n=47500000,fp32,0.0577,0.0578,0.0578,1.00,1.00,1.0003,0.0580,1.00
n=50000000,fp16,0.0340,0.0340,0.0351,1.00,0.97,1.0334,0.0343,1.00
n=50000000,bf16,0.0343,0.0340,0.0351,1.01,0.98,1.0325,0.0341,1.00
n=50000000,fp32,0.0609,0.0609,0.0609,1.00,1.00,0.9992,0.0609,1.00
