params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
"D=32, M=1024",fp32,0.0360,0.0371,0.1570,0.97,0.23,4.2360,0.0560,0.64
"D=64, M=1024",fp32,0.0381,0.0384,0.1907,0.99,0.20,4.9737,0.1070,0.36
"D=128, M=1024",fp32,0.0368,0.0400,0.2020,0.92,0.18,5.0456,0.2733,0.13
"D=256, M=1024",fp32,0.0397,0.0448,0.2216,0.89,0.18,4.9456,0.7632,0.05
"D=32, M=2048",fp32,0.0392,0.0556,0.3062,0.70,0.13,5.5057,0.0756,0.52
"D=64, M=2048",fp32,0.0397,0.0594,0.3721,0.67,0.11,6.2640,0.1444,0.27
"D=128, M=2048",fp32,0.0428,0.0620,0.3872,0.69,0.11,6.2496,0.4140,0.10
"D=256, M=2048",fp32,0.0465,0.0666,0.4110,0.70,0.11,6.1729,1.2999,0.04
"D=32, M=4096",fp32,0.0386,0.0943,0.6032,0.41,0.06,6.3947,0.1057,0.37
"D=64, M=4096",fp32,0.0415,0.0991,0.7221,0.42,0.06,7.2871,0.2141,0.19
"D=128, M=4096",fp32,0.0519,0.1049,0.7600,0.49,0.07,7.2454,0.6701,0.08
"D=256, M=4096",fp32,0.0586,0.1144,0.8207,0.51,0.07,7.1722,2.2887,0.03
"D=32, M=8192",fp32,0.0444,0.1721,1.1947,0.26,0.04,6.9415,0.1774,0.25
"D=64, M=8192",fp32,0.0487,0.1783,1.4349,0.27,0.03,8.0484,0.3704,0.13
"D=128, M=8192",fp32,0.0607,0.1903,1.5083,0.32,0.04,7.9258,1.1979,0.05
"D=256, M=8192",fp32,0.0810,0.2070,1.6054,0.39,0.05,7.7551,4.3269,0.02
"D=32, M=10000",fp32,0.0473,0.2082,1.4603,0.23,0.03,7.0142,0.3621,0.13
"D=64, M=10000",fp32,0.0524,0.2183,1.7469,0.24,0.03,8.0008,0.5246,0.10
"D=128, M=10000",fp32,0.0677,0.2314,1.8434,0.29,0.04,7.9668,1.5307,0.04
"D=256, M=10000",fp32,0.0933,0.2566,1.9628,0.36,0.05,7.6485,5.3240,0.02
