params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
"D=32, M=1024",fp32,0.0457,0.0552,0.1702,0.83,0.27
"D=64, M=1024",fp32,0.0426,0.1198,0.4043,0.36,0.11
"D=128, M=1024",fp32,0.0426,0.2931,1.0187,0.15,0.04
"D=256, M=1024",fp32,0.0588,0.8272,3.0277,0.07,0.02
"D=32, M=2048",fp32,0.0551,0.0673,0.2103,0.82,0.26
"D=64, M=2048",fp32,0.0569,0.1540,0.5501,0.37,0.10
"D=128, M=2048",fp32,0.0618,0.4211,1.5390,0.15,0.04
"D=256, M=2048",fp32,0.0721,1.3281,5.0410,0.05,0.01
"D=32, M=4096",fp32,0.0631,0.0890,0.3005,0.71,0.21
"D=64, M=4096",fp32,0.0699,0.2234,0.8381,0.31,0.08
"D=128, M=4096",fp32,0.0776,0.6825,2.5936,0.11,0.03
"D=256, M=4096",fp32,0.0963,2.3385,9.0792,0.04,0.01
"D=32, M=8192",fp32,0.0609,0.1392,0.4763,0.44,0.13
"D=64, M=8192",fp32,0.0666,0.3635,1.4283,0.18,0.05
"D=128, M=8192",fp32,0.1042,1.2006,4.6836,0.09,0.02
"D=256, M=8192",fp32,0.1356,4.3515,17.1482,0.03,0.01
"D=32, M=10000",fp32,0.0683,0.1569,0.5603,0.44,0.12
"D=64, M=10000",fp32,0.0758,0.4247,1.6917,0.18,0.04
"D=128, M=10000",fp32,0.1182,1.4542,5.5878,0.08,0.02
"D=256, M=10000",fp32,0.1587,5.4087,20.7840,0.03,0.01
