params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
K=1024,fp32,0.0511,0.0706,0.0620,0.72,0.82,0.8780,0.1627,0.31
K=1024,fp16,0.0260,0.0363,0.0324,0.72,0.80,0.8912,0.0433,0.60
K=1024,fp8_e4m3fn,0.0395,0.0213,0.0186,1.86,2.13,0.8740,0.0289,1.37
K=2048,fp32,0.0901,0.1374,0.1025,0.66,0.88,0.7460,0.3045,0.30
K=2048,fp16,0.0457,0.0592,0.0523,0.77,0.87,0.8828,0.0725,0.63
K=2048,fp8_e4m3fn,0.0457,0.0326,0.0288,1.40,1.59,0.8839,0.0442,1.03
K=3072,fp32,0.1316,0.2142,0.1438,0.61,0.92,0.6714,0.4490,0.29
K=3072,fp16,0.0675,0.0843,0.0726,0.80,0.93,0.8616,0.1011,0.67
K=3072,fp8_e4m3fn,0.0552,0.0434,0.0382,1.27,1.44,0.8821,0.0584,0.95
K=4096,fp32,0.1773,0.2811,0.1836,0.63,0.97,0.6531,0.5951,0.30
K=4096,fp16,0.0914,0.1118,0.0946,0.82,0.97,0.8457,0.1290,0.71
K=4096,fp8_e4m3fn,0.0660,0.0547,0.0480,1.21,1.38,0.8772,0.0729,0.90
K=5120,fp32,0.2223,0.3521,0.2251,0.63,0.99,0.6392,0.7433,0.30
K=5120,fp16,0.1163,0.1382,0.1178,0.84,0.99,0.8523,0.1595,0.73
K=5120,fp8_e4m3fn,0.0778,0.0663,0.0579,1.17,1.34,0.8740,0.0877,0.89
K=6144,fp32,0.2676,0.4110,0.2684,0.65,1.00,0.6530,0.8943,0.30
K=6144,fp16,0.1417,0.1634,0.1413,0.87,1.00,0.8648,0.1909,0.74
K=6144,fp8_e4m3fn,0.0895,0.0792,0.0681,1.13,1.32,0.8599,0.1018,0.88
K=7168,fp32,0.3127,0.4797,0.3107,0.65,1.01,0.6476,1.0448,0.30
K=7168,fp16,0.1680,0.1889,0.1648,0.89,1.02,0.8724,0.2181,0.77
K=7168,fp8_e4m3fn,0.1005,0.0910,0.0777,1.10,1.29,0.8540,0.1151,0.87
K=8192,fp32,0.3626,0.5463,0.3588,0.66,1.01,0.6569,1.2129,0.30
K=8192,fp16,0.1927,0.2146,0.1886,0.90,1.02,0.8786,0.2414,0.80
K=8192,fp8_e4m3fn,0.1122,0.1045,0.0873,1.07,1.29,0.8353,0.1289,0.87
K=9216,fp32,0.4080,0.6199,0.4039,0.66,1.01,0.6515,1.3725,0.30
K=9216,fp16,0.2178,0.2407,0.2118,0.90,1.03,0.8799,0.2749,0.79
K=9216,fp8_e4m3fn,0.1274,0.1176,0.0969,1.08,1.31,0.8247,0.1477,0.86
K=10240,fp32,0.4515,0.6948,0.4401,0.65,1.03,0.6335,1.4863,0.30
K=10240,fp16,0.2445,0.2653,0.2353,0.92,1.04,0.8869,0.3063,0.80
K=10240,fp8_e4m3fn,0.1367,0.1308,0.1066,1.05,1.28,0.8154,0.1579,0.87
K=11264,fp32,0.5035,0.7638,0.4933,0.66,1.02,0.6459,1.6344,0.31
K=11264,fp16,0.2710,0.2914,0.2588,0.93,1.05,0.8883,0.3327,0.81
K=11264,fp8_e4m3fn,0.1525,0.1424,0.1162,1.07,1.31,0.8164,0.1759,0.87
K=12288,fp32,0.5462,0.8167,0.5391,0.67,1.01,0.6600,1.7739,0.31
K=12288,fp16,0.2786,0.3181,0.2829,0.88,0.99,0.8891,0.3631,0.77
K=12288,fp8_e4m3fn,0.1645,0.1545,0.1257,1.06,1.31,0.8139,0.1900,0.87
