params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
K=1024,fp32,0.0511,0.0706,0.0721,0.72,0.71,1.0224,0.1679,0.30
K=1024,fp16,0.0261,0.0367,0.0445,0.71,0.59,1.2135,0.0687,0.38
K=1024,fp8_e4m3fn,0.0395,0.0213,0.0227,1.85,1.74,1.0660,0.0426,0.93
K=2048,fp32,0.0899,0.1388,0.1142,0.65,0.79,0.8225,0.3158,0.28
K=2048,fp16,0.0457,0.0595,0.0654,0.77,0.70,1.0990,0.1138,0.40
K=2048,fp8_e4m3fn,0.0456,0.0324,0.0330,1.40,1.38,1.0179,0.0676,0.68
K=3072,fp32,0.1317,0.2129,0.1623,0.62,0.81,0.7627,0.4679,0.28
K=3072,fp16,0.0674,0.0847,0.0874,0.80,0.77,1.0316,0.1611,0.42
K=3072,fp8_e4m3fn,0.0553,0.0436,0.0430,1.27,1.29,0.9860,0.0919,0.60
K=4096,fp32,0.1770,0.2811,0.2135,0.63,0.83,0.7595,0.6213,0.28
K=4096,fp16,0.0911,0.1117,0.1125,0.82,0.81,1.0077,0.2094,0.43
K=4096,fp8_e4m3fn,0.0663,0.0548,0.0527,1.21,1.26,0.9616,0.1170,0.57
K=5120,fp32,0.2221,0.3478,0.2659,0.64,0.84,0.7645,0.7750,0.29
K=5120,fp16,0.1159,0.1389,0.1394,0.83,0.83,1.0037,0.2580,0.45
K=5120,fp8_e4m3fn,0.0775,0.0664,0.0628,1.17,1.24,0.9449,0.1409,0.55
K=6144,fp32,0.2675,0.4136,0.3217,0.65,0.83,0.7777,0.9243,0.29
K=6144,fp16,0.1419,0.1635,0.1671,0.87,0.85,1.0217,0.3071,0.46
K=6144,fp8_e4m3fn,0.0897,0.0788,0.0731,1.14,1.23,0.9279,0.1669,0.54
K=7168,fp32,0.3123,0.4818,0.3691,0.65,0.85,0.7661,1.0770,0.29
K=7168,fp16,0.1676,0.1889,0.1948,0.89,0.86,1.0312,0.3539,0.47
K=7168,fp8_e4m3fn,0.1008,0.0905,0.0834,1.11,1.21,0.9223,0.1919,0.53
K=8192,fp32,0.3556,0.5506,0.4294,0.65,0.83,0.7799,1.2154,0.29
K=8192,fp16,0.2062,0.2149,0.2229,0.96,0.93,1.0372,0.4253,0.48
K=8192,fp8_e4m3fn,0.1134,0.1053,0.0942,1.08,1.20,0.8947,0.2186,0.52
K=9216,fp32,0.4033,0.6194,0.4797,0.65,0.84,0.7745,1.3670,0.30
K=9216,fp16,0.2259,0.2414,0.2513,0.94,0.90,1.0409,0.4633,0.49
K=9216,fp8_e4m3fn,0.1280,0.1186,0.1047,1.08,1.22,0.8828,0.2493,0.51
K=10240,fp32,0.4460,0.6973,0.5379,0.64,0.83,0.7714,1.4768,0.30
K=10240,fp16,0.2409,0.2661,0.2817,0.91,0.86,1.0588,0.4916,0.49
K=10240,fp8_e4m3fn,0.1369,0.1311,0.1158,1.04,1.18,0.8832,0.2675,0.51
K=11264,fp32,0.4980,0.7657,0.5908,0.65,0.84,0.7716,1.6384,0.30
K=11264,fp16,0.2816,0.2985,0.3116,0.94,0.90,1.0437,0.5701,0.49
K=11264,fp8_e4m3fn,0.1526,0.1429,0.1269,1.07,1.20,0.8883,0.3000,0.51
K=12288,fp32,0.5510,0.8419,0.6366,0.65,0.87,0.7561,1.8058,0.31
K=12288,fp16,0.2775,0.3165,0.3416,0.88,0.81,1.0790,0.5868,0.47
K=12288,fp8_e4m3fn,0.1810,0.1545,0.1371,1.17,1.32,0.8872,0.3589,0.50
K=13312,fp32,0.6012,0.9087,0.7275,0.66,0.83,0.8006,1.9646,0.31
K=13312,fp16,0.3086,0.3430,0.3734,0.90,0.83,1.0884,0.6561,0.47
K=13312,fp8_e4m3fn,0.1856,0.1668,0.1487,1.11,1.25,0.8911,0.3679,0.50
K=14336,fp32,0.6440,0.9706,0.7659,0.66,0.84,0.7891,2.1637,0.30
K=14336,fp16,0.3238,0.3679,0.3935,0.88,0.82,1.0695,0.6855,0.47
K=14336,fp8_e4m3fn,0.2325,0.1786,0.1593,1.30,1.46,0.8918,0.4673,0.50
K=15360,fp32,0.6974,1.0436,0.8267,0.67,0.84,0.7922,2.2938,0.30
K=15360,fp16,0.3484,0.3981,0.4221,0.88,0.83,1.0604,0.7307,0.48
K=15360,fp8_e4m3fn,0.2033,0.1901,0.1706,1.07,1.19,0.8976,0.4120,0.49
K=16384,fp32,0.7494,1.1235,0.8829,0.67,0.85,0.7858,2.4252,0.31
K=16384,fp16,0.3862,0.4374,0.4548,0.88,0.85,1.0400,0.8240,0.47
K=16384,fp8_e4m3fn,0.2490,0.2069,0.1816,1.20,1.37,0.8776,0.5038,0.49
K=17408,fp32,0.7894,1.1804,0.9373,0.67,0.84,0.7940,2.5388,0.31
K=17408,fp16,0.4514,0.4522,0.4733,1.00,0.95,1.0466,0.9557,0.47
K=17408,fp8_e4m3fn,0.2397,0.2133,0.1923,1.12,1.25,0.9015,0.5049,0.47
K=18432,fp32,0.9216,1.2699,1.0185,0.73,0.90,0.8020,2.8357,0.32
K=18432,fp16,0.4213,0.4818,0.5112,0.87,0.82,1.0609,0.8912,0.47
K=18432,fp8_e4m3fn,0.2472,0.2248,0.2033,1.10,1.22,0.9047,0.5200,0.48
K=19456,fp32,0.9119,1.3301,1.0557,0.69,0.86,0.7937,2.8563,0.32
K=19456,fp16,0.4469,0.5061,0.5483,0.88,0.82,1.0833,0.9345,0.48
K=19456,fp8_e4m3fn,0.2803,0.2373,0.2142,1.18,1.31,0.9027,0.5932,0.47
K=20480,fp32,0.9416,1.4295,1.1356,0.66,0.83,0.7944,3.0543,0.31
K=20480,fp16,0.5148,0.5260,0.5724,0.98,0.90,1.0882,1.0912,0.47
K=20480,fp8_e4m3fn,0.2993,0.2514,0.2249,1.19,1.33,0.8948,0.6307,0.47
