params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
N=256,fp16,0.0015,0.0014,0.0014,1.05,1.02,1.0212,0.0014,1.04
N=256,bf16,0.0015,0.0014,0.0014,1.05,1.05,1.0062,0.0014,1.06
N=256,fp32,0.0015,0.0015,0.0015,1.04,1.01,1.0283,0.0014,1.06
N=256,int8,0.0014,0.0013,0.0014,1.03,1.01,1.0192,0.0013,1.04
N=512,fp16,0.0017,0.0017,0.0016,0.99,1.02,0.9750,0.0015,1.16
N=512,bf16,0.0016,0.0016,0.0016,1.02,1.03,0.9955,0.0015,1.04
N=512,fp32,0.0021,0.0020,0.0020,1.01,1.01,1.0055,0.0020,1.04
N=512,int8,0.0016,0.0015,0.0015,1.04,1.02,1.0183,0.0015,1.05
N=768,fp16,0.0022,0.0021,0.0021,1.01,1.01,1.0003,0.0021,1.03
N=768,bf16,0.0021,0.0020,0.0021,1.03,1.02,1.0107,0.0020,1.02
N=768,fp32,0.0024,0.0024,0.0024,1.01,1.01,1.0057,0.0023,1.03
N=768,int8,0.0018,0.0017,0.0017,1.04,1.01,1.0285,0.0017,1.04
N=1024,fp16,0.0023,0.0023,0.0023,1.02,1.01,1.0028,0.0023,1.01
N=1024,bf16,0.0024,0.0022,0.0021,1.06,1.11,0.9566,0.0023,1.03
N=1024,fp32,0.0026,0.0026,0.0028,1.01,0.92,1.0979,0.0026,1.02
N=1024,int8,0.0020,0.0020,0.0020,1.04,0.99,1.0430,0.0019,1.05
N=1280,fp16,0.0027,0.0026,0.0027,1.04,1.00,1.0355,0.0026,1.05
N=1280,bf16,0.0027,0.0026,0.0027,1.02,0.98,1.0487,0.0026,1.05
N=1280,fp32,0.0036,0.0035,0.0035,1.02,1.01,1.0084,0.0038,0.95
N=1280,int8,0.0022,0.0021,0.0022,1.04,0.98,1.0666,0.0021,1.06
N=1536,fp16,0.0030,0.0029,0.0031,1.04,0.98,1.0572,0.0029,1.05
N=1536,bf16,0.0030,0.0029,0.0030,1.03,1.00,1.0312,0.0029,1.03
N=1536,fp32,0.0042,0.0041,0.0042,1.02,0.99,1.0234,0.0041,1.02
N=1536,int8,0.0027,0.0026,0.0028,1.06,0.98,1.0802,0.0026,1.05
N=1792,fp16,0.0039,0.0038,0.0039,1.03,1.01,1.0118,0.0038,1.02
N=1792,bf16,0.0037,0.0036,0.0037,1.03,1.01,1.0183,0.0036,1.01
N=1792,fp32,0.0056,0.0056,0.0056,1.01,0.99,1.0115,0.0056,1.00
N=1792,int8,0.0031,0.0029,0.0030,1.04,1.01,1.0308,0.0030,1.03
N=2048,fp16,0.0045,0.0044,0.0044,1.01,1.01,1.0018,0.0044,1.03
