params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=1024,fp16,0.0206,0.0040,0.0056,5.11,3.70,1.3809,0.0050,4.10,0.0634,0.0439,1.44
n=1024,bf16,0.0204,0.0039,0.0055,5.24,3.72,1.4083,0.0052,3.93,0.0633,0.0487,1.30
n=1024,fp32,0.0213,0.0076,0.0076,2.81,2.81,1.0011,0.0080,2.65,0.1010,0.1087,0.93
n=1024,int8,0.0193,0.0035,0.0035,5.52,5.49,1.0038,0.0056,3.46,0.1961,0.1258,1.56
n=2048,fp16,0.0369,0.0079,0.0079,4.64,4.69,0.9897,0.0106,3.47,0.1283,0.0781,1.64
n=2048,bf16,0.0371,0.0079,0.0079,4.67,4.71,0.9920,0.0099,3.76,0.1285,0.0875,1.47
n=2048,fp32,0.0402,0.0131,0.0131,3.06,3.07,0.9970,0.0140,2.86,0.2083,0.1933,1.08
n=2048,int8,0.0346,0.0061,0.0054,5.64,6.41,0.8789,0.0084,4.10,0.3537,0.2344,1.51
n=3072,fp16,0.0558,0.0103,0.0105,5.43,5.30,1.0247,0.0129,4.32,0.1588,0.1076,1.48
n=3072,bf16,0.0558,0.0104,0.0107,5.38,5.23,1.0302,0.0128,4.34,0.1588,0.1192,1.33
n=3072,fp32,0.0608,0.0186,0.0187,3.27,3.24,1.0094,0.0189,3.21,0.2829,0.2867,0.99
n=3072,int8,0.0528,0.0076,0.0069,6.91,7.61,0.9076,0.0120,4.39,0.5307,0.3423,1.55
n=4096,fp16,0.0700,0.0132,0.0142,5.31,4.92,1.0789,0.0160,4.38,0.2208,0.1381,1.60
n=4096,bf16,0.0699,0.0133,0.0138,5.26,5.07,1.0377,0.0161,4.35,0.2206,0.1568,1.41
n=4096,fp32,0.0774,0.0238,0.0237,3.25,3.26,0.9964,0.0253,3.06,0.4044,0.3849,1.05
n=4096,int8,0.0664,0.0079,0.0080,8.41,8.32,1.0112,0.0150,4.42,0.6783,0.4520,1.50
n=5120,fp16,0.0920,0.0168,0.0166,5.48,5.54,0.9906,0.0187,4.92,0.2528,0.1677,1.51
n=5120,bf16,0.0919,0.0166,0.0159,5.54,5.77,0.9608,0.0187,4.92,0.2530,0.1684,1.50
n=5120,fp32,0.1022,0.0287,0.0283,3.56,3.61,0.9837,0.0291,3.52,0.4544,0.4684,0.97
n=5120,int8,0.0840,0.0104,0.0110,8.06,7.64,1.0551,0.0184,4.57,0.8717,0.5634,1.55
n=6144,fp16,0.1068,0.0185,0.0188,5.77,5.69,1.0133,0.0214,5.00,0.3197,0.2010,1.59
n=6144,bf16,0.1067,0.0183,0.0188,5.82,5.67,1.0259,0.0213,5.01,0.3197,0.2008,1.59
n=6144,fp32,0.1183,0.0336,0.0335,3.53,3.53,1.0000,0.0345,3.42,0.5592,0.5622,0.99
n=6144,int8,0.1019,0.0122,0.0116,8.34,8.76,0.9520,0.0208,4.90,1.0224,0.6728,1.52
n=7168,fp16,0.1230,0.0211,0.0212,5.83,5.80,1.0047,0.0240,5.12,0.3596,0.2310,1.56
