params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
n=1024,fp16,0.0206,0.0038,0.0040,5.47,5.09,1.0742,0.0061,3.35
n=1024,bf16,0.0206,0.0039,0.0043,5.29,4.75,1.1121,0.0061,3.28
n=1024,fp32,0.0212,0.0077,0.0072,2.76,2.97,0.9303,0.0106,1.99
n=1024,int8,0.0195,0.0038,0.0036,5.13,5.46,0.9396,0.0051,3.80
n=2048,fp16,0.0368,0.0069,0.0075,5.34,4.88,1.0933,0.0110,3.36
n=2048,bf16,0.0370,0.0071,0.0077,5.25,4.80,1.0929,0.0110,3.35
n=2048,fp32,0.0402,0.0149,0.0131,2.70,3.08,0.8778,0.0193,2.08
n=2048,int8,0.0347,0.0054,0.0059,6.43,5.87,1.0944,0.0083,4.16
n=3072,fp16,0.0558,0.0104,0.0107,5.35,5.23,1.0214,0.0157,3.54
n=3072,bf16,0.0558,0.0104,0.0106,5.35,5.28,1.0127,0.0157,3.55
n=3072,fp32,0.0607,0.0207,0.0181,2.93,3.35,0.8755,0.0273,2.22
n=3072,int8,0.0529,0.0084,0.0089,6.32,5.91,1.0693,0.0120,4.40
n=4096,fp16,0.0701,0.0132,0.0133,5.30,5.26,1.0076,0.0200,3.49
n=4096,bf16,0.0701,0.0133,0.0137,5.26,5.12,1.0293,0.0200,3.49
n=4096,fp32,0.0775,0.0266,0.0233,2.91,3.32,0.8755,0.0340,2.27
n=4096,int8,0.0665,0.0098,0.0108,6.82,6.14,1.1103,0.0150,4.43
n=5120,fp16,0.0919,0.0157,0.0159,5.86,5.78,1.0136,0.0241,3.81
n=5120,bf16,0.0920,0.0158,0.0159,5.83,5.79,1.0070,0.0241,3.81
n=5120,fp32,0.1023,0.0332,0.0283,3.08,3.61,0.8524,0.0422,2.41
n=5120,int8,0.0840,0.0125,0.0130,6.74,6.46,1.0423,0.0180,4.66
n=6144,fp16,0.1069,0.0184,0.0187,5.80,5.72,1.0147,0.0279,3.83
n=6144,bf16,0.1068,0.0184,0.0185,5.80,5.78,1.0022,0.0279,3.82
n=6144,fp32,0.1183,0.0391,0.0337,3.03,3.51,0.8625,0.0483,2.44
n=6144,int8,0.1020,0.0141,0.0155,7.23,6.57,1.1005,0.0208,4.90
n=7168,fp16,0.1231,0.0210,0.0211,5.86,5.84,1.0036,0.0316,3.88
n=7168,bf16,0.1231,0.0212,0.0213,5.82,5.77,1.0090,0.0317,3.87
n=7168,fp32,0.1339,0.0446,0.0385,3.00,3.48,0.8614,0.0545,2.45
n=7168,int8,0.1202,0.0155,0.0180,7.77,6.67,1.1648,0.0238,5.04
n=8192,fp16,0.1352,0.0238,0.0240,5.69,5.64,1.0078,0.0344,3.92
n=8192,bf16,0.1353,0.0237,0.0239,5.71,5.65,1.0096,0.0344,3.93
n=8192,fp32,0.1501,0.0495,0.0434,3.04,3.46,0.8772,0.0608,2.46
n=8192,int8,0.1292,0.0182,0.0194,7.10,6.66,1.0653,0.0265,4.88
n=9216,fp16,0.1554,0.0266,0.0267,5.84,5.82,1.0032,0.0389,3.99
n=9216,bf16,0.1555,0.0266,0.0266,5.86,5.84,1.0032,0.0388,4.00
n=9216,fp32,0.1713,0.0560,0.0485,3.06,3.53,0.8674,0.0674,2.53
n=9216,int8,0.1498,0.0196,0.0220,7.65,6.80,1.1241,0.0296,5.06
n=10240,fp16,0.1814,0.0291,0.0290,6.24,6.26,0.9968,0.0433,4.18
n=10240,bf16,0.1814,0.0290,0.0290,6.25,6.25,0.9997,0.0435,4.16
n=10240,fp32,0.1981,0.0629,0.0534,3.15,3.71,0.8489,0.0779,2.54
n=10240,int8,0.1727,0.0218,0.0242,7.94,7.14,1.1119,0.0324,5.32
n=11264,fp16,0.1867,0.0320,0.0321,5.83,5.82,1.0019,0.0455,4.10
n=11264,bf16,0.1867,0.0317,0.0319,5.88,5.86,1.0040,0.0454,4.10
n=11264,fp32,0.2098,0.0681,0.0588,3.08,3.57,0.8626,0.0818,2.55
n=11264,int8,0.1795,0.0236,0.0266,7.60,6.75,1.1259,0.0351,5.10
n=12288,fp16,0.2108,0.0340,0.0339,6.20,6.21,0.9977,0.0493,4.26
n=12288,bf16,0.2108,0.0343,0.0344,6.14,6.13,1.0012,0.0492,4.27
n=12288,fp32,0.2313,0.0741,0.0638,3.12,3.62,0.8614,0.0885,2.60
n=12288,int8,0.2003,0.0249,0.0281,8.04,7.13,1.1273,0.0380,5.26
n=13312,fp16,0.2218,0.0368,0.0367,6.03,6.05,0.9967,0.0525,4.23
n=13312,bf16,0.2223,0.0366,0.0365,6.07,6.09,0.9959,0.0525,4.24
n=13312,fp32,0.2443,0.0794,0.0688,3.07,3.55,0.8665,0.0954,2.56
n=13312,int8,0.2120,0.0273,0.0305,7.77,6.96,1.1158,0.0407,5.20
n=14336,fp16,0.2384,0.0393,0.0390,6.07,6.11,0.9940,0.0559,4.25
n=14336,bf16,0.2382,0.0395,0.0391,6.04,6.09,0.9915,0.0561,4.24
n=14336,fp32,0.2609,0.0850,0.0741,3.07,3.52,0.8721,0.1017,2.56
n=14336,int8,0.2319,0.0285,0.0326,8.12,7.11,1.1419,0.0438,5.29
n=15360,fp16,0.2614,0.0421,0.0418,6.21,6.25,0.9932,0.0607,4.30
n=15360,bf16,0.2613,0.0420,0.0415,6.22,6.30,0.9869,0.0605,4.31
n=15360,fp32,0.2899,0.0922,0.0802,3.15,3.61,0.8707,0.1108,2.61
