params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
N=1024,fp16,0.0047,0.0025,0.0028,1.85,1.69,1.0916,0.0033,1.43,0.0289,0.0375,0.77
N=1024,bf16,0.0047,0.0034,0.0029,1.38,1.63,0.8487,0.0034,1.38,0.0289,0.0375,0.77
N=1024,fp32,0.0069,0.0028,0.0032,2.48,2.18,1.1377,0.0027,2.51,0.0304,0.0419,0.73
N=2048,fp16,0.0071,0.0029,0.0037,2.47,1.92,1.2874,0.0028,2.53,0.0389,0.0447,0.87
N=2048,bf16,0.0070,0.0028,0.0036,2.47,1.94,1.2731,0.0028,2.50,0.0388,0.0476,0.82
N=2048,fp32,0.0105,0.0042,0.0046,2.49,2.29,1.0892,0.0036,2.96,0.0488,0.0527,0.93
N=3072,fp16,0.0087,0.0029,0.0052,2.97,1.67,1.7731,0.0030,2.94,0.0518,0.0557,0.93
N=3072,bf16,0.0083,0.0030,0.0051,2.79,1.61,1.7350,0.0029,2.84,0.0518,0.0678,0.76
N=3072,fp32,0.0151,0.0053,0.0052,2.85,2.88,0.9895,0.0049,3.07,0.0542,0.0637,0.85
N=4096,fp16,0.0100,0.0034,0.0047,2.92,2.13,1.3723,0.0033,2.99,0.0677,0.0654,1.03
N=4096,bf16,0.0101,0.0034,0.0047,3.01,2.17,1.3908,0.0035,2.85,0.0677,0.0679,1.00
N=4096,fp32,0.0196,0.0075,0.0078,2.61,2.52,1.0341,0.0074,2.64,0.0796,0.0763,1.04
N=5120,fp16,0.0129,0.0047,0.0054,2.71,2.38,1.1401,0.0049,2.65,0.0704,0.0729,0.96
N=5120,bf16,0.0133,0.0051,0.0067,2.61,1.99,1.3145,0.0050,2.68,0.0704,0.0928,0.76
N=5120,fp32,0.0253,0.0101,0.0103,2.51,2.47,1.0189,0.0101,2.52,0.0785,0.0894,0.88
