params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=1024,fp16,0.0127,0.0026,0.0028,4.86,4.53
N=1024,bf16,0.0129,0.0027,0.0028,4.85,4.63
N=1024,fp32,0.0069,0.0028,0.0031,2.47,2.20
N=2048,fp16,0.0200,0.0028,0.0037,7.21,5.34
N=2048,bf16,0.0198,0.0028,0.0039,7.04,5.13
N=2048,fp32,0.0101,0.0035,0.0039,2.85,2.58
N=3072,fp16,0.0287,0.0034,0.0052,8.53,5.58
N=3072,bf16,0.0290,0.0033,0.0053,8.70,5.48
N=3072,fp32,0.0154,0.0051,0.0053,3.01,2.91
N=4096,fp16,0.0360,0.0038,0.0061,9.51,5.89
N=4096,bf16,0.0362,0.0036,0.0061,10.07,5.89
N=4096,fp32,0.0197,0.0071,0.0076,2.78,2.61
N=5120,fp16,0.0443,0.0044,0.0077,10.11,5.77
N=5120,bf16,0.0448,0.0049,0.0078,9.10,5.77
N=5120,fp32,0.0252,0.0096,0.0103,2.63,2.46
N=6144,fp16,0.0539,0.0056,0.0097,9.61,5.53
N=6144,bf16,0.0537,0.0051,0.0095,10.48,5.66
N=6144,fp32,0.0294,0.0119,0.0125,2.48,2.36
N=7168,fp16,0.0702,0.0062,0.0114,11.29,6.14
N=7168,bf16,0.0704,0.0061,0.0117,11.54,6.00
N=7168,fp32,0.0348,0.0140,0.0143,2.48,2.43
N=8192,fp16,0.0622,0.0078,0.0163,7.97,3.81
N=8192,bf16,0.0622,0.0079,0.0160,7.88,3.88
N=8192,fp32,0.0232,0.0156,0.0160,1.48,1.45
N=9216,fp16,0.0715,0.0086,0.0194,8.27,3.68
N=9216,bf16,0.0717,0.0088,0.0196,8.16,3.66
N=9216,fp32,0.0261,0.0172,0.0177,1.52,1.47
N=10240,fp16,0.0808,0.0101,0.0217,8.01,3.71
N=10240,bf16,0.0814,0.0101,0.0219,8.04,3.71
N=10240,fp32,0.0271,0.0188,0.0194,1.44,1.39
N=11264,fp16,0.0898,0.0112,0.0295,8.02,3.04
N=11264,bf16,0.0909,0.0111,0.0237,8.15,3.84
N=11264,fp32,0.0299,0.0208,0.0212,1.44,1.41
N=12288,fp16,0.0980,0.0123,0.0326,7.99,3.01
N=12288,bf16,0.0990,0.0123,0.0261,8.08,3.79
N=12288,fp32,0.0312,0.0225,0.0231,1.39,1.35
N=13312,fp16,0.1070,0.0131,0.0350,8.17,3.06
N=13312,bf16,0.1079,0.0132,0.0277,8.19,3.89
N=13312,fp32,0.0336,0.0243,0.0246,1.38,1.37
N=14336,fp16,0.1140,0.0141,0.0374,8.06,3.05
N=14336,bf16,0.1153,0.0144,0.0296,8.03,3.89
N=14336,fp32,0.0348,0.0254,0.0261,1.37,1.34
N=15360,fp16,0.1222,0.0146,0.0481,8.38,2.54
N=15360,bf16,0.1233,0.0146,0.0154,8.42,8.02
N=15360,fp32,0.0376,0.0303,0.0307,1.24,1.23
N=16384,fp16,0.1291,0.0156,0.0508,8.25,2.54
N=16384,bf16,0.1303,0.0156,0.0192,8.37,6.80
N=16384,fp32,0.0390,0.0338,0.0339,1.15,1.15
N=17408,fp16,0.1361,0.0168,0.0539,8.09,2.53
N=17408,bf16,0.1378,0.0170,0.0173,8.12,7.95
N=17408,fp32,0.0403,0.0319,0.0323,1.26,1.25
N=18432,fp16,0.1428,0.0176,0.0566,8.13,2.52
N=18432,bf16,0.1444,0.0201,0.0215,7.18,6.72
N=18432,fp32,0.0416,0.0322,0.0323,1.29,1.29
N=19456,fp16,0.1501,0.0184,0.0594,8.17,2.53
N=19456,bf16,0.1515,0.0212,0.0195,7.14,7.75
N=19456,fp32,0.0433,0.0340,0.0339,1.27,1.28
N=20480,fp16,0.1563,0.0191,0.0621,8.20,2.52
N=20480,bf16,0.1577,0.0222,0.0237,7.10,6.65
N=20480,fp32,0.0447,0.0357,0.0364,1.25,1.23
