params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
M=1024,fp16,0.0223,0.0025,0.0035,8.85,6.43,1.3751,0.0026,7.89
M=1024,bf16,0.0223,0.0025,0.0035,9.07,6.42,1.4124,0.0027,7.91
M=1024,fp32,0.0171,0.0026,0.0035,6.50,4.90,1.3251,0.0027,6.35
M=2048,fp16,0.0276,0.0030,0.0046,9.20,6.02,1.5283,0.0031,8.46
M=2048,bf16,0.0285,0.0030,0.0047,9.36,6.01,1.5561,0.0031,8.92
M=2048,fp32,0.0235,0.0031,0.0047,7.58,4.95,1.5307,0.0032,7.30
M=3072,fp16,0.0328,0.0036,0.0063,9.14,5.21,1.7555,0.0037,8.55
M=3072,bf16,0.0352,0.0036,0.0063,9.84,5.61,1.7538,0.0040,8.46
M=3072,fp32,0.0296,0.0036,0.0063,8.12,4.69,1.7324,0.0037,7.88
M=4096,fp16,0.0376,0.0041,0.0073,9.17,5.18,1.7704,0.0042,8.68
M=4096,bf16,0.0393,0.0041,0.0072,9.54,5.43,1.7571,0.0042,9.35
M=4096,fp32,0.0342,0.0042,0.0073,8.21,4.68,1.7543,0.0047,7.17
M=5120,fp16,0.0423,0.0046,0.0088,9.13,4.83,1.8897,0.0047,8.73
M=5120,bf16,0.0453,0.0046,0.0087,9.77,5.19,1.8831,0.0052,8.73
M=5120,fp32,0.0401,0.0047,0.0088,8.51,4.54,1.8735,0.0048,8.42
M=6144,fp16,0.0469,0.0052,0.0098,9.05,4.78,1.8947,0.0057,8.14
M=6144,bf16,0.0515,0.0052,0.0098,10.00,5.26,1.8990,0.0053,9.50
M=6144,fp32,0.0462,0.0053,0.0099,8.77,4.69,1.8708,0.0058,7.85
M=7168,fp16,0.0525,0.0057,0.0111,9.24,4.74,1.9507,0.0062,8.35
M=7168,bf16,0.0573,0.0057,0.0112,10.06,5.10,1.9721,0.0058,9.76
M=7168,fp32,0.0519,0.0058,0.0113,8.99,4.59,1.9565,0.0058,8.82
M=8192,fp16,0.0586,0.0062,0.0125,9.38,4.68,2.0043,0.0064,9.08
M=8192,bf16,0.0635,0.0063,0.0126,10.15,5.05,2.0100,0.0067,9.25
M=8192,fp32,0.0580,0.0063,0.0126,9.16,4.62,1.9826,0.0064,9.02
M=9216,fp16,0.0630,0.0068,0.0136,9.32,4.64,2.0106,0.0069,9.01
M=9216,bf16,0.0685,0.0068,0.0136,10.12,5.03,2.0115,0.0069,9.76
M=9216,fp32,0.0639,0.0069,0.0136,9.32,4.68,1.9894,0.0069,9.23
M=10240,fp16,0.0693,0.0073,0.0151,9.49,4.60,2.0618,0.0074,9.34
M=10240,bf16,0.0746,0.0073,0.0149,10.23,5.02,2.0366,0.0078,9.61
M=10240,fp32,0.0705,0.0074,0.0149,9.52,4.72,2.0144,0.0079,8.93
M=11264,fp16,0.0746,0.0078,0.0161,9.53,4.63,2.0569,0.0083,8.83
M=11264,bf16,0.0805,0.0078,0.0163,10.27,4.93,2.0809,0.0080,10.09
M=11264,fp32,0.0756,0.0079,0.0163,9.55,4.62,2.0654,0.0084,9.00
M=12288,fp16,0.0812,0.0084,0.0174,9.69,4.68,2.0714,0.0085,9.61
M=12288,bf16,0.0882,0.0084,0.0174,10.51,5.08,2.0702,0.0085,10.34
M=12288,fp32,0.0832,0.0085,0.0174,9.84,4.77,2.0603,0.0085,9.82
M=13312,fp16,0.0863,0.0089,0.0189,9.72,4.58,2.1228,0.0090,9.56
M=13312,bf16,0.0939,0.0089,0.0186,10.56,5.06,2.0886,0.0090,10.34
M=13312,fp32,0.0886,0.0090,0.0189,9.89,4.70,2.1069,0.0090,9.78
M=14336,fp16,0.0905,0.0094,0.0199,9.61,4.55,2.1112,0.0099,9.08
M=14336,bf16,0.0993,0.0094,0.0198,10.53,5.01,2.1035,0.0100,9.90
M=14336,fp32,0.0939,0.0095,0.0199,9.90,4.71,2.1003,0.0099,9.41
M=15360,fp16,0.0963,0.0100,0.0211,9.67,4.56,2.1192,0.0105,9.23
M=15360,bf16,0.1048,0.0100,0.0214,10.52,4.90,2.1443,0.0101,10.36
M=15360,fp32,0.1005,0.0100,0.0212,10.03,4.75,2.1127,0.0105,9.49
M=16384,fp16,0.1011,0.0105,0.0226,9.65,4.47,2.1601,0.0106,9.60
M=16384,bf16,0.1107,0.0105,0.0226,10.58,4.90,2.1584,0.0106,10.43
M=16384,fp32,0.1057,0.0106,0.0226,10.00,4.68,2.1375,0.0106,9.92
M=17408,fp16,0.1056,0.0110,0.0236,9.60,4.48,2.1411,0.0111,9.56
M=17408,bf16,0.1151,0.0110,0.0236,10.46,4.88,2.1440,0.0111,10.36
M=17408,fp32,0.1105,0.0110,0.0237,10.00,4.67,2.1405,0.0111,9.94
M=18432,fp16,0.1119,0.0115,0.0251,9.69,4.45,2.1775,0.0120,9.18
M=18432,bf16,0.1210,0.0116,0.0251,10.47,4.82,2.1717,0.0116,10.40
M=18432,fp32,0.1169,0.0116,0.0251,10.07,4.65,2.1660,0.0116,10.00
M=19456,fp16,0.1168,0.0120,0.0261,9.69,4.48,2.1652,0.0126,9.26
M=19456,bf16,0.1273,0.0121,0.0261,10.55,4.89,2.1586,0.0125,10.15
M=19456,fp32,0.1220,0.0121,0.0261,10.07,4.68,2.1529,0.0126,9.68
M=20480,fp16,0.1209,0.0126,0.0276,9.62,4.37,2.1982,0.0127,9.52
M=20480,bf16,0.1328,0.0126,0.0273,10.54,4.87,2.1640,0.0127,10.37
M=20480,fp32,0.1280,0.0127,0.0276,10.10,4.63,2.1800,0.0127,10.02
