params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
n=1048576,fp16,0.0023,0.0023,0.0026,1.04,0.89,1.1582,0.0023,1.02
n=1048576,bf16,0.0023,0.0022,0.0023,1.04,0.99,1.0542,0.0023,1.02
n=1048576,fp32,0.0027,0.0027,0.0027,0.99,0.99,0.9974,0.0029,0.94
n=1048576,int8,0.0020,0.0019,0.0020,1.02,0.98,1.0469,0.0020,1.03
n=2097152,fp16,0.0029,0.0034,0.0036,0.84,0.81,1.0374,0.0031,0.88
n=2097152,bf16,0.0029,0.0034,0.0030,0.85,0.98,0.8671,0.0035,0.86
n=2097152,fp32,0.0038,0.0037,0.0039,1.02,0.97,1.0486,0.0036,1.07
n=2097152,int8,0.0025,0.0023,0.0022,1.06,1.11,0.9570,0.0024,0.99
n=3145728,fp16,0.0033,0.0031,0.0034,1.08,0.99,1.0880,0.0029,1.18
n=3145728,bf16,0.0034,0.0032,0.0036,1.08,0.95,1.1333,0.0033,1.06
n=3145728,fp32,0.0054,0.0053,0.0054,1.02,1.00,1.0162,0.0051,1.00
n=3145728,int8,0.0030,0.0036,0.0032,0.83,0.92,0.9020,0.0023,1.27
n=4194304,fp16,0.0040,0.0037,0.0040,1.09,1.00,1.0854,0.0039,1.08
n=4194304,bf16,0.0040,0.0038,0.0041,1.07,0.98,1.0915,0.0036,1.13
n=4194304,fp32,0.0070,0.0067,0.0067,1.04,1.04,1.0057,0.0065,1.07
n=4194304,int8,0.0035,0.0035,0.0038,1.00,0.93,1.0779,0.0034,1.05
n=5242880,fp16,0.0048,0.0058,0.0049,0.82,0.99,0.8330,0.0046,1.03
n=5242880,bf16,0.0049,0.0059,0.0049,0.83,0.99,0.8310,0.0044,1.12
n=5242880,fp32,0.0087,0.0085,0.0086,1.03,1.01,1.0173,0.0082,1.06
n=5242880,int8,0.0043,0.0032,0.0037,1.33,1.14,1.1707,0.0031,1.34
n=6291456,fp16,0.0059,0.0059,0.0059,1.00,0.99,1.0081,0.0053,1.06
n=6291456,bf16,0.0059,0.0059,0.0060,1.01,1.00,1.0152,0.0052,1.11
n=6291456,fp32,0.0100,0.0093,0.0105,1.08,0.96,1.1266,0.0106,0.94
n=6291456,int8,0.0048,0.0035,0.0040,1.37,1.18,1.1670,0.0032,1.44
n=7340032,fp16,0.0067,0.0062,0.0068,1.08,0.99,1.0839,0.0061,1.10
n=7340032,bf16,0.0068,0.0061,0.0068,1.12,0.99,1.1229,0.0060,1.11
n=7340032,fp32,0.0118,0.0111,0.0115,1.06,1.02,1.0389,0.0111,1.02
n=7340032,int8,0.0054,0.0037,0.0044,1.46,1.22,1.1882,0.0036,1.46
n=8388608,fp16,0.0075,0.0067,0.0076,1.12,1.00,1.1228,0.0065,1.17
n=8388608,bf16,0.0075,0.0066,0.0075,1.14,1.00,1.1441,0.0068,1.08
n=8388608,fp32,0.0126,0.0131,0.0127,0.97,0.99,0.9729,0.0124,1.02
n=8388608,int8,0.0059,0.0040,0.0049,1.47,1.20,1.2286,0.0038,1.52
n=9437184,fp16,0.0085,0.0084,0.0084,1.01,1.01,0.9953,0.0077,1.09
n=9437184,bf16,0.0083,0.0083,0.0084,1.01,0.99,1.0159,0.0073,1.14
n=9437184,fp32,0.0143,0.0146,0.0148,0.98,0.96,1.0175,0.0139,0.99
n=9437184,int8,0.0067,0.0046,0.0054,1.46,1.25,1.1700,0.0040,1.61
n=10485760,fp16,0.0091,0.0085,0.0093,1.07,0.98,1.0950,0.0088,1.03
n=10485760,bf16,0.0090,0.0084,0.0091,1.08,0.99,1.0884,0.0086,1.06
n=10485760,fp32,0.0155,0.0152,0.0156,1.02,1.00,1.0225,0.0150,1.01
n=10485760,int8,0.0072,0.0047,0.0057,1.53,1.28,1.2011,0.0049,1.45
n=11534336,fp16,0.0099,0.0092,0.0100,1.08,0.99,1.0900,0.0092,1.07
n=11534336,bf16,0.0099,0.0095,0.0100,1.04,0.99,1.0448,0.0092,1.06
n=11534336,fp32,0.0163,0.0173,0.0163,0.94,1.00,0.9390,0.0162,1.02
n=11534336,int8,0.0077,0.0054,0.0060,1.42,1.29,1.1014,0.0052,1.47
n=12582912,fp16,0.0105,0.0105,0.0107,1.01,0.99,1.0177,0.0103,1.02
n=12582912,bf16,0.0104,0.0103,0.0106,1.01,0.98,1.0281,0.0098,1.07
n=12582912,fp32,0.0177,0.0175,0.0177,1.01,1.00,1.0137,0.0175,1.00
n=12582912,int8,0.0083,0.0052,0.0063,1.59,1.32,1.2056,0.0052,1.58
n=13631488,fp16,0.0112,0.0110,0.0111,1.01,1.00,1.0090,0.0106,1.06
n=13631488,bf16,0.0111,0.0110,0.0111,1.01,1.00,1.0139,0.0106,1.08
n=13631488,fp32,0.0189,0.0189,0.0190,1.00,1.00,1.0039,0.0188,1.01
n=13631488,int8,0.0089,0.0059,0.0068,1.53,1.32,1.1609,0.0058,1.50
n=14680064,fp16,0.0120,0.0112,0.0119,1.08,1.01,1.0652,0.0112,1.06
n=14680064,bf16,0.0120,0.0116,0.0121,1.04,0.99,1.0475,0.0115,1.04
n=14680064,fp32,0.0200,0.0209,0.0201,0.96,1.00,0.9598,0.0200,1.03
n=14680064,int8,0.0093,0.0060,0.0071,1.53,1.30,1.1778,0.0062,1.52
n=15728640,fp16,0.0125,0.0124,0.0127,1.01,0.99,1.0237,0.0126,1.00
n=15728640,bf16,0.0126,0.0125,0.0128,1.01,0.99,1.0246,0.0126,0.99
n=15728640,fp32,0.0214,0.0214,0.0214,1.00,1.00,1.0039,0.0213,1.00
n=15728640,int8,0.0100,0.0071,0.0077,1.40,1.29,1.0849,0.0066,1.53
n=16777216,fp16,0.0131,0.0130,0.0131,1.01,1.00,1.0078,0.0127,1.04
n=16777216,bf16,0.0132,0.0131,0.0133,1.01,0.99,1.0187,0.0129,1.03
n=16777216,fp32,0.0224,0.0234,0.0225,0.96,1.00,0.9603,0.0224,1.00
n=16777216,int8,0.0105,0.0076,0.0081,1.38,1.29,1.0688,0.0071,1.50
n=17825792,fp16,0.0138,0.0132,0.0139,1.04,0.99,1.0460,0.0132,1.04
n=17825792,bf16,0.0139,0.0133,0.0140,1.04,0.99,1.0559,0.0134,1.04
n=17825792,fp32,0.0238,0.0236,0.0237,1.01,1.00,1.0065,0.0238,1.01
n=17825792,int8,0.0110,0.0080,0.0086,1.37,1.28,1.0756,0.0073,1.51
n=18874368,fp16,0.0143,0.0146,0.0148,0.98,0.97,1.0106,0.0145,1.00
n=18874368,bf16,0.0145,0.0146,0.0147,1.00,0.99,1.0071,0.0146,1.00
n=18874368,fp32,0.0250,0.0249,0.0252,1.00,0.99,1.0099,0.0250,1.00
n=18874368,int8,0.0117,0.0084,0.0091,1.38,1.28,1.0812,0.0082,1.42
n=19922944,fp16,0.0152,0.0151,0.0152,1.01,1.00,1.0064,0.0146,1.04
n=19922944,bf16,0.0151,0.0149,0.0151,1.01,1.00,1.0082,0.0153,0.99
n=19922944,fp32,0.0264,0.0274,0.0264,0.96,1.00,0.9638,0.0263,1.00
n=19922944,int8,0.0122,0.0084,0.0095,1.45,1.28,1.1320,0.0083,1.49
n=20971520,fp16,0.0158,0.0152,0.0161,1.04,0.98,1.0573,0.0153,1.05
n=20971520,bf16,0.0158,0.0152,0.0160,1.04,0.99,1.0545,0.0151,1.06
n=20971520,fp32,0.0276,0.0275,0.0277,1.00,1.00,1.0073,0.0273,1.00
n=20971520,int8,0.0128,0.0087,0.0099,1.47,1.29,1.1451,0.0088,1.47
