params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
n=1048576,fp32,0.0024,0.0023,0.0026,1.02,0.93,1.1304,0.0027,0.89
n=2097152,fp32,0.0031,0.0030,0.0031,1.02,0.97,1.0333,0.0032,0.94
n=3145728,fp32,0.0047,0.0044,0.0047,1.08,1.00,1.0682,0.0047,1.01
n=4194304,fp32,0.0055,0.0052,0.0054,1.06,1.01,1.0385,0.0052,1.01
n=5242880,fp32,0.0068,0.0064,0.0068,1.06,1.00,1.0625,0.0071,0.97
n=6291456,fp32,0.0080,0.0078,0.0082,1.02,0.98,1.0513,0.0086,0.95
n=7340032,fp32,0.0095,0.0091,0.0093,1.04,1.01,1.0220,0.0097,0.96
n=8388608,fp32,0.0104,0.0101,0.0102,1.03,1.01,1.0099,0.0110,0.97
n=9437184,fp32,0.0118,0.0115,0.0116,1.02,1.01,1.0087,0.0121,0.97
n=10485760,fp32,0.0125,0.0122,0.0123,1.03,1.02,1.0082,0.0132,0.95
n=11534336,fp32,0.0135,0.0134,0.0133,1.01,1.01,0.9925,0.0140,0.96
n=12582912,fp32,0.0146,0.0142,0.0144,1.03,1.01,1.0141,0.0150,0.96
n=13631488,fp32,0.0152,0.0150,0.0151,1.01,1.01,1.0067,0.0159,0.95
n=14680064,fp32,0.0164,0.0161,0.0163,1.01,1.01,1.0124,0.0169,0.96
n=15728640,fp32,0.0168,0.0169,0.0168,0.99,1.00,0.9941,0.0178,0.95
n=16777216,fp32,0.0182,0.0180,0.0180,1.01,1.01,1.0000,0.0186,0.96
n=17825792,fp32,0.0188,0.0189,0.0187,0.99,1.00,0.9894,0.0196,0.96
n=18874368,fp32,0.0199,0.0198,0.0195,1.00,1.02,0.9848,0.0204,0.97
n=19922944,fp32,0.0205,0.0208,0.0205,0.99,1.00,0.9856,0.0216,0.95
n=20971520,fp32,0.0216,0.0217,0.0216,1.00,1.00,0.9954,0.0225,0.96
