params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=1048576,fp16,0.0023,0.0023,0.0023,1.02,1.00,1.0185,0.0022,1.03,0.0258,0.0539,0.48
n=1048576,bf16,0.0023,0.0023,0.0024,1.00,0.95,1.0505,0.0023,0.98,0.0261,0.0549,0.48
n=1048576,fp32,0.0027,0.0026,0.0028,1.05,0.98,1.0685,0.0026,1.04,0.0321,0.0798,0.40
n=1048576,int8,0.0020,0.0020,0.0020,1.03,0.99,1.0472,0.0020,0.98,0.0249,0.0392,0.63
n=2097152,fp16,0.0031,0.0035,0.0029,0.89,1.05,0.8496,0.0029,1.06,0.0326,0.0798,0.41
n=2097152,bf16,0.0028,0.0034,0.0030,0.82,0.94,0.8676,0.0024,1.14,0.0328,0.0863,0.38
n=2097152,fp32,0.0038,0.0038,0.0039,1.00,0.98,1.0201,0.0035,1.08,0.0454,0.1392,0.33
n=2097152,int8,0.0025,0.0023,0.0028,1.06,0.87,1.2150,0.0027,0.92,0.0293,0.0551,0.53
n=3145728,fp16,0.0038,0.0032,0.0033,1.21,1.17,1.0337,0.0029,1.31,0.0378,0.1101,0.34
n=3145728,bf16,0.0036,0.0032,0.0034,1.10,1.06,1.0454,0.0032,1.11,0.0384,0.1095,0.35
n=3145728,fp32,0.0055,0.0056,0.0058,0.98,0.95,1.0354,0.0053,1.03,0.0582,0.1970,0.30
n=3145728,int8,0.0033,0.0031,0.0036,1.03,0.91,1.1392,0.0027,1.21,0.0310,0.0690,0.45
n=4194304,fp16,0.0046,0.0037,0.0038,1.23,1.19,1.0335,0.0038,1.20,0.0455,0.1389,0.33
n=4194304,bf16,0.0043,0.0038,0.0039,1.14,1.10,1.0365,0.0037,1.17,0.0455,0.1417,0.32
n=4194304,fp32,0.0070,0.0067,0.0068,1.05,1.03,1.0155,0.0065,1.08,0.0719,0.2543,0.28
n=4194304,int8,0.0039,0.0035,0.0035,1.10,1.10,1.0057,0.0033,1.19,0.0347,0.0828,0.42
n=5242880,fp16,0.0053,0.0059,0.0049,0.90,1.09,0.8271,0.0044,1.21,0.0505,0.1676,0.30
n=5242880,bf16,0.0052,0.0060,0.0050,0.86,1.04,0.8289,0.0048,1.09,0.0496,0.1688,0.29
n=5242880,fp32,0.0088,0.0081,0.0085,1.09,1.03,1.0532,0.0083,1.07,0.0862,0.3190,0.27
n=5242880,int8,0.0046,0.0035,0.0044,1.31,1.05,1.2470,0.0035,1.33,0.0410,0.0986,0.42
n=6291456,fp16,0.0064,0.0058,0.0060,1.10,1.08,1.0217,0.0057,1.12,0.0576,0.1971,0.29
n=6291456,bf16,0.0061,0.0059,0.0055,1.04,1.11,0.9424,0.0056,1.09,0.0592,0.2000,0.30
n=6291456,fp32,0.0101,0.0094,0.0105,1.08,0.96,1.1257,0.0097,1.04,0.0974,0.3865,0.25
n=6291456,int8,0.0051,0.0039,0.0048,1.32,1.07,1.2382,0.0036,1.40,0.0462,0.1130,0.41
n=7340032,fp16,0.0075,0.0062,0.0063,1.19,1.18,1.0106,0.0063,1.19,0.0682,0.2278,0.30
n=7340032,bf16,0.0070,0.0064,0.0065,1.11,1.09,1.0164,0.0062,1.13,0.0677,0.2261,0.30
n=7340032,fp32,0.0118,0.0110,0.0116,1.07,1.02,1.0544,0.0114,1.03,0.1129,0.4429,0.25
n=7340032,int8,0.0058,0.0041,0.0064,1.39,0.90,1.5418,0.0042,1.37,0.0511,0.1280,0.40
n=8388608,fp16,0.0084,0.0076,0.0072,1.10,1.17,0.9435,0.0068,1.24,0.0718,0.2546,0.28
n=8388608,bf16,0.0078,0.0075,0.0070,1.04,1.11,0.9375,0.0070,1.11,0.0730,0.2555,0.29
n=8388608,fp32,0.0127,0.0131,0.0129,0.97,0.99,0.9849,0.0124,1.02,0.1259,0.5107,0.25
n=8388608,int8,0.0062,0.0045,0.0059,1.38,1.06,1.3085,0.0044,1.43,0.0555,0.1402,0.40
n=9437184,fp16,0.0093,0.0084,0.0085,1.11,1.09,1.0159,0.0081,1.15,0.0789,0.2839,0.28
n=9437184,bf16,0.0087,0.0083,0.0084,1.05,1.03,1.0174,0.0084,1.04,0.0785,0.2867,0.27
n=9437184,fp32,0.0143,0.0146,0.0149,0.98,0.96,1.0179,0.0140,1.02,0.1406,0.5715,0.25
n=9437184,int8,0.0070,0.0050,0.0065,1.42,1.08,1.3182,0.0062,1.13,0.0570,0.1557,0.37
n=10485760,fp16,0.0103,0.0087,0.0088,1.18,1.17,1.0081,0.0088,1.17,0.0847,0.3150,0.27
n=10485760,bf16,0.0094,0.0086,0.0086,1.10,1.09,1.0011,0.0086,1.09,0.0875,0.3169,0.28
n=10485760,fp32,0.0156,0.0153,0.0156,1.02,1.00,1.0191,0.0153,1.02,0.1536,0.6375,0.24
n=10485760,int8,0.0076,0.0056,0.0085,1.35,0.89,1.5165,0.0053,1.43,0.0606,0.1694,0.36
n=11534336,fp16,0.0112,0.0094,0.0095,1.19,1.18,1.0143,0.0093,1.20,0.0928,0.3426,0.27
n=11534336,bf16,0.0103,0.0099,0.0100,1.03,1.03,1.0030,0.0094,1.10,0.0921,0.3428,0.27
n=11534336,fp32,0.0163,0.0170,0.0164,0.96,0.99,0.9646,0.0165,0.99,0.1675,0.7043,0.24
n=11534336,int8,0.0082,0.0055,0.0074,1.49,1.10,1.3489,0.0058,1.41,0.0662,0.1842,0.36
n=12582912,fp16,0.0119,0.0105,0.0107,1.13,1.11,1.0171,0.0105,1.13,0.0980,0.3715,0.26
n=12582912,bf16,0.0109,0.0103,0.0105,1.05,1.03,1.0173,0.0104,1.05,0.0988,0.3721,0.27
n=12582912,fp32,0.0177,0.0175,0.0177,1.01,1.00,1.0099,0.0174,1.02,0.1846,0.7513,0.25
n=12582912,int8,0.0086,0.0058,0.0079,1.48,1.10,1.3526,0.0060,1.44,0.0715,0.2010,0.36
n=13631488,fp16,0.0127,0.0111,0.0109,1.15,1.17,0.9779,0.0107,1.18,0.1056,0.4157,0.25
n=13631488,bf16,0.0115,0.0110,0.0106,1.04,1.08,0.9635,0.0103,1.11,0.1073,0.4021,0.27
n=13631488,fp32,0.0190,0.0189,0.0190,1.01,1.00,1.0037,0.0185,1.03,0.1948,0.8196,0.24
n=13631488,int8,0.0094,0.0063,0.0085,1.48,1.10,1.3447,0.0065,1.44,0.0710,0.2135,0.33
n=14680064,fp16,0.0136,0.0113,0.0112,1.20,1.21,0.9919,0.0116,1.17,0.1132,0.4434,0.26
n=14680064,bf16,0.0124,0.0116,0.0116,1.07,1.07,1.0068,0.0115,1.08,0.1130,0.4435,0.25
n=14680064,fp32,0.0201,0.0209,0.0214,0.96,0.94,1.0216,0.0213,0.94,0.2077,0.8773,0.24
n=14680064,int8,0.0098,0.0066,0.0089,1.49,1.10,1.3469,0.0067,1.45,0.0795,0.2274,0.35
n=15728640,fp16,0.0143,0.0125,0.0127,1.15,1.13,1.0164,0.0125,1.14,0.1222,0.4784,0.26
n=15728640,bf16,0.0132,0.0126,0.0128,1.05,1.03,1.0187,0.0127,1.04,0.1229,0.4607,0.27
n=15728640,fp32,0.0214,0.0213,0.0215,1.01,1.00,1.0075,0.0214,1.00,0.2210,0.8977,0.25
n=15728640,int8,0.0106,0.0077,0.0096,1.38,1.11,1.2468,0.0073,1.46,0.0817,0.2426,0.34
n=16777216,fp16,0.0150,0.0131,0.0126,1.15,1.20,0.9578,0.0126,1.19,0.1257,0.5094,0.25
n=16777216,bf16,0.0138,0.0126,0.0127,1.09,1.09,1.0028,0.0128,1.08,0.1258,0.4936,0.25
n=16777216,fp32,0.0226,0.0235,0.0225,0.96,1.00,0.9591,0.0227,1.00,0.2359,0.9548,0.25
n=16777216,int8,0.0113,0.0082,0.0101,1.37,1.11,1.2332,0.0078,1.46,0.0813,0.2576,0.32
n=17825792,fp16,0.0158,0.0134,0.0134,1.18,1.18,1.0011,0.0132,1.20,0.1325,0.5340,0.25
n=17825792,bf16,0.0145,0.0133,0.0134,1.09,1.08,1.0009,0.0134,1.08,0.1322,0.5232,0.25
n=17825792,fp32,0.0238,0.0236,0.0237,1.01,1.00,1.0047,0.0236,1.01,0.2485,1.0674,0.23
n=17825792,int8,0.0118,0.0087,0.0107,1.37,1.11,1.2341,0.0082,1.44,0.0861,0.2767,0.31
n=18874368,fp16,0.0165,0.0145,0.0148,1.14,1.12,1.0178,0.0139,1.18,0.1407,0.5551,0.25
n=18874368,bf16,0.0152,0.0147,0.0147,1.03,1.03,1.0002,0.0139,1.10,0.1383,0.5477,0.25
n=18874368,fp32,0.0250,0.0250,0.0250,1.00,1.00,1.0018,0.0248,1.01,0.2615,1.1061,0.24
n=18874368,int8,0.0125,0.0083,0.0112,1.51,1.12,1.3526,0.0086,1.46,0.0904,0.2905,0.31
n=19922944,fp16,0.0175,0.0152,0.0148,1.15,1.19,0.9736,0.0144,1.21,0.1471,0.5961,0.25
n=19922944,bf16,0.0158,0.0150,0.0143,1.05,1.10,0.9548,0.0143,1.10,0.1470,0.5878,0.25
n=19922944,fp32,0.0265,0.0263,0.0264,1.01,1.00,1.0047,0.0263,1.01,0.2754,1.1303,0.24
n=19922944,int8,0.0132,0.0088,0.0118,1.49,1.12,1.3384,0.0091,1.45,0.0945,0.3056,0.31
n=20971520,fp16,0.0184,0.0152,0.0153,1.21,1.20,1.0065,0.0152,1.21,0.1542,0.6254,0.25
n=20971520,bf16,0.0166,0.0151,0.0152,1.10,1.09,1.0038,0.0152,1.09,0.1557,0.6056,0.26
n=20971520,fp32,0.0276,0.0275,0.0277,1.00,1.00,1.0075,0.0274,1.01,0.2963,1.2087,0.25
n=20971520,int8,0.0138,0.0092,0.0123,1.50,1.12,1.3380,0.0095,1.46,0.0975,0.3204,0.30
