params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=1048576,fp16,0.0023,0.0023,0.0024,1.01,0.97,1.0424,0.0022,1.03,0.0221,0.0501,0.44
n=1048576,bf16,0.0023,0.0023,0.0024,1.00,0.95,1.0588,0.0022,1.05,0.0220,0.0501,0.44
n=1048576,fp32,0.0027,0.0026,0.0027,1.04,1.02,1.0205,0.0026,1.05,0.0269,0.0808,0.33
n=1048576,int8,0.0020,0.0019,0.0020,1.04,1.00,1.0474,0.0019,1.04,0.0209,0.0369,0.57
n=2097152,fp16,0.0032,0.0030,0.0030,1.08,1.05,1.0192,0.0030,1.06,0.0270,0.0808,0.33
n=2097152,bf16,0.0029,0.0031,0.0031,0.96,0.96,0.9991,0.0029,1.00,0.0269,0.0807,0.33
n=2097152,fp32,0.0044,0.0043,0.0044,1.01,1.00,1.0171,0.0043,1.01,0.0390,0.1426,0.27
n=2097152,int8,0.0025,0.0026,0.0029,0.98,0.89,1.1056,0.0026,0.97,0.0256,0.0564,0.45
n=3145728,fp16,0.0038,0.0033,0.0034,1.13,1.10,1.0265,0.0033,1.15,0.0323,0.1054,0.31
n=3145728,bf16,0.0037,0.0036,0.0037,1.01,1.00,1.0096,0.0035,1.06,0.0323,0.1054,0.31
n=3145728,fp32,0.0052,0.0051,0.0053,1.03,0.97,1.0518,0.0051,1.01,0.0521,0.1910,0.27
n=3145728,int8,0.0032,0.0031,0.0036,1.04,0.91,1.1432,0.0030,1.07,0.0301,0.0685,0.44
n=4194304,fp16,0.0046,0.0041,0.0042,1.14,1.10,1.0322,0.0042,1.10,0.0389,0.1336,0.29
n=4194304,bf16,0.0044,0.0040,0.0042,1.09,1.06,1.0333,0.0041,1.07,0.0388,0.1336,0.29
n=4194304,fp32,0.0071,0.0071,0.0071,1.00,1.00,1.0054,0.0070,1.01,0.0662,0.2488,0.27
n=4194304,int8,0.0039,0.0037,0.0043,1.05,0.91,1.1563,0.0036,1.10,0.0325,0.0841,0.39
n=5242880,fp16,0.0054,0.0048,0.0050,1.12,1.09,1.0317,0.0047,1.14,0.0447,0.1627,0.27
n=5242880,bf16,0.0052,0.0048,0.0050,1.07,1.04,1.0285,0.0049,1.07,0.0447,0.1627,0.27
n=5242880,fp32,0.0088,0.0087,0.0087,1.01,1.00,1.0065,0.0087,1.01,0.0770,0.3173,0.24
n=5242880,int8,0.0045,0.0043,0.0049,1.03,0.91,1.1403,0.0042,1.08,0.0373,0.0966,0.39
n=6291456,fp16,0.0066,0.0059,0.0060,1.12,1.11,1.0118,0.0059,1.11,0.0522,0.1912,0.27
n=6291456,bf16,0.0061,0.0058,0.0059,1.05,1.02,1.0284,0.0058,1.06,0.0522,0.1912,0.27
n=6291456,fp32,0.0101,0.0101,0.0101,1.01,1.00,1.0060,0.0103,0.98,0.0922,0.3780,0.24
n=6291456,int8,0.0051,0.0049,0.0057,1.04,0.89,1.1689,0.0048,1.07,0.0413,0.1122,0.37
n=7340032,fp16,0.0072,0.0064,0.0066,1.12,1.09,1.0237,0.0065,1.11,0.0603,0.2276,0.26
n=7340032,bf16,0.0068,0.0064,0.0066,1.05,1.03,1.0245,0.0065,1.04,0.0603,0.2276,0.27
n=7340032,fp32,0.0114,0.0113,0.0113,1.01,1.00,1.0017,0.0115,1.00,0.1046,0.4460,0.23
n=7340032,int8,0.0058,0.0056,0.0064,1.04,0.90,1.1572,0.0055,1.06,0.0462,0.1240,0.37
n=8388608,fp16,0.0083,0.0076,0.0077,1.10,1.09,1.0103,0.0074,1.13,0.0661,0.2585,0.26
n=8388608,bf16,0.0078,0.0074,0.0076,1.05,1.03,1.0187,0.0075,1.04,0.0661,0.2585,0.26
n=8388608,fp32,0.0126,0.0124,0.0125,1.01,1.01,1.0064,0.0126,1.00,0.1170,0.5091,0.23
n=8388608,int8,0.0062,0.0064,0.0072,0.96,0.87,1.1123,0.0059,1.05,0.0503,0.1397,0.36
n=9437184,fp16,0.0095,0.0086,0.0086,1.10,1.10,1.0055,0.0085,1.12,0.0722,0.2882,0.25
n=9437184,bf16,0.0087,0.0084,0.0085,1.03,1.02,1.0104,0.0084,1.04,0.0722,0.2882,0.25
n=9437184,fp32,0.0140,0.0139,0.0139,1.01,1.00,1.0050,0.0141,0.99,0.1317,0.5722,0.23
n=9437184,int8,0.0070,0.0068,0.0079,1.02,0.89,1.1528,0.0067,1.04,0.0533,0.1520,0.35
n=10485760,fp16,0.0103,0.0091,0.0092,1.13,1.12,1.0132,0.0094,1.10,0.0770,0.3175,0.24
n=10485760,bf16,0.0095,0.0092,0.0092,1.04,1.03,1.0096,0.0091,1.05,0.0769,0.3174,0.24
n=10485760,fp32,0.0151,0.0150,0.0151,1.00,1.00,1.0021,0.0151,1.00,0.1439,0.6338,0.23
n=10485760,int8,0.0073,0.0072,0.0085,1.02,0.87,1.1771,0.0070,1.04,0.0580,0.1678,0.35
n=11534336,fp16,0.0111,0.0098,0.0099,1.13,1.12,1.0128,0.0097,1.14,0.0842,0.3535,0.24
n=11534336,bf16,0.0103,0.0098,0.0100,1.05,1.03,1.0159,0.0098,1.05,0.0843,0.3534,0.24
n=11534336,fp32,0.0164,0.0163,0.0163,1.00,1.00,1.0019,0.0164,1.00,0.1561,0.6981,0.22
n=11534336,int8,0.0079,0.0077,0.0090,1.03,0.88,1.1667,0.0076,1.04,0.0604,0.1799,0.34
n=12582912,fp16,0.0119,0.0103,0.0105,1.15,1.12,1.0197,0.0105,1.13,0.0924,0.3837,0.24
n=12582912,bf16,0.0110,0.0106,0.0107,1.05,1.03,1.0122,0.0104,1.05,0.0923,0.3838,0.24
n=12582912,fp32,0.0176,0.0175,0.0176,1.01,1.00,1.0046,0.0177,1.00,0.1734,0.7599,0.23
n=12582912,int8,0.0085,0.0082,0.0097,1.03,0.87,1.1769,0.0081,1.05,0.0637,0.1951,0.33
n=13631488,fp16,0.0127,0.0110,0.0113,1.15,1.12,1.0228,0.0112,1.13,0.0979,0.4119,0.24
n=13631488,bf16,0.0117,0.0112,0.0113,1.05,1.03,1.0153,0.0112,1.04,0.0979,0.4120,0.24
n=13631488,fp32,0.0190,0.0190,0.0190,1.00,1.00,1.0021,0.0190,1.00,0.1829,0.8264,0.22
n=13631488,int8,0.0093,0.0091,0.0106,1.02,0.87,1.1752,0.0087,1.07,0.0723,0.2079,0.35
n=14680064,fp16,0.0135,0.0118,0.0120,1.15,1.13,1.0161,0.0119,1.14,0.1047,0.4400,0.24
n=14680064,bf16,0.0123,0.0117,0.0120,1.05,1.02,1.0251,0.0120,1.03,0.1046,0.4400,0.24
n=14680064,fp32,0.0202,0.0201,0.0201,1.00,1.00,1.0011,0.0202,1.00,0.1973,0.8861,0.22
n=14680064,int8,0.0099,0.0095,0.0113,1.04,0.88,1.1852,0.0094,1.05,0.0743,0.2378,0.31
n=15728640,fp16,0.0142,0.0123,0.0126,1.15,1.13,1.0186,0.0125,1.13,0.1137,0.4765,0.24
n=15728640,bf16,0.0131,0.0125,0.0127,1.05,1.03,1.0164,0.0125,1.04,0.1136,0.4764,0.24
n=15728640,fp32,0.0213,0.0212,0.0213,1.01,1.00,1.0036,0.0213,1.00,0.2090,0.9429,0.22
n=15728640,int8,0.0104,0.0101,0.0119,1.03,0.87,1.1801,0.0098,1.06,0.0749,0.2511,0.30
n=16777216,fp16,0.0151,0.0132,0.0134,1.15,1.13,1.0161,0.0131,1.16,0.1169,0.4986,0.23
n=16777216,bf16,0.0138,0.0132,0.0135,1.04,1.03,1.0176,0.0133,1.04,0.1171,0.4987,0.23
n=16777216,fp32,0.0225,0.0224,0.0225,1.00,1.00,1.0023,0.0225,1.00,0.2252,1.0234,0.22
n=16777216,int8,0.0112,0.0108,0.0128,1.04,0.88,1.1842,0.0106,1.06,0.0766,0.2633,0.29
n=17825792,fp16,0.0160,0.0137,0.0140,1.16,1.14,1.0178,0.0140,1.14,0.1272,0.5233,0.24
n=17825792,bf16,0.0144,0.0137,0.0140,1.05,1.03,1.0196,0.0137,1.05,0.1271,0.5232,0.24
n=17825792,fp32,0.0238,0.0237,0.0238,1.00,1.00,1.0018,0.0238,1.00,0.2357,1.0683,0.22
n=17825792,int8,0.0119,0.0115,0.0136,1.03,0.88,1.1784,0.0111,1.07,0.0793,0.2791,0.28
n=18874368,fp16,0.0166,0.0144,0.0146,1.15,1.13,1.0164,0.0144,1.15,0.1317,0.5501,0.24
n=18874368,bf16,0.0152,0.0145,0.0147,1.05,1.03,1.0168,0.0145,1.05,0.1317,0.5500,0.24
n=18874368,fp32,0.0250,0.0249,0.0249,1.00,1.00,1.0000,0.0250,1.00,0.2484,1.1316,0.22
n=18874368,int8,0.0126,0.0120,0.0143,1.05,0.88,1.1880,0.0117,1.07,0.0834,0.2963,0.28
n=19922944,fp16,0.0174,0.0151,0.0154,1.15,1.13,1.0189,0.0150,1.16,0.1374,0.5851,0.23
n=19922944,bf16,0.0158,0.0151,0.0154,1.05,1.03,1.0184,0.0151,1.05,0.1371,0.5851,0.23
n=19922944,fp32,0.0262,0.0261,0.0262,1.00,1.00,1.0027,0.0262,1.00,0.2629,1.1996,0.22
n=19922944,int8,0.0132,0.0126,0.0149,1.05,0.89,1.1867,0.0123,1.07,0.0871,0.3090,0.28
n=20971520,fp16,0.0183,0.0158,0.0161,1.16,1.14,1.0179,0.0158,1.16,0.1438,0.6156,0.23
n=20971520,bf16,0.0166,0.0158,0.0160,1.05,1.03,1.0172,0.0158,1.05,0.1439,0.6155,0.23
n=20971520,fp32,0.0274,0.0274,0.0274,1.00,1.00,1.0009,0.0274,1.00,0.2795,1.2617,0.22
n=20971520,int8,0.0138,0.0132,0.0157,1.04,0.88,1.1847,0.0129,1.07,0.0856,0.3211,0.27
