params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
seq_len=1024,float32,0.9233,0.3372,0.2907,2.74,3.18
seq_len=1024,float16,0.4067,0.1065,0.1669,3.82,2.44
seq_len=2048,float32,2.3377,0.9691,0.8145,2.41,2.87
seq_len=2048,float16,1.0217,0.3551,0.3918,2.88,2.61
seq_len=3072,float32,2.6038,1.1015,1.2123,2.36,2.15
seq_len=3072,float16,1.3924,0.5018,0.5222,2.77,2.67
seq_len=4096,float32,3.6165,1.4636,1.5976,2.47,2.26
seq_len=4096,float16,1.7598,0.7845,0.7526,2.24,2.34
seq_len=5120,float32,4.2643,1.8243,1.7327,2.34,2.46
seq_len=5120,float16,2.0739,0.9032,1.1086,2.30,1.87
seq_len=6144,float32,5.3828,2.5268,2.3725,2.13,2.27
seq_len=6144,float16,2.7170,1.1621,1.1317,2.34,2.40
seq_len=7168,float32,5.6609,2.7327,2.4770,2.07,2.29
seq_len=7168,float16,3.0023,1.2317,1.2997,2.44,2.31
seq_len=8192,float32,6.6451,3.1112,2.9957,2.14,2.22
seq_len=8192,float16,3.2938,1.4876,1.5208,2.21,2.17
seq_len=9216,float32,7.6171,3.4492,3.2652,2.21,2.33
seq_len=9216,float16,4.1087,1.9119,1.8846,2.15,2.18
seq_len=10240,float32,8.5343,3.8180,3.6139,2.24,2.36
seq_len=10240,float16,4.2228,1.8783,1.7396,2.25,2.43
seq_len=11264,float32,9.6492,4.1273,3.9603,2.34,2.44
seq_len=11264,float16,4.4977,2.1593,2.1652,2.08,2.08
seq_len=12288,float32,10.3221,4.4865,4.3129,2.30,2.39
seq_len=12288,float16,5.1291,2.1357,2.2923,2.40,2.24
seq_len=13312,float32,10.6682,4.9665,5.0154,2.15,2.13
seq_len=13312,float16,5.4058,2.5486,2.4750,2.12,2.18
seq_len=14336,float32,11.4395,5.1524,5.0945,2.22,2.25
seq_len=14336,float16,5.4151,2.8581,2.7551,1.89,1.97
seq_len=15360,float32,12.2972,5.2962,5.4903,2.32,2.24
seq_len=15360,float16,6.5974,2.9753,2.9707,2.22,2.22
seq_len=16384,float32,12.8497,5.7330,6.0278,2.24,2.13
seq_len=16384,float16,6.5180,3.1965,3.0001,2.04,2.17
seq_len=17408,float32,13.9713,5.8896,6.3749,2.37,2.19
seq_len=17408,float16,7.0143,3.3024,3.3014,2.12,2.12
seq_len=18432,float32,14.9203,6.6049,7.0256,2.26,2.12
seq_len=18432,float16,7.6815,3.7487,3.5251,2.05,2.18
seq_len=19456,float32,15.5094,6.5463,7.2547,2.37,2.14
seq_len=19456,float16,7.9650,3.6984,3.6038,2.15,2.21
seq_len=20480,float32,15.9707,6.8790,7.6043,2.32,2.10
seq_len=20480,float16,8.6130,3.8983,3.7395,2.21,2.30
