params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
n=2500000,fp16,0.0042,0.0032,0.0044,1.34,0.96,1.3858,0.0030,1.39
n=2500000,bf16,0.0041,0.0032,0.0044,1.30,0.94,1.3902,0.0032,1.22
n=2500000,fp32,0.0047,0.0055,0.0052,0.86,0.91,0.9461,0.0046,1.10
n=5000000,fp16,0.0064,0.0052,0.0069,1.24,0.93,1.3336,0.0047,1.41
n=5000000,bf16,0.0065,0.0052,0.0078,1.24,0.83,1.5006,0.0047,1.48
n=5000000,fp32,0.0087,0.0083,0.0089,1.05,0.98,1.0707,0.0082,1.05
n=7500000,fp16,0.0089,0.0064,0.0098,1.39,0.91,1.5305,0.0069,1.31
n=7500000,bf16,0.0090,0.0066,0.0097,1.35,0.93,1.4642,0.0065,1.38
n=7500000,fp32,0.0118,0.0123,0.0122,0.96,0.96,0.9942,0.0117,1.00
n=10000000,fp16,0.0114,0.0085,0.0124,1.35,0.92,1.4641,0.0090,1.26
n=10000000,bf16,0.0116,0.0084,0.0125,1.37,0.93,1.4841,0.0085,1.34
n=10000000,fp32,0.0149,0.0146,0.0152,1.02,0.98,1.0436,0.0146,1.00
n=12500000,fp16,0.0136,0.0110,0.0150,1.23,0.91,1.3623,0.0110,1.25
n=12500000,bf16,0.0138,0.0111,0.0151,1.25,0.92,1.3620,0.0105,1.31
n=12500000,fp32,0.0179,0.0176,0.0182,1.02,0.98,1.0386,0.0177,0.99
n=15000000,fp16,0.0157,0.0126,0.0175,1.24,0.90,1.3844,0.0125,1.27
n=15000000,bf16,0.0161,0.0117,0.0175,1.38,0.92,1.5020,0.0117,1.37
n=15000000,fp32,0.0208,0.0205,0.0214,1.01,0.98,1.0399,0.0205,1.00
n=17500000,fp16,0.0180,0.0131,0.0200,1.37,0.90,1.5216,0.0146,1.24
n=17500000,bf16,0.0184,0.0131,0.0200,1.41,0.92,1.5310,0.0134,1.35
n=17500000,fp32,0.0235,0.0233,0.0237,1.01,0.99,1.0170,0.0235,0.99
n=20000000,fp16,0.0199,0.0143,0.0224,1.39,0.89,1.5602,0.0160,1.24
n=20000000,bf16,0.0204,0.0144,0.0224,1.42,0.91,1.5601,0.0150,1.36
n=20000000,fp32,0.0259,0.0264,0.0265,0.98,0.98,1.0051,0.0263,1.01
n=22500000,fp16,0.0222,0.0165,0.0248,1.34,0.90,1.4989,0.0179,1.25
n=22500000,bf16,0.0226,0.0161,0.0248,1.40,0.91,1.5422,0.0166,1.35
n=22500000,fp32,0.0292,0.0292,0.0294,1.00,0.99,1.0080,0.0289,1.01
n=25000000,fp16,0.0243,0.0172,0.0272,1.41,0.89,1.5820,0.0192,1.27
n=25000000,bf16,0.0247,0.0176,0.0273,1.40,0.90,1.5520,0.0176,1.40
n=25000000,fp32,0.0321,0.0320,0.0324,1.00,0.99,1.0116,0.0318,1.01
n=27500000,fp16,0.0263,0.0187,0.0297,1.41,0.89,1.5860,0.0210,1.26
n=27500000,bf16,0.0269,0.0189,0.0297,1.43,0.91,1.5747,0.0192,1.38
n=27500000,fp32,0.0355,0.0347,0.0358,1.02,0.99,1.0293,0.0350,1.00
n=30000000,fp16,0.0285,0.0203,0.0307,1.40,0.93,1.5096,0.0227,1.27
n=30000000,bf16,0.0293,0.0204,0.0307,1.44,0.96,1.5059,0.0202,1.44
n=30000000,fp32,0.0378,0.0377,0.0382,1.00,0.99,1.0113,0.0380,1.01
n=32500000,fp16,0.0305,0.0218,0.0328,1.40,0.93,1.5038,0.0248,1.24
