params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
n_cols=512,fp16,0.0050,0.0038,0.0060,1.30,0.83,1.5593
n_cols=512,fp32,0.0038,0.0041,0.0064,0.91,0.59,1.5481
n_cols=1024,fp16,0.0086,0.0041,0.0062,2.09,1.38,1.5127
n_cols=1024,fp32,0.0057,0.0044,0.0067,1.30,0.85,1.5284
n_cols=1536,fp16,0.0179,0.0062,0.0097,2.91,1.85,1.5742
n_cols=1536,fp32,0.0121,0.0075,0.0110,1.60,1.10,1.4518
n_cols=2048,fp16,0.0215,0.0064,0.0100,3.39,2.15,1.5787
n_cols=2048,fp32,0.0143,0.0083,0.0116,1.71,1.23,1.3944
n_cols=2560,fp16,0.0222,0.0089,0.0139,2.50,1.60,1.5629
n_cols=2560,fp32,0.0238,0.0108,0.0154,2.21,1.54,1.4304
n_cols=3072,fp16,0.0236,0.0088,0.0139,2.69,1.70,1.5854
n_cols=3072,fp32,0.0255,0.0115,0.0162,2.22,1.57,1.4148
n_cols=3584,fp16,0.0268,0.0115,0.0180,2.33,1.49,1.5604
n_cols=3584,fp32,0.0281,0.0139,0.0208,2.01,1.35,1.4911
n_cols=4096,fp16,0.0284,0.0116,0.0181,2.45,1.57,1.5575
n_cols=4096,fp32,0.0299,0.0149,0.0214,2.01,1.40,1.4359
n_cols=4608,fp16,0.0456,0.0139,0.0217,3.29,2.10,1.5661
n_cols=4608,fp32,0.0473,0.0176,0.0255,2.69,1.85,1.4523
n_cols=5120,fp16,0.0470,0.0140,0.0218,3.35,2.15,1.5554
n_cols=5120,fp32,0.0490,0.0187,0.0263,2.62,1.86,1.4056
n_cols=5632,fp16,0.0510,0.0162,0.0253,3.14,2.02,1.5565
n_cols=5632,fp32,0.0528,0.0215,0.0301,2.45,1.76,1.3951
n_cols=6144,fp16,0.0524,0.0164,0.0255,3.19,2.05,1.5538
n_cols=6144,fp32,0.0548,0.0231,0.0316,2.37,1.74,1.3649
n_cols=6656,fp16,0.0557,0.0186,0.0294,3.00,1.90,1.5838
n_cols=6656,fp32,0.0576,0.0257,0.0347,2.24,1.66,1.3476
n_cols=7168,fp16,0.0570,0.0187,0.0298,3.05,1.91,1.5915
n_cols=7168,fp32,0.0591,0.0274,0.0346,2.15,1.71,1.2596
n_cols=7680,fp16,0.0651,0.0210,0.0338,3.10,1.93,1.6086
n_cols=7680,fp32,0.0641,0.0304,0.0390,2.11,1.65,1.2816
n_cols=8192,fp16,0.0663,0.0213,0.0341,3.11,1.95,1.5997
n_cols=8192,fp32,0.0655,0.0323,0.0391,2.03,1.68,1.2106
n_cols=8704,fp16,0.0653,0.0234,0.0383,2.79,1.71,1.6370
n_cols=8704,fp32,0.0675,0.0353,0.0441,1.91,1.53,1.2481
n_cols=9216,fp16,0.0667,0.0236,0.0382,2.82,1.74,1.6181
n_cols=9216,fp32,0.0703,0.0374,0.0442,1.88,1.59,1.1828
n_cols=9728,fp16,0.0445,0.0263,0.0428,1.69,1.04,1.6274
n_cols=9728,fp32,0.0496,0.0398,0.0490,1.25,1.01,1.2318
n_cols=10240,fp16,0.0449,0.0266,0.0425,1.69,1.06,1.5997
n_cols=10240,fp32,0.0500,0.0416,0.0494,1.20,1.01,1.1883
