params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
"m=1024, n=4096",fp16,0.0260,0.0940,0.3308,0.28,0.08,3.5207
"m=1024, n=4096",bf16,0.0257,0.0944,0.3303,0.27,0.08,3.4968
"m=1024, n=4096",fp32,0.0468,0.1114,0.3675,0.42,0.13,3.2983
"m=1024, n=5120",fp16,0.0312,0.0979,0.4823,0.32,0.06,4.9273
"m=1024, n=5120",bf16,0.0309,0.0980,0.4829,0.32,0.06,4.9273
"m=1024, n=5120",fp32,0.0754,0.1454,0.5530,0.52,0.14,3.8042
"m=1024, n=11008",fp16,0.0778,0.1792,0.5851,0.43,0.13,3.2642
"m=1024, n=11008",bf16,0.0745,0.1794,0.5845,0.42,0.13,3.2585
"m=1024, n=11008",fp32,0.1286,0.2802,0.7474,0.46,0.17,2.6677
"m=1024, n=14336",fp16,0.0850,0.2071,0.5602,0.41,0.15,2.7058
"m=1024, n=14336",bf16,0.0839,0.2068,0.5600,0.41,0.15,2.7075
"m=1024, n=14336",fp32,0.1705,0.3264,0.6725,0.52,0.25,2.0604
"m=1024, n=28672",fp16,0.1728,0.3414,0.6999,0.51,0.25,2.0504
"m=1024, n=28672",bf16,0.1649,0.3390,0.6985,0.49,0.24,2.0606
"m=1024, n=28672",fp32,0.3154,0.5539,0.9143,0.57,0.34,1.6507
"m=2048, n=4096",fp16,0.0456,0.1302,0.5434,0.35,0.08,4.1726
"m=2048, n=4096",bf16,0.0449,0.1297,0.5443,0.35,0.08,4.1977
"m=2048, n=4096",fp32,0.0874,0.2126,0.6578,0.41,0.13,3.0942
"m=2048, n=5120",fp16,0.0537,0.1574,0.5435,0.34,0.10,3.4517
"m=2048, n=5120",bf16,0.0519,0.1585,0.5425,0.33,0.10,3.4239
"m=2048, n=5120",fp32,0.1219,0.2568,0.6766,0.47,0.18,2.6352
"m=2048, n=11008",fp16,0.1182,0.2709,0.6673,0.44,0.18,2.4628
"m=2048, n=11008",bf16,0.1126,0.2726,0.6658,0.41,0.17,2.4418
"m=2048, n=11008",fp32,0.2311,0.4461,0.8593,0.52,0.27,1.9261
"m=2048, n=14336",fp16,0.1631,0.3455,0.7111,0.47,0.23,2.0580
"m=2048, n=14336",bf16,0.1559,0.3443,0.7100,0.45,0.22,2.0622
"m=2048, n=14336",fp32,0.3108,0.5548,0.9234,0.56,0.34,1.6642
"m=2048, n=28672",fp16,0.3153,0.6293,0.9651,0.50,0.33,1.5336
"m=2048, n=28672",bf16,0.2997,0.6178,0.9610,0.49,0.31,1.5556
"m=2048, n=28672",fp32,0.6195,1.0506,1.3562,0.59,0.46,1.2909
"m=4096, n=4096",fp16,0.0909,0.2206,0.6866,0.41,0.13,3.1122
"m=4096, n=4096",bf16,0.0876,0.2191,0.6848,0.40,0.13,3.1251
"m=4096, n=4096",fp32,0.1775,0.3825,0.8618,0.46,0.21,2.2528
"m=4096, n=5120",fp16,0.1143,0.2614,0.6881,0.44,0.17,2.6324
"m=4096, n=5120",bf16,0.1099,0.2622,0.6862,0.42,0.16,2.6173
"m=4096, n=5120",fp32,0.2209,0.4572,0.8791,0.48,0.25,1.9229
"m=4096, n=11008",fp16,0.2404,0.4986,0.8951,0.48,0.27,1.7953
"m=4096, n=11008",bf16,0.2298,0.4934,0.8938,0.47,0.26,1.8116
"m=4096, n=11008",fp32,0.4811,0.8527,1.2236,0.56,0.39,1.4350
"m=4096, n=14336",fp16,0.3150,0.6284,0.9678,0.50,0.33,1.5402
"m=4096, n=14336",bf16,0.3004,0.6222,0.9583,0.48,0.31,1.5401
"m=4096, n=14336",fp32,0.6361,1.0485,1.3526,0.61,0.47,1.2901
"m=4096, n=28672",fp16,0.6369,1.2363,1.5094,0.52,0.42,1.2209
"m=4096, n=28672",bf16,0.6090,1.2033,1.4808,0.51,0.41,1.2306
"m=4096, n=28672",fp32,1.2242,2.0867,2.3103,0.59,0.53,1.1072
"m=8192, n=4096",fp16,0.1745,0.3575,0.8197,0.49,0.21,2.2927
"m=8192, n=4096",bf16,0.1666,0.3553,0.8213,0.47,0.20,2.3118
"m=8192, n=4096",fp32,0.3370,0.6402,1.1000,0.53,0.31,1.7182
"m=8192, n=5120",fp16,0.2219,0.4527,0.8230,0.49,0.27,1.8181
"m=8192, n=5120",bf16,0.2114,0.4485,0.8186,0.47,0.26,1.8251
"m=8192, n=5120",fp32,0.4337,0.7658,1.1233,0.57,0.39,1.4668
"m=8192, n=11008",fp16,0.4697,0.9598,1.2356,0.49,0.38,1.2874
"m=8192, n=11008",bf16,0.4563,0.9433,1.2222,0.48,0.37,1.2957
"m=8192, n=11008",fp32,1.0180,1.5912,1.8189,0.64,0.56,1.1431
"m=8192, n=14336",fp16,0.6377,1.2619,1.5180,0.51,0.42,1.2029
"m=8192, n=14336",bf16,0.6094,1.2273,1.4832,0.50,0.41,1.2086
"m=8192, n=14336",fp32,1.2872,2.1013,2.3057,0.61,0.56,1.0973
"m=8192, n=28672",fp16,1.3547,2.5126,2.6735,0.54,0.51,1.0640
"m=8192, n=28672",bf16,1.2546,2.5128,2.6108,0.50,0.48,1.0390
"m=8192, n=28672",fp32,2.7182,4.1467,4.3075,0.66,0.63,1.0388
