params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
"m=1024, n=4096",fp16,0.0260,0.0939,0.3307,0.28,0.08,3.5237,0.0847,0.31
"m=1024, n=4096",bf16,0.0258,0.0944,0.3301,0.27,0.08,3.4982,0.0843,0.31
"m=1024, n=4096",fp32,0.0468,0.1117,0.3671,0.42,0.13,3.2862,0.2259,0.21
"m=1024, n=5120",fp16,0.0311,0.1162,0.4813,0.27,0.06,4.1416,0.1167,0.27
"m=1024, n=5120",bf16,0.0312,0.1161,0.4825,0.27,0.06,4.1553,0.1161,0.27
"m=1024, n=5120",fp32,0.0754,0.1430,0.5548,0.53,0.14,3.8788,0.3000,0.25
"m=1024, n=11008",fp16,0.0767,0.1783,0.5874,0.43,0.13,3.2939,0.2069,0.33
"m=1024, n=11008",bf16,0.0774,0.1784,0.5838,0.43,0.13,3.2716,0.2064,0.32
"m=1024, n=11008",fp32,0.1288,0.2818,0.7468,0.46,0.17,2.6501,0.6113,0.21
"m=1024, n=14336",fp16,0.0850,0.2065,0.5599,0.41,0.15,2.7121,0.2488,0.34
"m=1024, n=14336",bf16,0.0839,0.2056,0.5596,0.41,0.15,2.7225,0.2478,0.34
"m=1024, n=14336",fp32,0.1696,0.3303,0.6697,0.51,0.25,2.0277,0.7397,0.23
"m=1024, n=28672",fp16,0.1727,0.3407,0.7024,0.51,0.25,2.0620,0.4544,0.38
"m=1024, n=28672",bf16,0.1656,0.3389,0.6985,0.49,0.24,2.0610,0.4533,0.37
"m=1024, n=28672",fp32,0.3155,0.6139,0.9219,0.51,0.34,1.5016,1.4258,0.21
"m=2048, n=4096",fp16,0.0458,0.1286,0.5429,0.36,0.08,4.2214,0.1579,0.29
"m=2048, n=4096",bf16,0.0449,0.1295,0.5433,0.35,0.08,4.1957,0.1574,0.29
"m=2048, n=4096",fp32,0.0873,0.2136,0.6565,0.41,0.13,3.0740,0.4534,0.19
"m=2048, n=5120",fp16,0.0536,0.1590,0.5454,0.34,0.10,3.4297,0.1875,0.28
"m=2048, n=5120",bf16,0.0517,0.1592,0.5455,0.32,0.09,3.4257,0.1875,0.28
"m=2048, n=5120",fp32,0.1220,0.2588,0.6729,0.47,0.18,2.6000,0.5464,0.22
"m=2048, n=11008",fp16,0.1180,0.2719,0.6663,0.43,0.18,2.4503,0.3536,0.32
"m=2048, n=11008",bf16,0.1129,0.2711,0.6666,0.42,0.17,2.4588,0.3527,0.30
