params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
N=1024,fp16,0.0108,0.0054,0.0082,1.99,1.32,1.5126,0.0062,1.74
N=1024,bf16,0.0109,0.0054,0.0082,2.01,1.33,1.5066,0.0061,1.80
N=1024,fp32,0.0152,0.0105,0.0111,1.45,1.38,1.0541,0.0109,1.39
N=2048,fp16,0.0180,0.0107,0.0155,1.68,1.17,1.4379,0.0112,1.60
N=2048,bf16,0.0186,0.0108,0.0156,1.73,1.19,1.4490,0.0117,1.59
N=2048,fp32,0.0253,0.0181,0.0186,1.40,1.36,1.0302,0.0187,1.36
N=3072,fp16,0.0252,0.0150,0.0217,1.68,1.16,1.4466,0.0157,1.60
N=3072,bf16,0.0250,0.0146,0.0217,1.71,1.15,1.4879,0.0158,1.58
N=3072,fp32,0.0371,0.0257,0.0261,1.45,1.42,1.0170,0.0256,1.45
N=4096,fp16,0.0319,0.0185,0.0278,1.73,1.15,1.5040,0.0197,1.62
N=4096,bf16,0.0321,0.0182,0.0277,1.76,1.16,1.5195,0.0199,1.61
N=4096,fp32,0.0496,0.0329,0.0336,1.51,1.48,1.0228,0.0322,1.54
N=5120,fp16,0.0403,0.0216,0.0338,1.87,1.19,1.5652,0.0239,1.68
N=5120,bf16,0.0406,0.0219,0.0341,1.85,1.19,1.5539,0.0242,1.68
N=5120,fp32,0.0659,0.0400,0.0406,1.65,1.62,1.0153,0.0402,1.64
N=6144,fp16,0.0485,0.0263,0.0394,1.84,1.23,1.4948,0.0274,1.77
N=6144,bf16,0.0493,0.0257,0.0403,1.92,1.22,1.5685,0.0286,1.73
N=6144,fp32,0.0782,0.0473,0.0483,1.65,1.62,1.0220,0.0472,1.66
N=7168,fp16,0.0566,0.0296,0.0454,1.91,1.25,1.5323,0.0318,1.78
N=7168,bf16,0.0571,0.0295,0.0461,1.93,1.24,1.5623,0.0328,1.74
N=7168,fp32,0.0903,0.0544,0.0554,1.66,1.63,1.0190,0.0544,1.66
N=8192,fp16,0.0640,0.0332,0.0516,1.93,1.24,1.5553,0.0359,1.78
