params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile
"N=4096, k=16",fp32,0.0255,0.0054,0.0108,4.68,2.35,1.9945
"N=4096, k=64",fp32,0.0251,0.0068,0.0108,3.69,2.32,1.5933
"N=4096, k=256",fp32,0.0372,0.0093,0.0111,4.02,3.36,1.1968
"N=4096, k=1024",fp32,0.0398,0.0260,0.0185,1.53,2.15,0.7103
"N=16384, k=16",fp32,0.0635,0.0057,0.0111,11.15,5.72,1.9483
"N=16384, k=64",fp32,0.0759,0.0070,0.0111,10.85,6.82,1.5894
"N=16384, k=256",fp32,0.0867,0.0138,0.0168,6.30,5.17,1.2198
"N=16384, k=1024",fp32,0.0774,0.0523,0.0369,1.48,2.10,0.7067
"N=65536, k=16",fp32,0.0543,0.0058,0.0112,9.42,4.84,1.9457
"N=65536, k=64",fp32,0.0566,0.0104,0.0166,5.44,3.40,1.6001
"N=65536, k=256",fp32,0.0659,0.0186,0.0221,3.53,2.97,1.1878
"N=65536, k=1024",fp32,0.0664,0.0789,0.0549,0.84,1.21,0.6952
"N=262144, k=16",fp32,0.0819,0.0096,0.0171,8.52,4.79,1.7803
"N=262144, k=64",fp32,0.0832,0.0125,0.0173,6.68,4.81,1.3875
"N=262144, k=256",fp32,0.0922,0.0261,0.0291,3.53,3.17,1.1125
"N=262144, k=1024",fp32,0.0931,0.1055,0.0747,0.88,1.25,0.7084
"N=1048576, k=16",fp32,0.1569,0.0160,0.0281,9.80,5.59,1.7547
"N=1048576, k=64",fp32,0.1565,0.0230,0.0331,6.79,4.73,1.4358
"N=1048576, k=256",fp32,0.1728,0.0433,0.0451,3.99,3.83,1.0415
"N=1048576, k=1024",fp32,0.1719,0.1718,0.1102,1.00,1.56,0.6418
