params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang,torch_nki_ms,nki_ms,speedup_nki
n=1048576,fp16,0.0024,0.0025,0.0026,0.98,0.95,1.0303,0.0024,1.01,0.0266,0.0571,0.47
n=1048576,bf16,0.0024,0.0023,0.0024,1.04,1.00,1.0379,0.0023,1.03,0.0266,0.0572,0.47
n=1048576,fp32,0.0030,0.0030,0.0031,1.01,0.97,1.0428,0.0029,1.02,0.0327,0.0949,0.34
n=1048576,int8,0.0022,0.0021,0.0023,1.05,0.96,1.0943,0.0021,1.07,0.0245,0.0442,0.55
n=2097152,fp16,0.0032,0.0031,0.0031,1.03,1.01,1.0258,0.0031,1.04,0.0327,0.0949,0.34
n=2097152,bf16,0.0031,0.0031,0.0032,1.01,0.98,1.0324,0.0030,1.05,0.0327,0.0949,0.34
n=2097152,fp32,0.0050,0.0050,0.0051,1.01,0.99,1.0246,0.0050,1.00,0.0511,0.1709,0.30
n=2097152,int8,0.0027,0.0027,0.0031,1.01,0.87,1.1578,0.0026,1.05,0.0309,0.0700,0.44
n=3145728,fp16,0.0047,0.0045,0.0045,1.04,1.03,1.0050,0.0043,1.08,0.0423,0.1196,0.35
n=3145728,bf16,0.0045,0.0042,0.0044,1.07,1.04,1.0325,0.0042,1.07,0.0424,0.1196,0.35
n=3145728,fp32,0.0079,0.0079,0.0080,1.01,1.00,1.0099,0.0078,1.01,0.0707,0.2502,0.28
n=3145728,int8,0.0033,0.0032,0.0037,1.03,0.90,1.1473,0.0030,1.09,0.0354,0.0859,0.41
n=4194304,fp16,0.0056,0.0055,0.0056,1.03,1.01,1.0201,0.0054,1.03,0.0511,0.1608,0.32
n=4194304,bf16,0.0059,0.0057,0.0058,1.04,1.02,1.0182,0.0056,1.06,0.0511,0.1607,0.32
n=4194304,fp32,0.0102,0.0102,0.0102,1.00,1.00,1.0021,0.0102,1.00,0.0934,0.3269,0.29
n=4194304,int8,0.0038,0.0037,0.0044,1.02,0.86,1.1867,0.0035,1.07,0.0404,0.1062,0.38
n=5242880,fp16,0.0069,0.0067,0.0068,1.04,1.02,1.0173,0.0067,1.03,0.0623,0.1867,0.33
n=5242880,bf16,0.0069,0.0066,0.0068,1.05,1.02,1.0262,0.0067,1.04,0.0623,0.1867,0.33
n=5242880,fp32,0.0123,0.0124,0.0124,0.99,0.99,1.0042,0.0122,1.01,0.1109,0.4067,0.27
n=5242880,int8,0.0044,0.0043,0.0050,1.02,0.88,1.1645,0.0042,1.06,0.0451,0.1225,0.37
n=6291456,fp16,0.0087,0.0082,0.0083,1.05,1.04,1.0129,0.0083,1.04,0.0709,0.2308,0.31
n=6291456,bf16,0.0084,0.0081,0.0082,1.04,1.03,1.0142,0.0081,1.03,0.0709,0.2308,0.31
n=6291456,fp32,0.0143,0.0143,0.0146,1.00,0.98,1.0163,0.0143,1.00,0.1326,0.4825,0.27
n=6291456,int8,0.0052,0.0051,0.0059,1.01,0.88,1.1419,0.0050,1.05,0.0498,0.1428,0.35
