params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile,triton_vs_cutile,tilelang_ms,speedup_tilelang
M=512,fp16,0.0185,0.0021,0.0022,8.78,8.22,1.0684,0.0020,9.84
M=512,bf16,0.0173,0.0019,0.0021,8.97,8.27,1.0848,0.0019,10.43
M=512,fp32,0.0185,0.0021,0.0025,8.66,7.53,1.1504,0.0017,10.64
M=1024,fp16,0.0276,0.0025,0.0031,10.84,8.95,1.2111,0.0024,11.32
M=1024,bf16,0.0266,0.0025,0.0031,10.80,8.53,1.2652,0.0021,12.75
M=1024,fp32,0.0265,0.0028,0.0037,9.56,7.15,1.3378,0.0030,9.70
M=1536,fp16,0.0390,0.0043,0.0064,9.16,6.04,1.5158,0.0038,10.75
M=1536,bf16,0.0381,0.0043,0.0064,8.94,5.94,1.5039,0.0040,10.09
M=1536,fp32,0.0388,0.0044,0.0068,8.73,5.69,1.5338,0.0052,8.02
M=2048,fp16,0.0583,0.0046,0.0077,12.60,7.61,1.6569,0.0042,14.08
M=2048,bf16,0.0570,0.0044,0.0077,13.09,7.38,1.7740,0.0042,13.50
M=2048,fp32,0.0598,0.0072,0.0095,8.36,6.28,1.3315,0.0069,9.02
M=2560,fp16,0.0920,0.0083,0.0140,11.04,6.57,1.6801,0.0079,11.80
M=2560,bf16,0.0913,0.0085,0.0141,10.81,6.48,1.6664,0.0057,16.30
M=2560,fp32,0.0969,0.0110,0.0161,8.81,6.02,1.4627,0.0116,8.51
M=3072,fp16,0.1331,0.0089,0.0197,14.89,6.74,2.2069,0.0084,15.87
M=3072,bf16,0.1322,0.0088,0.0197,15.01,6.73,2.2321,0.0085,15.66
M=3072,fp32,0.1405,0.0145,0.0223,9.69,6.31,1.5347,0.0141,10.01
M=3584,fp16,0.1792,0.0146,0.0263,12.26,6.82,1.7980,0.0150,11.92
M=3584,bf16,0.1788,0.0146,0.0263,12.28,6.80,1.8042,0.0110,16.29
M=3584,fp32,0.1886,0.0181,0.0289,10.41,6.52,1.5968,0.0201,9.48
M=4096,fp16,0.2264,0.0146,0.0251,15.51,9.02,1.7200,0.0135,16.89
M=4096,bf16,0.2264,0.0147,0.0251,15.44,9.03,1.7093,0.0137,16.57
M=4096,fp32,0.2420,0.0229,0.0307,10.58,7.88,1.3436,0.0226,10.70
