params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
M=512,fp16,0.0275,0.0020,0.0022,13.80,12.53
M=512,bf16,0.0263,0.0017,0.0020,15.61,12.92
M=512,fp32,0.0186,0.0020,0.0024,9.10,7.66
M=1024,fp16,0.0385,0.0026,0.0034,14.80,11.25
M=1024,bf16,0.0398,0.0025,0.0034,15.66,11.54
M=1024,fp32,0.0270,0.0028,0.0036,9.64,7.48
M=1536,fp16,0.0593,0.0044,0.0068,13.60,8.67
M=1536,bf16,0.0609,0.0042,0.0068,14.46,8.99
M=1536,fp32,0.0400,0.0052,0.0074,7.70,5.44
M=2048,fp16,0.0880,0.0049,0.0087,17.97,10.17
M=2048,bf16,0.0875,0.0048,0.0085,18.31,10.32
M=2048,fp32,0.0613,0.0070,0.0098,8.70,6.28
M=2560,fp16,0.1388,0.0087,0.0153,16.04,9.04
M=2560,bf16,0.1381,0.0085,0.0153,16.20,9.03
M=2560,fp32,0.0995,0.0106,0.0161,9.42,6.16
M=3072,fp16,0.2005,0.0093,0.0214,21.51,9.35
M=3072,bf16,0.1988,0.0090,0.0217,22.03,9.18
M=3072,fp32,0.1414,0.0143,0.0225,9.92,6.28
M=3584,fp16,0.2672,0.0147,0.0277,18.22,9.64
M=3584,bf16,0.2685,0.0147,0.0284,18.32,9.46
M=3584,fp32,0.1895,0.0183,0.0294,10.34,6.44
M=4096,fp16,0.3454,0.0147,0.0287,23.50,12.02
M=4096,bf16,0.3469,0.0147,0.0283,23.63,12.25
M=4096,fp32,0.2425,0.0230,0.0307,10.54,7.90
M=4608,fp16,0.4380,0.0223,0.0439,19.63,9.98
M=4608,bf16,0.4398,0.0224,0.0445,19.63,9.89
M=4608,fp32,0.3034,0.0277,0.0466,10.96,6.51
M=5120,fp16,0.5371,0.0212,0.0535,25.32,10.05
M=5120,bf16,0.5361,0.0210,0.0541,25.53,9.90
M=5120,fp32,0.3682,0.0340,0.0567,10.82,6.50
M=5632,fp16,0.6426,0.0321,0.0646,20.05,9.95
M=5632,bf16,0.6454,0.0321,0.0651,20.11,9.92
M=5632,fp32,0.4424,0.0405,0.0683,10.93,6.48
M=6144,fp16,0.7588,0.0289,0.0782,26.26,9.70
M=6144,bf16,0.7643,0.0292,0.0793,26.22,9.64
M=6144,fp32,0.5228,0.0469,0.0821,11.14,6.37
M=6656,fp16,0.8882,0.0437,0.0890,20.32,9.98
M=6656,bf16,0.8903,0.0436,0.0900,20.41,9.90
M=6656,fp32,0.6110,0.0540,0.0943,11.31,6.48
M=7168,fp16,1.0250,0.0380,0.1025,26.95,10.00
M=7168,bf16,1.0267,0.0375,0.1058,27.39,9.70
M=7168,fp32,0.7066,0.0623,0.1099,11.34,6.43
M=7680,fp16,1.1684,0.0580,0.1181,20.16,9.89
M=7680,bf16,1.1743,0.0580,0.1212,20.24,9.69
M=7680,fp32,0.8103,0.0719,0.1249,11.27,6.49
M=8192,fp16,1.3260,0.0492,0.1062,26.97,12.49
M=8192,bf16,1.3306,0.0491,0.1049,27.10,12.68
M=8192,fp32,0.9172,0.0800,0.1141,11.46,8.04
M=8704,fp16,1.4928,0.0727,0.1496,20.53,9.98
M=8704,bf16,1.4986,0.0727,0.1510,20.60,9.93
M=8704,fp32,1.0328,0.0905,0.1583,11.41,6.52
M=9216,fp16,1.6691,0.0597,0.1656,27.94,10.08
M=9216,bf16,1.6769,0.0593,0.1688,28.25,9.93
M=9216,fp32,1.1561,0.1000,0.1759,11.56,6.57
M=9728,fp16,1.8602,0.0903,0.1858,20.61,10.01
M=9728,bf16,1.8626,0.0903,0.1879,20.62,9.92
M=9728,fp32,1.2860,0.1113,0.1968,11.55,6.53
M=10240,fp16,2.0527,0.0723,0.2039,28.40,10.07
M=10240,bf16,2.0591,0.0724,0.2074,28.43,9.93
M=10240,fp32,1.4234,0.1230,0.2158,11.57,6.60
