operator,mode,dtype,n_cases,baseline_torch_ms,descriptor_torch_ms,baseline_triton_ms,descriptor_triton_ms,baseline_cutile_ms,descriptor_cutile_ms,baseline_speedup_triton,descriptor_speedup_triton,baseline_speedup_cutile,descriptor_speedup_cutile,torch_ms_delta_pct,triton_ms_delta_pct,cutile_ms_delta_pct,descriptor_vs_baseline_speedup
argmax,default,fp16,20,0.03447,0.034465,0.05445,0.07181,0.062915,0.062985,0.7575,0.5685,0.6745,0.6745,-0.01,31.88,0.11,0.758251
argmax,default,fp32,20,0.03738,0.03739,0.054205,0.073155,0.059145,0.05925,0.8075,0.593,0.753,0.752,0.03,34.96,0.18,0.740961
argmax,autotune,fp16,20,0.03446,0.034465,0.017,0.020395,0.028335,0.02831,2.2815,1.781,1.441,1.444,0.01,19.97,-0.09,0.833538
argmax,autotune,fp32,20,0.03734,0.037345,0.02281,0.02669,0.02378,0.023785,1.86,1.504,1.7885,1.789,0.01,17.01,0.02,0.854627
batch_normalization,default,bf16,20,0.226305,0.226555,0.070615,0.17274,0.081775,0.081985,3.5275,1.5055,3.081,3.0795,0.11,144.62,0.26,0.408794
batch_normalization,default,fp16,20,0.226765,0.22676,0.0706,0.17277,0.081945,0.082175,3.525,1.5025,3.0685,3.062,-0.00,144.72,0.28,0.408636
batch_normalization,default,fp32,20,0.134795,0.13606,0.07061,0.17713,0.081065,0.081305,2.1615,0.916,1.9135,1.9235,0.94,150.86,0.30,0.398634
batch_normalization,autotune,bf16,20,0.228415,0.22744,0.057485,0.071975,0.07097,0.0711,4.2595,3.359,3.508,3.5085,-0.43,25.21,0.18,0.79868
batch_normalization,autotune,fp16,20,0.225415,0.22695,0.05744,0.071935,0.07124,0.07155,4.229,3.3505,3.487,3.4535,0.68,25.24,0.44,0.798499
batch_normalization,autotune,fp32,20,0.135475,0.13865,0.059545,0.075235,0.07188,0.072255,2.4975,2.0225,2.1445,2.164,2.34,26.35,0.52,0.791453
batched_matmul,default,bf16,20,0.13161,0.1318,0.023285,0.03039,0.0214,0.021475,4.866,3.562,5.614,5.6105,0.14,30.51,0.35,0.766206
batched_matmul,default,fp16,20,0.131445,0.131585,0.023285,0.03041,0.021485,0.021495,4.871,3.5585,5.5735,5.5765,0.11,30.60,0.05,0.765702
batched_matmul,default,fp32,20,0.096995,0.09707,0.088405,0.071065,1.06925,1.06963,1.053,1.135,0.107,0.1065,0.08,-19.61,0.04,1.244
batched_matmul,autotune,bf16,20,0.131585,0.131705,0.013185,0.016545,0.01262,0.01261,8.3385,6.292,8.7525,8.7315,0.09,25.48,-0.08,0.796917
batched_matmul,autotune,fp16,20,0.131275,0.1316,0.01323,0.016575,0.01263,0.012645,8.2895,6.293,8.7125,8.7205,0.25,25.28,0.12,0.79819
batched_matmul,autotune,fp32,20,0.096905,0.097125,0.03724,0.046915,5.74685,5.49482,2.232,1.662,0.0635,0.07,0.23,25.98,-4.39,0.793776
block_sparse_attention,default,fp16,20,16.4389,16.4607,0.04215,0.06328,0.14789,0.148425,320.535,214.01,91.761,91.592,0.13,50.13,0.36,0.666087
block_sparse_attention,autotune,fp16,20,16.4393,16.4614,0.04211,0.06264,0.14811,0.14829,320.889,216.113,91.6335,91.6765,0.13,48.75,0.12,0.672254
cross_entropy,default,fp16,20,0.013735,0.013185,0.008425,0.01571,0.006945,0.00694,1.976,1.0195,2.2895,2.192,-4.00,86.47,-0.07,0.536283
cross_entropy,default,fp32,20,0.00982,0.0093,0.00874,0.01623,0.006535,0.006535,1.3225,0.673,1.6535,1.557,-5.30,85.70,0.00,0.538509
cross_entropy,autotune,fp16,20,0.01375,0.01341,0.00439,0.008925,0.00703,0.00701,3.424,1.716,2.2745,2.222,-2.47,103.30,-0.28,0.491877
cross_entropy,autotune,fp32,20,0.009625,0.00918,0.004435,0.00914,0.00649,0.00651,2.2845,1.109,1.637,1.5515,-4.62,106.09,0.31,0.48523
dequantize_rowwise,default,float32,20,0.047655,,0.004615,,0.005525,,8.4625,,7.3015,,,,,
dequantize_rowwise,default,fp32,0,,0.04767,,0.01261,,0.00553,,3.1575,,7.299,,,,
dequantize_rowwise,autotune,fp32,20,0.047755,0.047715,0.005225,0.012225,0.005565,0.005525,7.7025,3.254,7.279,7.32,-0.08,133.97,-0.72,0.427403
flash_attention,default,fp16,20,5.31072,5.32962,14.6163,16.3731,13.6694,13.6788,0.345,0.3005,0.3655,0.3635,0.36,12.02,0.07,0.892702
