params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=1024,fp16,0.0086,0.0067,0.0040,1.29,2.17
N=1024,fp32,0.0087,0.0070,0.0039,1.26,2.24
N=2048,fp16,0.0140,0.0071,0.0066,1.96,2.12
N=2048,fp32,0.0130,0.0076,0.0050,1.71,2.62
N=3072,fp16,0.0191,0.0098,0.0099,1.95,1.93
N=3072,fp32,0.0196,0.0113,0.0089,1.73,2.20
N=4096,fp16,0.0227,0.0099,0.0109,2.28,2.08
N=4096,fp32,0.0253,0.0122,0.0096,2.08,2.63
N=5120,fp16,0.0299,0.0126,0.0146,2.38,2.04
N=5120,fp32,0.0319,0.0164,0.0133,1.94,2.40
N=6144,fp16,0.0344,0.0129,0.0154,2.66,2.23
N=6144,fp32,0.0373,0.0165,0.0143,2.26,2.60
N=7168,fp16,0.0402,0.0159,0.0204,2.53,1.97
N=7168,fp32,0.0436,0.0200,0.0175,2.18,2.49
N=8192,fp16,0.0293,0.0161,0.0210,1.82,1.40
N=8192,fp32,0.0306,0.0206,0.0184,1.49,1.67
N=9216,fp16,0.0315,0.0190,0.0258,1.66,1.22
N=9216,fp32,0.0337,0.0242,0.0216,1.39,1.56
N=10240,fp16,0.0328,0.0191,0.0262,1.71,1.25
N=10240,fp32,0.0351,0.0248,0.0224,1.41,1.56
N=11264,fp16,0.0350,0.0220,0.0309,1.59,1.13
N=11264,fp32,0.0382,0.0285,0.0257,1.34,1.48
N=12288,fp16,0.0364,0.0220,0.0312,1.65,1.16
N=12288,fp32,0.0396,0.0291,0.0265,1.36,1.49
N=13312,fp16,0.0386,0.0249,0.0362,1.55,1.06
N=13312,fp32,0.0424,0.0326,0.0297,1.30,1.43
N=14336,fp16,0.0399,0.0251,0.0364,1.59,1.09
N=14336,fp32,0.0436,0.0331,0.0304,1.32,1.43
N=15360,fp16,0.0420,0.0280,0.0412,1.50,1.02
N=15360,fp32,0.0469,0.0377,0.0345,1.24,1.36
N=16384,fp16,0.0434,0.0280,0.0411,1.55,1.06
N=16384,fp32,0.0480,0.0401,0.0365,1.20,1.31
N=17408,fp16,0.0455,0.0309,0.0461,1.47,0.99
N=17408,fp32,0.0503,0.0413,0.0376,1.22,1.34
N=18432,fp16,0.0468,0.0307,0.0463,1.53,1.01
N=18432,fp32,0.0511,0.0412,0.0377,1.24,1.35
N=19456,fp16,0.0489,0.0336,0.0510,1.46,0.96
N=19456,fp32,0.0535,0.0444,0.0408,1.20,1.31
N=20480,fp16,0.0503,0.0336,0.0510,1.49,0.99
N=20480,fp32,0.0545,0.0452,0.0414,1.21,1.31
