params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=1024,fp16,0.0086,0.0100,0.0064,0.86,1.35
N=1024,fp32,0.0087,0.0104,0.0063,0.84,1.38
N=2048,fp16,0.0140,0.0166,0.0133,0.84,1.06
N=2048,fp32,0.0136,0.0168,0.0130,0.81,1.05
N=3072,fp16,0.0196,0.0237,0.0200,0.83,0.98
N=3072,fp32,0.0196,0.0245,0.0196,0.80,1.00
N=4096,fp16,0.0226,0.0290,0.0244,0.78,0.93
N=4096,fp32,0.0253,0.0310,0.0247,0.82,1.02
N=5120,fp16,0.0298,0.0367,0.0319,0.81,0.93
N=5120,fp32,0.0319,0.0381,0.0304,0.84,1.05
N=6144,fp16,0.0347,0.0440,0.0387,0.79,0.90
N=6144,fp32,0.0373,0.0444,0.0355,0.84,1.05
N=7168,fp16,0.0399,0.0496,0.0435,0.81,0.92
N=7168,fp32,0.0436,0.0511,0.0411,0.85,1.06
N=8192,fp16,0.0292,0.0564,0.0495,0.52,0.59
N=8192,fp32,0.0307,0.0574,0.0462,0.53,0.66
N=9216,fp16,0.0314,0.0623,0.0546,0.50,0.58
N=9216,fp32,0.0337,0.0640,0.0518,0.53,0.65
N=10240,fp16,0.0329,0.0694,0.0607,0.47,0.54
N=10240,fp32,0.0351,0.0703,0.0570,0.50,0.62
N=11264,fp16,0.0350,0.0758,0.0664,0.46,0.53
N=11264,fp32,0.0382,0.0768,0.0625,0.50,0.61
N=12288,fp16,0.0364,0.0815,0.0717,0.45,0.51
N=12288,fp32,0.0396,0.0832,0.0677,0.48,0.58
N=13312,fp16,0.0385,0.0880,0.0776,0.44,0.50
N=13312,fp32,0.0426,0.0899,0.0730,0.47,0.58
N=14336,fp16,0.0398,0.0945,0.0835,0.42,0.48
N=14336,fp32,0.0438,0.0960,0.0779,0.46,0.56
N=15360,fp16,0.0420,0.1010,0.0891,0.42,0.47
N=15360,fp32,0.0468,0.1026,0.0833,0.46,0.56
N=16384,fp16,0.0434,0.1067,0.0944,0.41,0.46
N=16384,fp32,0.0480,0.1086,0.0883,0.44,0.54
N=17408,fp16,0.0455,0.1135,0.1002,0.40,0.45
N=17408,fp32,0.0503,0.1152,0.0937,0.44,0.54
N=18432,fp16,0.0468,0.1198,0.1058,0.39,0.44
N=18432,fp32,0.0511,0.1212,0.0990,0.42,0.52
N=19456,fp16,0.0489,0.1258,0.1112,0.39,0.44
N=19456,fp32,0.0535,0.1277,0.1044,0.42,0.51
N=20480,fp16,0.0503,0.1319,0.1168,0.38,0.43
N=20480,fp32,0.0544,0.1339,0.1096,0.41,0.50
