params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=1000,fp16,0.1142,0.0238,0.0130,4.80,8.78
N=1000,bf16,0.1162,0.0239,0.0129,4.87,8.98
N=1000,fp32,0.0842,0.0240,0.0126,3.50,6.66
N=2000,fp16,0.0718,0.0391,0.0203,1.84,3.53
N=2000,bf16,0.0683,0.0392,0.0200,1.74,3.41
N=2000,fp32,0.0407,0.0403,0.0201,1.01,2.03
N=3000,fp16,0.0878,0.0560,0.0282,1.57,3.12
N=3000,bf16,0.0912,0.0565,0.0277,1.62,3.30
N=3000,fp32,0.0496,0.0569,0.0278,0.87,1.79
N=4000,fp16,0.1074,0.0710,0.0348,1.51,3.09
N=4000,bf16,0.1053,0.0709,0.0350,1.49,3.01
N=4000,fp32,0.0559,0.0720,0.0350,0.78,1.60
N=5000,fp16,0.1331,0.0871,0.0425,1.53,3.13
N=5000,bf16,0.1371,0.0872,0.0425,1.57,3.23
N=5000,fp32,0.0855,0.0879,0.0423,0.97,2.02
N=6000,fp16,0.1396,0.1026,0.0494,1.36,2.83
N=6000,bf16,0.1390,0.1023,0.0498,1.36,2.79
N=6000,fp32,0.0839,0.1034,0.0497,0.81,1.69
N=7000,fp16,0.1439,0.1181,0.0566,1.22,2.54
N=7000,bf16,0.1448,0.1177,0.0566,1.23,2.56
N=7000,fp32,0.0838,0.1190,0.0566,0.70,1.48
N=8000,fp16,0.1707,0.1338,0.0644,1.28,2.65
N=8000,bf16,0.1682,0.1335,0.0643,1.26,2.62
N=8000,fp32,0.1020,0.1352,0.0635,0.75,1.61
N=9000,fp16,0.1857,0.1489,0.0716,1.25,2.59
N=9000,bf16,0.1912,0.1493,0.0714,1.28,2.68
N=9000,fp32,0.1353,0.1512,0.0706,0.90,1.92
N=10000,fp16,0.1890,0.1648,0.0783,1.15,2.41
N=10000,bf16,0.1894,0.1646,0.0781,1.15,2.42
N=10000,fp32,0.1359,0.1675,0.0777,0.81,1.75
N=11000,fp16,0.2050,0.1801,0.0858,1.14,2.39
N=11000,bf16,0.2079,0.1799,0.0855,1.16,2.43
N=11000,fp32,0.1499,0.1833,0.0847,0.82,1.77
N=12000,fp16,0.2222,0.1959,0.0926,1.13,2.40
N=12000,bf16,0.2240,0.1954,0.0930,1.15,2.41
N=12000,fp32,0.1585,0.2000,0.0922,0.79,1.72
N=13000,fp16,0.2378,0.2115,0.1002,1.12,2.37
N=13000,bf16,0.2438,0.2110,0.0999,1.16,2.44
N=13000,fp32,0.1522,0.2164,0.0994,0.70,1.53
N=14000,fp16,0.2689,0.2266,0.1076,1.19,2.50
N=14000,bf16,0.2636,0.2271,0.1073,1.16,2.46
N=14000,fp32,0.1426,0.2333,0.1064,0.61,1.34
N=15000,fp16,0.2831,0.2427,0.1151,1.17,2.46
N=15000,bf16,0.2924,0.2427,0.1146,1.20,2.55
N=15000,fp32,0.1599,0.2503,0.1132,0.64,1.41
N=16000,fp16,0.3339,0.2583,0.1222,1.29,2.73
N=16000,bf16,0.3179,0.2585,0.1220,1.23,2.61
N=16000,fp32,0.1689,0.2668,0.1206,0.63,1.40
N=17000,fp16,0.3920,0.2747,0.1293,1.43,3.03
N=17000,bf16,0.3854,0.2742,0.1288,1.41,2.99
N=17000,fp32,0.2276,0.2841,0.1277,0.80,1.78
N=18000,fp16,0.4138,0.2907,0.1366,1.42,3.03
N=18000,bf16,0.4091,0.2908,0.1364,1.41,3.00
N=18000,fp32,0.2321,0.3006,0.1348,0.77,1.72
N=19000,fp16,0.4058,0.3067,0.1439,1.32,2.82
N=19000,bf16,0.4067,0.3069,0.1434,1.33,2.84
N=19000,fp32,0.2394,0.3168,0.1419,0.76,1.69
N=20000,fp16,0.4295,0.3230,0.1511,1.33,2.84
N=20000,bf16,0.4296,0.3232,0.1505,1.33,2.86
N=20000,fp32,0.2333,0.3336,0.1493,0.70,1.56
