params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
M=32,fp16,0.0111,0.0061,0.0027,1.82,4.09
M=32,bf16,0.0105,0.0061,0.0027,1.72,3.92
M=32,fp32,0.0033,0.0064,0.0126,0.52,0.26
M=64,fp16,0.0127,0.0064,0.0029,1.98,4.34
M=64,bf16,0.0128,0.0065,0.0030,1.97,4.32
M=64,fp32,0.0044,0.0074,0.0224,0.60,0.20
M=96,fp16,0.0159,0.0075,0.0034,2.11,4.62
M=96,bf16,0.0170,0.0076,0.0035,2.23,4.88
M=96,fp32,0.0057,0.0089,0.0549,0.64,0.10
M=128,fp16,0.0179,0.0075,0.0034,2.37,5.19
M=128,bf16,0.0175,0.0083,0.0035,2.09,5.02
M=128,fp32,0.0066,0.0101,0.0850,0.66,0.08
M=160,fp16,0.0221,0.0099,0.0049,2.22,4.49
M=160,bf16,0.0226,0.0098,0.0047,2.31,4.82
M=160,fp32,0.0113,0.0128,0.1221,0.88,0.09
M=192,fp16,0.0252,0.0106,0.0049,2.38,5.16
M=192,bf16,0.0250,0.0106,0.0049,2.36,5.15
M=192,fp32,0.0133,0.0143,0.1544,0.93,0.09
M=224,fp16,0.0389,0.0134,0.0075,2.91,5.19
M=224,bf16,0.0392,0.0131,0.0075,3.00,5.24
M=224,fp32,0.0230,0.0212,0.2312,1.08,0.10
M=256,fp16,0.0440,0.0138,0.0081,3.19,5.41
M=256,bf16,0.0440,0.0140,0.0077,3.14,5.72
M=256,fp32,0.0256,0.0230,0.2629,1.11,0.10
M=288,fp16,0.0622,0.0181,0.0116,3.43,5.36
M=288,bf16,0.0620,0.0181,0.0114,3.43,5.45
M=288,fp32,0.0402,0.0374,0.4393,1.08,0.09
M=320,fp16,0.0762,0.0186,0.0120,4.10,6.34
M=320,bf16,0.0766,0.0185,0.0123,4.14,6.22
M=320,fp32,0.0520,0.0406,0.4870,1.28,0.11
M=352,fp16,0.1019,0.0294,0.0167,3.47,6.10
M=352,bf16,0.1021,0.0286,0.0166,3.57,6.13
M=352,fp32,0.0723,0.0523,0.7161,1.38,0.10
M=384,fp16,0.1017,0.0306,0.0189,3.32,5.38
M=384,bf16,0.1017,0.0308,0.0190,3.30,5.36
M=384,fp32,0.0683,0.0557,0.7805,1.23,0.09
M=416,fp16,0.1415,0.0357,0.0259,3.97,5.46
M=416,bf16,0.1422,0.0355,0.0257,4.00,5.52
M=416,fp32,0.1034,0.0791,1.2457,1.31,0.08
M=448,fp16,0.1625,0.0370,0.0272,4.39,5.97
M=448,bf16,0.1625,0.0371,0.0273,4.38,5.96
M=448,fp32,0.1177,0.0845,1.3401,1.39,0.09
M=480,fp16,0.2113,0.0443,0.0342,4.77,6.18
M=480,bf16,0.2112,0.0443,0.0340,4.77,6.21
M=480,fp32,0.1616,0.1136,1.6976,1.42,0.10
M=512,fp16,0.2270,0.0459,0.0354,4.95,6.42
M=512,bf16,0.2281,0.0457,0.0355,4.99,6.43
M=512,fp32,0.1713,0.1195,1.8095,1.43,0.09
M=544,fp16,0.2817,0.0609,0.0449,4.62,6.27
M=544,bf16,0.2825,0.0608,0.0448,4.64,6.30
M=544,fp32,0.2179,0.1552,2.4544,1.40,0.09
M=576,fp16,0.3063,0.0633,0.0471,4.84,6.50
M=576,bf16,0.3070,0.0633,0.0471,4.85,6.52
M=576,fp32,0.2357,0.1627,2.5970,1.45,0.09
M=608,fp16,0.3746,0.0738,0.0580,5.07,6.46
M=608,bf16,0.3744,0.0738,0.0581,5.07,6.44
M=608,fp32,0.2967,0.2040,3.3526,1.45,0.09
M=640,fp16,0.3970,0.0754,0.0602,5.26,6.60
M=640,bf16,0.3971,0.0753,0.0602,5.28,6.60
M=640,fp32,0.3111,0.2126,3.5272,1.46,0.09
