params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
M=512,fp16,0.4367,0.0125,0.0168,34.80,26.05
M=1024,fp16,1.0674,0.0143,0.0323,74.65,33.00
M=1536,fp16,1.9709,0.0214,0.0477,92.02,41.31
M=2048,fp16,2.9339,0.0268,0.0631,109.27,46.53
M=2560,fp16,4.2221,0.0359,0.0774,117.71,54.53
M=3072,fp16,5.5628,0.0389,0.0911,143.08,61.06
M=3584,fp16,7.1321,0.0455,0.1017,156.78,70.15
M=4096,fp16,8.8166,0.0502,0.1127,175.52,78.24
M=4608,fp16,11.2567,0.0541,0.1264,208.24,89.08
M=5120,fp16,13.3360,0.0607,0.1413,219.76,94.39
M=5632,fp16,15.8893,0.0651,0.1557,244.01,102.03
M=6144,fp16,17.5624,0.0721,0.1691,243.50,103.88
M=6656,fp16,20.1879,0.0761,0.1833,265.14,110.16
M=7168,fp16,22.8517,0.0830,0.1969,275.35,116.05
M=7680,fp16,25.6341,0.0875,0.2085,293.03,122.94
M=8192,fp16,28.3100,0.0907,0.2222,312.09,127.42
M=8704,fp16,31.5867,0.0967,0.2343,326.49,134.82
M=9216,fp16,34.8305,0.1023,0.2479,340.37,140.50
M=9728,fp16,36.1314,0.1067,0.2630,338.64,137.41
M=10240,fp16,39.5080,0.1123,0.2744,351.80,143.98
