params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
M=512,fp16,0.4368,0.0125,0.0168,34.96,25.98
M=1024,fp16,1.0675,0.0143,0.0322,74.65,33.14
M=1536,fp16,1.9708,0.0237,0.0475,83.16,41.53
M=2048,fp16,2.9325,0.0268,0.0630,109.41,46.53
M=2560,fp16,4.2235,0.0360,0.0774,117.40,54.55
M=3072,fp16,5.5567,0.0384,0.0911,144.78,60.97
M=3584,fp16,7.1255,0.0464,0.1025,153.52,69.55
M=4096,fp16,8.8188,0.0505,0.1125,174.53,78.37
M=4608,fp16,11.2631,0.0531,0.1262,212.23,89.26
M=5120,fp16,13.3374,0.0628,0.1413,212.49,94.37
M=5632,fp16,15.8853,0.0653,0.1555,243.44,102.14
M=6144,fp16,17.5597,0.0735,0.1696,238.82,103.56
M=6656,fp16,20.1905,0.0762,0.1834,265.01,110.12
M=7168,fp16,22.8530,0.0838,0.1972,272.77,115.88
M=7680,fp16,25.6323,0.0875,0.2086,292.83,122.89
M=8192,fp16,28.3110,0.0908,0.2225,311.82,127.26
M=8704,fp16,31.5862,0.0986,0.2350,320.20,134.43
M=9216,fp16,34.8301,0.1020,0.2486,341.56,140.10
M=9728,fp16,36.1273,0.1100,0.2621,328.37,137.83
M=10240,fp16,39.5060,0.1134,0.2755,348.25,143.38
