params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
batch_size=512,fp16,0.0092,0.0031,0.0023,2.95,4.04
batch_size=512,fp32,0.0056,0.0031,0.0023,1.81,2.41
batch_size=1024,fp16,0.0111,0.0036,0.0026,3.08,4.26
batch_size=1024,fp32,0.0067,0.0038,0.0027,1.77,2.51
batch_size=1536,fp16,0.0106,0.0042,0.0031,2.51,3.37
batch_size=1536,fp32,0.0066,0.0043,0.0031,1.55,2.12
batch_size=2048,fp16,0.0110,0.0047,0.0037,2.36,3.01
batch_size=2048,fp32,0.0072,0.0049,0.0035,1.46,2.04
batch_size=2560,fp16,0.0118,0.0053,0.0042,2.23,2.80
batch_size=2560,fp32,0.0070,0.0055,0.0040,1.26,1.77
batch_size=3072,fp16,0.0119,0.0060,0.0047,1.99,2.53
batch_size=3072,fp32,0.0075,0.0060,0.0045,1.25,1.68
batch_size=3584,fp16,0.0122,0.0068,0.0054,1.80,2.25
batch_size=3584,fp32,0.0073,0.0068,0.0047,1.07,1.54
batch_size=4096,fp16,0.0119,0.0074,0.0057,1.62,2.11
batch_size=4096,fp32,0.0078,0.0077,0.0053,1.02,1.46
batch_size=4608,fp16,0.0125,0.0081,0.0062,1.55,2.02
batch_size=4608,fp32,0.0081,0.0083,0.0058,0.97,1.40
batch_size=5120,fp16,0.0126,0.0086,0.0067,1.46,1.88
batch_size=5120,fp32,0.0084,0.0090,0.0063,0.94,1.34
batch_size=5632,fp16,0.0127,0.0092,0.0072,1.38,1.76
batch_size=5632,fp32,0.0093,0.0093,0.0067,1.00,1.39
batch_size=6144,fp16,0.0128,0.0098,0.0078,1.32,1.64
batch_size=6144,fp32,0.0102,0.0105,0.0072,0.97,1.42
batch_size=6656,fp16,0.0132,0.0109,0.0083,1.22,1.59
batch_size=6656,fp32,0.0104,0.0108,0.0076,0.96,1.37
batch_size=7168,fp16,0.0149,0.0116,0.0087,1.28,1.72
batch_size=7168,fp32,0.0101,0.0115,0.0082,0.88,1.24
batch_size=7680,fp16,0.0158,0.0119,0.0094,1.32,1.68
batch_size=7680,fp32,0.0104,0.0121,0.0084,0.86,1.23
batch_size=8192,fp16,0.0163,0.0125,0.0098,1.31,1.67
batch_size=8192,fp32,0.0111,0.0127,0.0091,0.88,1.22
batch_size=8704,fp16,0.0164,0.0128,0.0102,1.28,1.61
batch_size=8704,fp32,0.0115,0.0133,0.0096,0.86,1.19
batch_size=9216,fp16,0.0166,0.0135,0.0109,1.23,1.53
batch_size=9216,fp32,0.0126,0.0138,0.0099,0.91,1.27
batch_size=9728,fp16,0.0172,0.0141,0.0115,1.22,1.49
batch_size=9728,fp32,0.0129,0.0145,0.0103,0.90,1.26
batch_size=10240,fp16,0.0175,0.0144,0.0118,1.21,1.48
batch_size=10240,fp32,0.0129,0.0149,0.0110,0.86,1.17
