params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
"cols=512, rows=512",fp32,0.0100,0.0051,0.0020,1.95,4.96
"cols=1024, rows=512",fp32,0.0103,0.0052,0.0019,1.98,5.42
"cols=2048, rows=512",fp32,0.0129,0.0055,0.0023,2.34,5.72
"cols=4096, rows=512",fp32,0.0198,0.0065,0.0036,3.03,5.54
"cols=8192, rows=512",fp32,0.0323,0.0076,0.0052,4.28,6.18
"cols=512, rows=1024",fp32,0.0111,0.0074,0.0022,1.49,5.15
"cols=1024, rows=1024",fp32,0.0131,0.0067,0.0022,1.95,6.06
"cols=2048, rows=1024",fp32,0.0201,0.0077,0.0026,2.61,7.83
"cols=4096, rows=1024",fp32,0.0325,0.0088,0.0038,3.70,8.62
"cols=8192, rows=1024",fp32,0.0576,0.0109,0.0069,5.27,8.30
"cols=512, rows=2048",fp32,0.0130,0.0109,0.0027,1.19,4.87
"cols=1024, rows=2048",fp32,0.0199,0.0104,0.0030,1.92,6.68
"cols=2048, rows=2048",fp32,0.0334,0.0119,0.0040,2.82,8.31
"cols=4096, rows=2048",fp32,0.0574,0.0143,0.0063,4.00,9.18
"cols=8192, rows=2048",fp32,0.1222,0.0182,0.0129,6.71,9.47
"cols=512, rows=4096",fp32,0.0203,0.0169,0.0038,1.20,5.38
"cols=1024, rows=4096",fp32,0.0328,0.0169,0.0043,1.93,7.71
"cols=2048, rows=4096",fp32,0.0587,0.0205,0.0062,2.86,9.50
"cols=4096, rows=4096",fp32,0.1223,0.0242,0.0118,5.05,10.37
"cols=8192, rows=4096",fp32,0.2546,0.0289,0.0228,8.80,11.15
