params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
"cols=512, rows=512",fp32,0.0100,0.0053,0.0020,1.88,5.07
"cols=1024, rows=512",fp32,0.0106,0.0054,0.0019,1.95,5.62
"cols=2048, rows=512",fp32,0.0126,0.0058,0.0023,2.18,5.57
"cols=4096, rows=512",fp32,0.0195,0.0066,0.0033,2.95,5.95
"cols=8192, rows=512",fp32,0.0323,0.0076,0.0050,4.25,6.43
"cols=512, rows=1024",fp32,0.0105,0.0074,0.0022,1.41,4.81
"cols=1024, rows=1024",fp32,0.0134,0.0074,0.0024,1.81,5.64
"cols=2048, rows=1024",fp32,0.0199,0.0078,0.0025,2.54,7.96
"cols=4096, rows=1024",fp32,0.0325,0.0091,0.0038,3.57,8.67
"cols=8192, rows=1024",fp32,0.0574,0.0114,0.0069,5.02,8.28
"cols=512, rows=2048",fp32,0.0132,0.0110,0.0027,1.20,4.94
"cols=1024, rows=2048",fp32,0.0198,0.0119,0.0030,1.66,6.71
"cols=2048, rows=2048",fp32,0.0334,0.0129,0.0040,2.59,8.29
"cols=4096, rows=2048",fp32,0.0573,0.0149,0.0070,3.86,8.25
"cols=8192, rows=2048",fp32,0.1217,0.0181,0.0129,6.73,9.40
"cols=512, rows=4096",fp32,0.0197,0.0169,0.0038,1.17,5.16
"cols=1024, rows=4096",fp32,0.0328,0.0184,0.0042,1.78,7.79
"cols=2048, rows=4096",fp32,0.0588,0.0208,0.0060,2.82,9.77
"cols=4096, rows=4096",fp32,0.1229,0.0241,0.0116,5.09,10.61
"cols=8192, rows=4096",fp32,0.2551,0.0294,0.0231,8.69,11.06
