params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1048576,fp16,0.0109,0.0070,0.0028,1.55,3.96
n=1048576,bf16,0.0103,0.0072,0.0028,1.45,3.71
n=1048576,fp32,0.0118,0.0076,0.0042,1.55,2.80
n=2097152,fp16,0.0150,0.0108,0.0036,1.40,4.17
n=2097152,bf16,0.0144,0.0106,0.0036,1.36,4.04
n=2097152,fp32,0.0179,0.0120,0.0052,1.49,3.45
n=3145728,fp16,0.0199,0.0139,0.0048,1.44,4.20
n=3145728,bf16,0.0203,0.0138,0.0046,1.47,4.39
n=3145728,fp32,0.0232,0.0155,0.0079,1.49,2.93
n=4194304,fp16,0.0253,0.0165,0.0053,1.53,4.76
n=4194304,bf16,0.0248,0.0164,0.0053,1.51,4.66
n=4194304,fp32,0.0294,0.0180,0.0111,1.63,2.65
n=5242880,fp16,0.0292,0.0188,0.0073,1.56,4.02
n=5242880,bf16,0.0299,0.0188,0.0073,1.59,4.11
n=5242880,fp32,0.0351,0.0214,0.0131,1.64,2.68
n=6291456,fp16,0.0336,0.0218,0.0086,1.54,3.90
n=6291456,bf16,0.0339,0.0223,0.0082,1.52,4.15
n=6291456,fp32,0.0408,0.0255,0.0158,1.60,2.58
n=7340032,fp16,0.0386,0.0252,0.0102,1.53,3.77
n=7340032,bf16,0.0386,0.0251,0.0104,1.54,3.70
n=7340032,fp32,0.0461,0.0286,0.0161,1.61,2.86
n=8388608,fp16,0.0428,0.0274,0.0107,1.56,4.00
n=8388608,bf16,0.0430,0.0280,0.0106,1.53,4.07
n=8388608,fp32,0.0538,0.0308,0.0192,1.75,2.80
n=9437184,fp16,0.0477,0.0305,0.0121,1.56,3.94
n=9437184,bf16,0.0476,0.0305,0.0117,1.56,4.06
n=9437184,fp32,0.0614,0.0339,0.0213,1.81,2.88
n=10485760,fp16,0.0520,0.0339,0.0131,1.53,3.97
n=10485760,bf16,0.0524,0.0341,0.0131,1.53,4.00
n=10485760,fp32,0.0692,0.0366,0.0236,1.89,2.93
n=11534336,fp16,0.0574,0.0364,0.0142,1.58,4.04
n=11534336,bf16,0.0570,0.0363,0.0138,1.57,4.14
n=11534336,fp32,0.0758,0.0397,0.0250,1.91,3.03
n=12582912,fp16,0.0620,0.0389,0.0146,1.59,4.24
n=12582912,bf16,0.0626,0.0389,0.0145,1.61,4.31
n=12582912,fp32,0.0824,0.0427,0.0268,1.93,3.07
n=13631488,fp16,0.0667,0.0416,0.0156,1.60,4.28
n=13631488,bf16,0.0675,0.0415,0.0158,1.63,4.28
n=13631488,fp32,0.0879,0.0451,0.0286,1.95,3.07
n=14680064,fp16,0.0728,0.0441,0.0165,1.65,4.41
n=14680064,bf16,0.0726,0.0438,0.0165,1.66,4.40
n=14680064,fp32,0.0945,0.0478,0.0307,1.98,3.08
n=15728640,fp16,0.0785,0.0466,0.0179,1.68,4.40
n=15728640,bf16,0.0784,0.0466,0.0173,1.68,4.54
n=15728640,fp32,0.1000,0.0505,0.0326,1.98,3.07
n=16777216,fp16,0.0839,0.0490,0.0185,1.71,4.54
n=16777216,bf16,0.0845,0.0491,0.0184,1.72,4.60
n=16777216,fp32,0.1072,0.0535,0.0343,2.01,3.13
n=17825792,fp16,0.0892,0.0517,0.0190,1.72,4.70
n=17825792,bf16,0.0892,0.0517,0.0190,1.72,4.69
n=17825792,fp32,0.1133,0.0563,0.0360,2.01,3.15
n=18874368,fp16,0.0945,0.0543,0.0199,1.74,4.75
n=18874368,bf16,0.0950,0.0542,0.0200,1.75,4.74
n=18874368,fp32,0.1207,0.0589,0.0381,2.05,3.17
n=19922944,fp16,0.0999,0.0566,0.0210,1.76,4.75
n=19922944,bf16,0.1001,0.0566,0.0213,1.77,4.71
n=19922944,fp32,0.1282,0.0616,0.0398,2.08,3.22
n=20971520,fp16,0.1041,0.0590,0.0218,1.76,4.77
n=20971520,bf16,0.1053,0.0589,0.0224,1.79,4.71
n=20971520,fp32,0.1353,0.0645,0.0416,2.10,3.25
