params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1048576,fp16,0.0109,0.0098,0.0027,1.11,4.09
n=1048576,bf16,0.0103,0.0099,0.0028,1.04,3.74
n=1048576,fp32,0.0120,0.0103,0.0031,1.16,3.85
n=2097152,fp16,0.0153,0.0158,0.0036,0.97,4.25
n=2097152,bf16,0.0152,0.0157,0.0038,0.97,4.04
n=2097152,fp32,0.0177,0.0166,0.0056,1.06,3.15
n=3145728,fp16,0.0205,0.0218,0.0045,0.94,4.51
n=3145728,bf16,0.0206,0.0219,0.0048,0.94,4.29
n=3145728,fp32,0.0233,0.0239,0.0079,0.97,2.96
n=4194304,fp16,0.0251,0.0274,0.0059,0.92,4.25
n=4194304,bf16,0.0252,0.0273,0.0059,0.92,4.29
n=4194304,fp32,0.0296,0.0291,0.0104,1.02,2.84
n=5242880,fp16,0.0296,0.0331,0.0071,0.89,4.17
n=5242880,bf16,0.0295,0.0333,0.0077,0.89,3.84
n=5242880,fp32,0.0345,0.0349,0.0126,0.99,2.74
n=6291456,fp16,0.0338,0.0383,0.0089,0.88,3.80
n=6291456,bf16,0.0338,0.0384,0.0089,0.88,3.80
n=6291456,fp32,0.0408,0.0399,0.0142,1.02,2.87
n=7340032,fp16,0.0387,0.0440,0.0102,0.88,3.79
n=7340032,bf16,0.0389,0.0439,0.0104,0.89,3.73
n=7340032,fp32,0.0466,0.0454,0.0161,1.03,2.89
n=8388608,fp16,0.0427,0.0493,0.0116,0.87,3.69
n=8388608,bf16,0.0436,0.0490,0.0115,0.89,3.79
n=8388608,fp32,0.0537,0.0503,0.0180,1.07,2.99
n=9437184,fp16,0.0477,0.0544,0.0125,0.88,3.81
n=9437184,bf16,0.0477,0.0544,0.0127,0.88,3.75
n=9437184,fp32,0.0616,0.0556,0.0200,1.11,3.09
n=10485760,fp16,0.0526,0.0596,0.0140,0.88,3.75
n=10485760,bf16,0.0522,0.0596,0.0139,0.88,3.75
n=10485760,fp32,0.0685,0.0610,0.0221,1.12,3.10
n=11534336,fp16,0.0569,0.0648,0.0149,0.88,3.83
n=11534336,bf16,0.0577,0.0648,0.0149,0.89,3.88
n=11534336,fp32,0.0749,0.0663,0.0235,1.13,3.19
n=12582912,fp16,0.0615,0.0701,0.0159,0.88,3.86
n=12582912,bf16,0.0628,0.0701,0.0161,0.90,3.90
n=12582912,fp32,0.0823,0.0716,0.0254,1.15,3.24
n=13631488,fp16,0.0667,0.0752,0.0173,0.89,3.86
n=13631488,bf16,0.0681,0.0752,0.0173,0.91,3.94
n=13631488,fp32,0.0882,0.0768,0.0273,1.15,3.23
n=14680064,fp16,0.0727,0.0804,0.0184,0.90,3.94
n=14680064,bf16,0.0726,0.0803,0.0186,0.90,3.91
n=14680064,fp32,0.0944,0.0820,0.0289,1.15,3.26
n=15728640,fp16,0.0782,0.0856,0.0195,0.91,4.01
n=15728640,bf16,0.0784,0.0855,0.0194,0.92,4.04
n=15728640,fp32,0.0996,0.0873,0.0308,1.14,3.23
n=16777216,fp16,0.0830,0.0906,0.0205,0.92,4.05
n=16777216,bf16,0.0841,0.0906,0.0207,0.93,4.07
n=16777216,fp32,0.1060,0.0924,0.0326,1.15,3.25
n=17825792,fp16,0.0893,0.0958,0.0218,0.93,4.10
n=17825792,bf16,0.0900,0.0957,0.0218,0.94,4.12
n=17825792,fp32,0.1130,0.0977,0.0345,1.16,3.27
n=18874368,fp16,0.0942,0.1011,0.0227,0.93,4.15
n=18874368,bf16,0.0950,0.1008,0.0227,0.94,4.19
n=18874368,fp32,0.1200,0.1030,0.0365,1.16,3.29
n=19922944,fp16,0.0994,0.1062,0.0240,0.94,4.14
n=19922944,bf16,0.1002,0.1062,0.0241,0.94,4.16
n=19922944,fp32,0.1287,0.1082,0.0382,1.19,3.37
n=20971520,fp16,0.1041,0.1113,0.0251,0.93,4.14
n=20971520,bf16,0.1054,0.1113,0.0253,0.95,4.16
n=20971520,fp32,0.1354,0.1135,0.0400,1.19,3.39
