params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
seq_len=1024,fp16,0.0505,0.1097,0.0991,0.46,0.51
seq_len=2048,fp16,0.1390,0.2994,0.2786,0.46,0.50
seq_len=3072,fp16,0.2965,0.5816,0.5393,0.51,0.55
seq_len=4096,fp16,0.5086,0.9559,0.8823,0.53,0.58
seq_len=5120,fp16,0.8439,1.4231,1.3076,0.59,0.65
seq_len=6144,fp16,1.1738,1.9827,1.8179,0.59,0.65
seq_len=7168,fp16,1.7195,2.6387,2.4066,0.65,0.71
seq_len=8192,fp16,2.2484,3.3989,3.0958,0.66,0.73
seq_len=9216,fp16,2.9200,4.2772,3.8701,0.68,0.75
seq_len=10240,fp16,3.6169,5.2496,4.7642,0.69,0.76
seq_len=11264,fp16,4.4112,6.3238,5.7220,0.70,0.77
seq_len=12288,fp16,5.3499,7.5102,6.7778,0.71,0.79
seq_len=13312,fp16,6.2785,8.7777,7.9264,0.72,0.79
seq_len=14336,fp16,7.2983,10.1084,9.1190,0.72,0.80
seq_len=15360,fp16,8.3445,11.5508,10.4295,0.72,0.80
seq_len=16384,fp16,9.5585,13.1166,11.8428,0.73,0.81
seq_len=17408,fp16,10.7403,14.7679,13.3102,0.73,0.81
seq_len=18432,fp16,12.0688,16.4945,14.8936,0.73,0.81
seq_len=19456,fp16,13.5220,18.3227,16.5559,0.74,0.82
seq_len=20480,fp16,14.9482,20.2914,18.3138,0.74,0.82
