params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
seq_len=2048,fp32,0.0348,0.0039,0.0063,8.99,5.49
seq_len=4096,fp32,0.0362,0.0055,0.0116,6.64,3.12
seq_len=6144,fp32,0.0382,0.0057,0.0134,6.74,2.85
seq_len=8192,fp32,0.0363,0.0066,0.0171,5.47,2.13
seq_len=10240,fp32,0.0364,0.0092,0.0240,3.97,1.52
seq_len=12288,fp32,0.0369,0.0086,0.0244,4.30,1.52
seq_len=14336,fp32,0.0381,0.0094,0.0281,4.06,1.36
seq_len=16384,fp32,0.0372,0.0106,0.0319,3.51,1.17
seq_len=18432,fp32,0.0394,0.0129,0.0430,3.05,0.92
seq_len=20480,fp32,0.0392,0.0142,0.0474,2.75,0.83
seq_len=22528,fp32,0.0391,0.0150,0.0491,2.60,0.80
seq_len=24576,fp32,0.0408,0.0171,0.0587,2.39,0.69
seq_len=26624,fp32,0.0417,0.0171,0.0574,2.44,0.73
seq_len=28672,fp32,0.0413,0.0188,0.0658,2.20,0.63
seq_len=30720,fp32,0.0427,0.0197,0.0669,2.16,0.64
seq_len=32768,fp32,0.0428,0.0226,0.0786,1.89,0.54
seq_len=34816,fp32,0.0433,0.0220,0.0755,1.97,0.57
seq_len=36864,fp32,0.0434,0.0241,0.0853,1.80,0.51
seq_len=38912,fp32,0.0441,0.0236,0.0830,1.87,0.53
seq_len=40960,fp32,0.0448,0.0245,0.0878,1.83,0.51
