params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1048576,fp32,0.0096,0.0110,0.0043,0.88,2.25
n=2097152,fp32,0.0146,0.0154,0.0076,0.95,1.93
n=3145728,fp32,0.0181,0.0216,0.0110,0.84,1.65
n=4194304,fp32,0.0224,0.0256,0.0142,0.87,1.58
n=5242880,fp32,0.0266,0.0310,0.0169,0.86,1.58
n=6291456,fp32,0.0306,0.0340,0.0189,0.90,1.61
n=7340032,fp32,0.0346,0.0385,0.0215,0.90,1.61
n=8388608,fp32,0.0389,0.0423,0.0235,0.92,1.66
n=9437184,fp32,0.0440,0.0455,0.0263,0.97,1.67
n=10485760,fp32,0.0484,0.0495,0.0284,0.98,1.70
n=11534336,fp32,0.0533,0.0536,0.0307,1.00,1.74
n=12582912,fp32,0.0587,0.0572,0.0330,1.03,1.78
n=13631488,fp32,0.0637,0.0611,0.0355,1.04,1.79
n=14680064,fp32,0.0691,0.0651,0.0386,1.06,1.79
n=15728640,fp32,0.0735,0.0687,0.0400,1.07,1.84
n=16777216,fp32,0.0794,0.0727,0.0429,1.09,1.85
n=17825792,fp32,0.0857,0.0766,0.0454,1.12,1.89
n=18874368,fp32,0.0918,0.0804,0.0473,1.14,1.94
n=19922944,fp32,0.0973,0.0841,0.0499,1.16,1.95
n=20971520,fp32,0.1030,0.0879,0.0522,1.17,1.97
