params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1000000,fp16,0.0087,0.0071,0.0027,1.22,3.26
n=1000000,bf16,0.0087,0.0069,0.0026,1.26,3.36
n=1000000,fp32,0.0089,0.0086,0.0037,1.04,2.38
n=1000000,int8,0.0077,0.0059,0.0022,1.32,3.47
n=2000000,fp16,0.0127,0.0089,0.0038,1.43,3.31
n=2000000,bf16,0.0124,0.0087,0.0036,1.42,3.39
n=2000000,fp32,0.0145,0.0112,0.0071,1.29,2.05
n=2000000,int8,0.0115,0.0073,0.0029,1.58,3.96
n=3000000,fp16,0.0164,0.0101,0.0053,1.63,3.11
n=3000000,bf16,0.0166,0.0101,0.0053,1.64,3.16
n=3000000,fp32,0.0218,0.0141,0.0120,1.54,1.81
n=3000000,int8,0.0146,0.0083,0.0031,1.76,4.65
n=4000000,fp16,0.0217,0.0112,0.0066,1.93,3.30
n=4000000,bf16,0.0213,0.0112,0.0064,1.90,3.34
n=4000000,fp32,0.0301,0.0197,0.0151,1.53,2.00
n=4000000,int8,0.0181,0.0098,0.0037,1.85,4.95
n=5000000,fp16,0.0266,0.0139,0.0082,1.90,3.22
n=5000000,bf16,0.0263,0.0138,0.0082,1.90,3.19
n=5000000,fp32,0.0369,0.0219,0.0151,1.68,2.44
n=5000000,int8,0.0211,0.0113,0.0041,1.87,5.13
n=6000000,fp16,0.0317,0.0150,0.0100,2.11,3.18
n=6000000,bf16,0.0323,0.0150,0.0099,2.16,3.25
n=6000000,fp32,0.0433,0.0251,0.0192,1.73,2.25
n=6000000,int8,0.0256,0.0114,0.0057,2.24,4.52
n=7000000,fp16,0.0374,0.0166,0.0112,2.25,3.36
n=7000000,bf16,0.0372,0.0166,0.0111,2.24,3.34
n=7000000,fp32,0.0492,0.0274,0.0197,1.80,2.50
n=7000000,int8,0.0306,0.0133,0.0060,2.30,5.07
n=8000000,fp16,0.0421,0.0196,0.0122,2.15,3.46
n=8000000,bf16,0.0423,0.0196,0.0121,2.16,3.48
n=8000000,fp32,0.0559,0.0316,0.0264,1.77,2.11
n=8000000,int8,0.0351,0.0140,0.0086,2.50,4.08
n=9000000,fp16,0.0470,0.0205,0.0136,2.29,3.45
n=9000000,bf16,0.0471,0.0207,0.0134,2.28,3.51
n=9000000,fp32,0.0618,0.0341,0.0273,1.81,2.26
n=9000000,int8,0.0401,0.0149,0.0085,2.70,4.71
n=10000000,fp16,0.0518,0.0222,0.0146,2.33,3.55
n=10000000,bf16,0.0517,0.0219,0.0148,2.36,3.49
n=10000000,fp32,0.0694,0.0368,0.0302,1.89,2.30
n=10000000,int8,0.0447,0.0160,0.0090,2.79,4.95
n=11000000,fp16,0.0568,0.0236,0.0157,2.41,3.63
n=11000000,bf16,0.0562,0.0236,0.0161,2.38,3.50
n=11000000,fp32,0.0796,0.0402,0.0327,1.98,2.43
n=11000000,int8,0.0493,0.0186,0.0098,2.65,5.01
n=12000000,fp16,0.0605,0.0251,0.0169,2.41,3.57
n=12000000,bf16,0.0610,0.0250,0.0172,2.44,3.54
n=12000000,fp32,0.0884,0.0434,0.0355,2.04,2.49
n=12000000,int8,0.0541,0.0190,0.0106,2.85,5.10
n=13000000,fp16,0.0655,0.0264,0.0182,2.48,3.60
n=13000000,bf16,0.0655,0.0265,0.0181,2.47,3.62
n=13000000,fp32,0.0951,0.0460,0.0380,2.07,2.50
n=13000000,int8,0.0586,0.0200,0.0111,2.94,5.27
n=14000000,fp16,0.0698,0.0282,0.0194,2.48,3.60
n=14000000,bf16,0.0700,0.0279,0.0196,2.50,3.56
n=14000000,fp32,0.1022,0.0488,0.0410,2.09,2.49
n=14000000,int8,0.0632,0.0210,0.0112,3.01,5.66
n=15000000,fp16,0.0743,0.0301,0.0204,2.47,3.64
n=15000000,bf16,0.0745,0.0301,0.0208,2.47,3.59
n=15000000,fp32,0.1084,0.0521,0.0433,2.08,2.50
n=15000000,int8,0.0674,0.0217,0.0127,3.11,5.32
n=16000000,fp16,0.0789,0.0315,0.0219,2.50,3.61
n=16000000,bf16,0.0790,0.0317,0.0216,2.50,3.66
n=16000000,fp32,0.1153,0.0550,0.0459,2.10,2.51
n=16000000,int8,0.0718,0.0226,0.0135,3.18,5.33
n=17000000,fp16,0.0835,0.0329,0.0228,2.54,3.66
n=17000000,bf16,0.0835,0.0327,0.0228,2.55,3.66
n=17000000,fp32,0.1219,0.0577,0.0486,2.11,2.51
n=17000000,int8,0.0758,0.0235,0.0141,3.23,5.39
n=18000000,fp16,0.0887,0.0342,0.0244,2.59,3.64
n=18000000,bf16,0.0885,0.0343,0.0242,2.58,3.66
n=18000000,fp32,0.1285,0.0610,0.0452,2.11,2.84
n=18000000,int8,0.0800,0.0243,0.0137,3.29,5.84
n=19000000,fp16,0.0933,0.0357,0.0251,2.61,3.72
n=19000000,bf16,0.0938,0.0356,0.0252,2.63,3.73
n=19000000,fp32,0.1347,0.0639,0.0537,2.11,2.51
n=19000000,int8,0.0845,0.0254,0.0152,3.32,5.56
n=20000000,fp16,0.0989,0.0371,0.0265,2.67,3.73
n=20000000,bf16,0.0986,0.0371,0.0262,2.66,3.77
n=20000000,fp32,0.1408,0.0666,0.0564,2.11,2.49
n=20000000,int8,0.0884,0.0264,0.0159,3.35,5.57
