params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
"cols=1024, rows=512",fp32,0.0118,0.0062,0.0030,1.91,4.01
"cols=2048, rows=512",fp32,0.0151,0.0070,0.0041,2.16,3.67
"cols=4096, rows=512",fp32,0.0231,0.0093,0.0057,2.47,4.06
"cols=8192, rows=512",fp32,0.0239,0.0140,0.0096,1.70,2.48
"cols=16384, rows=512",fp32,0.0435,0.0248,0.0189,1.75,2.30
"cols=1024, rows=1024",fp32,0.0128,0.0087,0.0047,1.46,2.69
"cols=2048, rows=1024",fp32,0.0180,0.0112,0.0066,1.61,2.71
"cols=4096, rows=1024",fp32,0.0308,0.0171,0.0094,1.81,3.27
"cols=8192, rows=1024",fp32,0.0442,0.0266,0.0181,1.66,2.44
"cols=16384, rows=1024",fp32,0.0916,0.0448,0.0319,2.04,2.87
"cols=1024, rows=2048",fp32,0.0165,0.0138,0.0064,1.19,2.57
"cols=2048, rows=2048",fp32,0.0259,0.0185,0.0104,1.40,2.48
"cols=4096, rows=2048",fp32,0.0530,0.0285,0.0193,1.86,2.74
"cols=8192, rows=2048",fp32,0.0961,0.0471,0.0323,2.04,2.97
"cols=16384, rows=2048",fp32,0.1984,0.0772,0.0579,2.57,3.43
"cols=1024, rows=4096",fp32,0.0249,0.0239,0.0124,1.04,2.01
"cols=2048, rows=4096",fp32,0.0462,0.0327,0.0185,1.42,2.50
"cols=4096, rows=4096",fp32,0.0979,0.0489,0.0330,2.00,2.96
"cols=8192, rows=4096",fp32,0.2005,0.0804,0.0547,2.49,3.66
"cols=16384, rows=4096",fp32,0.3751,0.1330,0.0922,2.82,4.07
