params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
K=512,fp16,0.0165,0.0094,0.0033,1.75,4.94
K=512,bf16,0.0166,0.0096,0.0032,1.73,5.25
K=512,fp32,0.0102,0.0098,0.0034,1.04,3.02
K=1024,fp16,0.0237,0.0111,0.0029,2.13,8.14
K=1024,bf16,0.0236,0.0112,0.0030,2.10,7.82
K=1024,fp32,0.0153,0.0118,0.0041,1.30,3.75
K=1536,fp16,0.0308,0.0126,0.0040,2.45,7.75
K=1536,bf16,0.0309,0.0123,0.0041,2.50,7.52
K=1536,fp32,0.0201,0.0132,0.0059,1.52,3.39
K=2048,fp16,0.0371,0.0128,0.0059,2.90,6.29
K=2048,bf16,0.0371,0.0127,0.0059,2.92,6.32
K=2048,fp32,0.0242,0.0148,0.0069,1.64,3.49
K=2560,fp16,0.0449,0.0150,0.0069,3.00,6.54
K=2560,bf16,0.0451,0.0151,0.0068,2.99,6.59
K=2560,fp32,0.0295,0.0171,0.0088,1.72,3.36
K=3072,fp16,0.0509,0.0151,0.0079,3.37,6.40
K=3072,bf16,0.0509,0.0150,0.0078,3.40,6.53
K=3072,fp32,0.0339,0.0176,0.0124,1.93,2.74
K=3584,fp16,0.0579,0.0153,0.0094,3.79,6.16
K=3584,bf16,0.0583,0.0156,0.0094,3.74,6.20
K=3584,fp32,0.0386,0.0202,0.0115,1.91,3.37
K=4096,fp16,0.0639,0.0156,0.0095,4.11,6.73
K=4096,bf16,0.0631,0.0156,0.0097,4.05,6.53
K=4096,fp32,0.0425,0.0208,0.0179,2.04,2.38
K=4608,fp16,0.0713,0.0176,0.0107,4.05,6.68
K=4608,bf16,0.0724,0.0177,0.0108,4.08,6.71
K=4608,fp32,0.0481,0.0235,0.0200,2.05,2.41
K=5120,fp16,0.0783,0.0183,0.0112,4.29,6.98
K=5120,bf16,0.0782,0.0184,0.0112,4.24,6.95
K=5120,fp32,0.0529,0.0248,0.0222,2.14,2.38
K=5632,fp16,0.0861,0.0185,0.0106,4.65,8.09
K=5632,bf16,0.0864,0.0187,0.0107,4.62,8.10
K=5632,fp32,0.0579,0.0266,0.0189,2.18,3.07
K=6144,fp16,0.0982,0.0188,0.0112,5.22,8.77
K=6144,bf16,0.0982,0.0189,0.0113,5.20,8.71
K=6144,fp32,0.0626,0.0277,0.0207,2.27,3.03
K=6656,fp16,0.1072,0.0211,0.0124,5.09,8.66
K=6656,bf16,0.1091,0.0212,0.0123,5.14,8.87
K=6656,fp32,0.0685,0.0320,0.0232,2.14,2.95
K=7168,fp16,0.1199,0.0216,0.0135,5.56,8.89
K=7168,bf16,0.1210,0.0212,0.0133,5.72,9.13
K=7168,fp32,0.0739,0.0329,0.0257,2.24,2.87
K=7680,fp16,0.1297,0.0214,0.0151,6.06,8.61
K=7680,bf16,0.1310,0.0216,0.0148,6.07,8.82
K=7680,fp32,0.0793,0.0339,0.0348,2.34,2.28
K=8192,fp16,0.1213,0.0217,0.0154,5.59,7.88
K=8192,bf16,0.1225,0.0218,0.0158,5.61,7.78
K=8192,fp32,0.0720,0.0347,0.0372,2.07,1.94
K=8704,fp16,0.1309,0.0242,0.0168,5.41,7.79
K=8704,bf16,0.1319,0.0243,0.0174,5.43,7.57
K=8704,fp32,0.0779,0.0391,0.0397,1.99,1.96
K=9216,fp16,0.1412,0.0248,0.0178,5.70,7.94
K=9216,bf16,0.1416,0.0251,0.0180,5.64,7.87
K=9216,fp32,0.0822,0.0397,0.0419,2.07,1.96
K=9728,fp16,0.1498,0.0254,0.0195,5.90,7.68
K=9728,bf16,0.1499,0.0255,0.0194,5.88,7.71
K=9728,fp32,0.0864,0.0408,0.0384,2.12,2.25
K=10240,fp16,0.1590,0.0258,0.0206,6.17,7.71
K=10240,bf16,0.1589,0.0261,0.0205,6.08,7.75
K=10240,fp32,0.0899,0.0417,0.0463,2.16,1.94
