params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
K=512,fp16,0.0165,0.0124,0.0029,1.33,5.65
K=512,bf16,0.0158,0.0124,0.0028,1.28,5.73
K=512,fp32,0.0102,0.0129,0.0033,0.79,3.08
K=1024,fp16,0.0238,0.0123,0.0032,1.94,7.39
K=1024,bf16,0.0242,0.0121,0.0030,1.99,8.12
K=1024,fp32,0.0156,0.0130,0.0041,1.20,3.80
K=1536,fp16,0.0314,0.0138,0.0039,2.27,8.07
K=1536,bf16,0.0314,0.0136,0.0039,2.31,8.07
K=1536,fp32,0.0198,0.0149,0.0059,1.32,3.33
K=2048,fp16,0.0372,0.0138,0.0044,2.70,8.47
K=2048,bf16,0.0373,0.0138,0.0045,2.71,8.24
K=2048,fp32,0.0242,0.0159,0.0080,1.52,3.04
K=2560,fp16,0.0442,0.0160,0.0058,2.76,7.59
K=2560,bf16,0.0443,0.0163,0.0065,2.72,6.84
K=2560,fp32,0.0294,0.0184,0.0103,1.59,2.86
K=3072,fp16,0.0504,0.0160,0.0067,3.15,7.47
K=3072,bf16,0.0513,0.0159,0.0065,3.22,7.85
K=3072,fp32,0.0335,0.0185,0.0114,1.81,2.94
K=3584,fp16,0.0578,0.0178,0.0091,3.24,6.35
K=3584,bf16,0.0582,0.0185,0.0089,3.15,6.51
K=3584,fp32,0.0381,0.0216,0.0122,1.77,3.12
K=4096,fp16,0.0627,0.0185,0.0098,3.39,6.38
K=4096,bf16,0.0631,0.0188,0.0097,3.36,6.48
K=4096,fp32,0.0426,0.0220,0.0136,1.94,3.14
K=4608,fp16,0.0711,0.0200,0.0115,3.55,6.20
K=4608,bf16,0.0718,0.0202,0.0116,3.55,6.17
K=4608,fp32,0.0479,0.0245,0.0150,1.96,3.19
K=5120,fp16,0.0783,0.0207,0.0122,3.78,6.40
K=5120,bf16,0.0791,0.0209,0.0125,3.79,6.32
K=5120,fp32,0.0528,0.0260,0.0172,2.03,3.06
K=5632,fp16,0.0875,0.0229,0.0139,3.83,6.30
K=5632,bf16,0.0871,0.0224,0.0138,3.89,6.31
K=5632,fp32,0.0577,0.0289,0.0180,2.00,3.21
K=6144,fp16,0.0963,0.0224,0.0144,4.30,6.67
K=6144,bf16,0.0975,0.0223,0.0143,4.37,6.80
K=6144,fp32,0.0628,0.0298,0.0202,2.11,3.11
K=6656,fp16,0.1073,0.0247,0.0158,4.35,6.78
K=6656,bf16,0.1090,0.0247,0.0156,4.41,6.97
K=6656,fp32,0.0686,0.0332,0.0218,2.07,3.15
K=7168,fp16,0.1202,0.0247,0.0164,4.86,7.31
K=7168,bf16,0.1195,0.0247,0.0164,4.84,7.29
K=7168,fp32,0.0743,0.0349,0.0229,2.13,3.24
K=7680,fp16,0.1301,0.0273,0.0191,4.76,6.80
K=7680,bf16,0.1307,0.0283,0.0188,4.62,6.94
K=7680,fp32,0.0792,0.0385,0.0249,2.06,3.18
K=8192,fp16,0.1219,0.0278,0.0200,4.38,6.09
K=8192,bf16,0.1225,0.0278,0.0196,4.41,6.24
K=8192,fp32,0.0727,0.0391,0.0262,1.86,2.77
K=8704,fp16,0.1316,0.0302,0.0200,4.36,6.57
K=8704,bf16,0.1316,0.0302,0.0209,4.35,6.30
K=8704,fp32,0.0776,0.0425,0.0275,1.82,2.82
K=9216,fp16,0.1395,0.0303,0.0207,4.61,6.75
K=9216,bf16,0.1403,0.0300,0.0216,4.68,6.48
K=9216,fp32,0.0819,0.0437,0.0293,1.87,2.79
K=9728,fp16,0.1498,0.0327,0.0238,4.58,6.29
K=9728,bf16,0.1513,0.0321,0.0213,4.72,7.10
K=9728,fp32,0.0858,0.0468,0.0314,1.84,2.73
K=10240,fp16,0.1593,0.0328,0.0245,4.85,6.49
K=10240,bf16,0.1595,0.0328,0.0221,4.87,7.23
K=10240,fp32,0.0903,0.0471,0.0337,1.92,2.68
