params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
K=512,fp16,0.0064,0.0227,0.0045,0.28,1.42
K=512,bf16,0.0063,0.0234,0.0046,0.27,1.38
K=512,fp32,0.0065,0.0246,0.0043,0.26,1.51
K=1024,fp16,0.0085,0.0235,0.0047,0.36,1.81
K=1024,bf16,0.0086,0.0234,0.0049,0.37,1.78
K=1024,fp32,0.0095,0.0247,0.0056,0.38,1.71
K=1536,fp16,0.0098,0.0289,0.0068,0.34,1.44
K=1536,bf16,0.0102,0.0300,0.0071,0.34,1.43
K=1536,fp32,0.0118,0.0306,0.0076,0.38,1.55
K=2048,fp16,0.0123,0.0286,0.0073,0.43,1.68
K=2048,bf16,0.0123,0.0286,0.0074,0.43,1.65
K=2048,fp32,0.0157,0.0314,0.0097,0.50,1.63
K=2560,fp16,0.0138,0.0339,0.0118,0.41,1.17
K=2560,bf16,0.0140,0.0340,0.0121,0.41,1.15
K=2560,fp32,0.0187,0.0376,0.0122,0.50,1.53
K=3072,fp16,0.0162,0.0346,0.0126,0.47,1.28
K=3072,bf16,0.0165,0.0343,0.0132,0.48,1.25
K=3072,fp32,0.0219,0.0379,0.0135,0.58,1.63
K=3584,fp16,0.0180,0.0395,0.0184,0.46,0.98
K=3584,bf16,0.0182,0.0407,0.0184,0.45,0.98
K=3584,fp32,0.0242,0.0434,0.0166,0.56,1.46
K=4096,fp16,0.0204,0.0397,0.0195,0.51,1.04
K=4096,bf16,0.0203,0.0398,0.0196,0.51,1.04
K=4096,fp32,0.0281,0.0444,0.0183,0.63,1.53
K=4608,fp16,0.0227,0.0457,0.0283,0.50,0.80
K=4608,bf16,0.0231,0.0458,0.0246,0.50,0.94
K=4608,fp32,0.0300,0.0500,0.0198,0.60,1.51
K=5120,fp16,0.0254,0.0456,0.0295,0.56,0.86
K=5120,bf16,0.0255,0.0459,0.0249,0.55,1.02
K=5120,fp32,0.0334,0.0503,0.0226,0.66,1.48
K=5632,fp16,0.0271,0.0508,0.0336,0.53,0.81
K=5632,bf16,0.0277,0.0507,0.0346,0.55,0.80
K=5632,fp32,0.0370,0.0555,0.0228,0.67,1.62
K=6144,fp16,0.0300,0.0503,0.0345,0.60,0.87
K=6144,bf16,0.0299,0.0505,0.0353,0.59,0.85
K=6144,fp32,0.0397,0.0562,0.0257,0.71,1.54
K=6656,fp16,0.0317,0.0553,0.0193,0.57,1.64
K=6656,bf16,0.0323,0.0557,0.0242,0.58,1.33
K=6656,fp32,0.0437,0.0621,0.0264,0.70,1.66
K=7168,fp16,0.0352,0.0557,0.0197,0.63,1.79
K=7168,bf16,0.0354,0.0562,0.0248,0.63,1.43
K=7168,fp32,0.0473,0.0626,0.0289,0.75,1.64
K=7680,fp16,0.0381,0.0610,0.0246,0.62,1.55
K=7680,bf16,0.0375,0.0617,0.0275,0.61,1.37
K=7680,fp32,0.0503,0.0688,0.0288,0.73,1.74
K=8192,fp16,0.0393,0.0600,0.0250,0.66,1.57
K=8192,bf16,0.0396,0.0610,0.0282,0.65,1.40
K=8192,fp32,0.0547,0.0688,0.0316,0.79,1.73
K=8704,fp16,0.0420,0.0655,0.0318,0.64,1.32
K=8704,bf16,0.0430,0.0670,0.0339,0.64,1.27
K=8704,fp32,0.0563,0.0746,0.0373,0.76,1.51
K=9216,fp16,0.0449,0.0664,0.0325,0.68,1.38
K=9216,bf16,0.0439,0.0663,0.0335,0.66,1.31
K=9216,fp32,0.0593,0.0755,0.0387,0.79,1.53
K=9728,fp16,0.0490,0.0723,0.0357,0.68,1.37
K=9728,bf16,0.0491,0.0720,0.0379,0.68,1.29
K=9728,fp32,0.0615,0.0812,0.0436,0.76,1.41
K=10240,fp16,0.0505,0.0710,0.0361,0.71,1.40
K=10240,bf16,0.0521,0.0710,0.0387,0.73,1.35
K=10240,fp32,0.0655,0.0816,0.0453,0.80,1.45
