params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=2500000,fp16,0.0087,0.0058,0.0029,1.50,3.00
n=2500000,bf16,0.0087,0.0058,0.0029,1.51,3.02
n=2500000,fp32,0.0111,0.0070,0.0044,1.57,2.55
n=5000000,fp16,0.0135,0.0085,0.0048,1.59,2.79
n=5000000,bf16,0.0135,0.0085,0.0049,1.59,2.76
n=5000000,fp32,0.0180,0.0119,0.0083,1.52,2.18
n=7500000,fp16,0.0175,0.0105,0.0063,1.67,2.79
n=7500000,bf16,0.0170,0.0109,0.0061,1.56,2.79
n=7500000,fp32,0.0246,0.0158,0.0118,1.56,2.09
n=10000000,fp16,0.0215,0.0132,0.0083,1.62,2.59
n=10000000,bf16,0.0220,0.0131,0.0082,1.68,2.70
n=10000000,fp32,0.0346,0.0186,0.0185,1.86,1.87
n=12500000,fp16,0.0258,0.0152,0.0108,1.69,2.39
n=12500000,bf16,0.0259,0.0152,0.0107,1.70,2.42
n=12500000,fp32,0.0471,0.0218,0.0175,2.17,2.69
n=15000000,fp16,0.0316,0.0168,0.0124,1.88,2.55
n=15000000,bf16,0.0323,0.0168,0.0123,1.92,2.63
n=15000000,fp32,0.0583,0.0248,0.0205,2.35,2.85
n=17500000,fp16,0.0380,0.0186,0.0132,2.04,2.88
n=17500000,bf16,0.0381,0.0186,0.0132,2.04,2.89
n=17500000,fp32,0.0700,0.0279,0.0237,2.51,2.95
n=20000000,fp16,0.0441,0.0206,0.0148,2.14,2.99
n=20000000,bf16,0.0440,0.0206,0.0147,2.14,3.00
n=20000000,fp32,0.0819,0.0309,0.0266,2.65,3.08
n=22500000,fp16,0.0513,0.0225,0.0160,2.28,3.20
n=22500000,bf16,0.0508,0.0225,0.0161,2.25,3.15
n=22500000,fp32,0.0916,0.0337,0.0296,2.71,3.09
n=25000000,fp16,0.0559,0.0243,0.0190,2.30,2.95
n=25000000,bf16,0.0563,0.0242,0.0189,2.32,2.98
n=25000000,fp32,0.1000,0.0369,0.0321,2.71,3.12
n=27500000,fp16,0.0631,0.0262,0.0192,2.41,3.28
n=27500000,bf16,0.0628,0.0261,0.0195,2.41,3.23
n=27500000,fp32,0.1098,0.0399,0.0355,2.75,3.10
n=30000000,fp16,0.0695,0.0278,0.0207,2.50,3.36
n=30000000,bf16,0.0699,0.0278,0.0207,2.51,3.38
n=30000000,fp32,0.1184,0.0428,0.0383,2.76,3.09
n=32500000,fp16,0.0756,0.0297,0.0222,2.54,3.41
n=32500000,bf16,0.0758,0.0298,0.0223,2.54,3.40
n=32500000,fp32,0.1281,0.0459,0.0445,2.79,2.88
n=35000000,fp16,0.0817,0.0313,0.0238,2.61,3.43
n=35000000,bf16,0.0823,0.0317,0.0235,2.60,3.49
n=35000000,fp32,0.1370,0.0489,0.0441,2.80,3.10
n=37500000,fp16,0.0864,0.0332,0.0253,2.60,3.42
n=37500000,bf16,0.0866,0.0331,0.0250,2.62,3.47
n=37500000,fp32,0.1460,0.0519,0.0472,2.81,3.10
n=40000000,fp16,0.0923,0.0349,0.0267,2.64,3.46
n=40000000,bf16,0.0926,0.0349,0.0267,2.65,3.48
n=40000000,fp32,0.1554,0.0548,0.0500,2.84,3.11
n=42500000,fp16,0.0975,0.0369,0.0282,2.64,3.46
n=42500000,bf16,0.0974,0.0369,0.0281,2.64,3.47
n=42500000,fp32,0.1645,0.0579,0.0529,2.84,3.11
n=45000000,fp16,0.1034,0.0386,0.0293,2.67,3.53
n=45000000,bf16,0.1026,0.0386,0.0292,2.66,3.51
n=45000000,fp32,0.1740,0.0607,0.0559,2.86,3.11
n=47500000,fp16,0.1083,0.0404,0.0309,2.68,3.51
n=47500000,bf16,0.1081,0.0403,0.0309,2.68,3.50
n=47500000,fp32,0.1833,0.0637,0.0588,2.88,3.12
n=50000000,fp16,0.1129,0.0421,0.0324,2.68,3.48
n=50000000,bf16,0.1131,0.0421,0.0324,2.69,3.49
n=50000000,fp32,0.1917,0.0666,0.0616,2.88,3.11
