params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=2500000,fp16,0.0087,0.0138,0.0034,0.63,2.58
n=2500000,bf16,0.0085,0.0133,0.0032,0.63,2.61
n=2500000,fp32,0.0108,0.0148,0.0043,0.73,2.53
n=5000000,fp16,0.0134,0.0218,0.0050,0.62,2.66
n=5000000,bf16,0.0132,0.0210,0.0048,0.63,2.74
n=5000000,fp32,0.0177,0.0235,0.0083,0.75,2.13
n=7500000,fp16,0.0171,0.0304,0.0069,0.56,2.49
n=7500000,bf16,0.0174,0.0303,0.0068,0.57,2.54
n=7500000,fp32,0.0245,0.0324,0.0116,0.76,2.11
n=10000000,fp16,0.0214,0.0391,0.0089,0.55,2.42
n=10000000,bf16,0.0215,0.0392,0.0089,0.55,2.42
n=10000000,fp32,0.0350,0.0413,0.0146,0.85,2.40
n=12500000,fp16,0.0261,0.0477,0.0107,0.55,2.44
n=12500000,bf16,0.0260,0.0477,0.0106,0.55,2.44
n=12500000,fp32,0.0477,0.0499,0.0176,0.95,2.71
n=15000000,fp16,0.0322,0.0561,0.0124,0.57,2.60
n=15000000,bf16,0.0323,0.0561,0.0124,0.58,2.60
n=15000000,fp32,0.0584,0.0589,0.0204,0.99,2.86
n=17500000,fp16,0.0379,0.0645,0.0140,0.59,2.71
n=17500000,bf16,0.0388,0.0645,0.0140,0.60,2.77
n=17500000,fp32,0.0699,0.0676,0.0234,1.03,2.98
n=20000000,fp16,0.0440,0.0729,0.0157,0.60,2.80
n=20000000,bf16,0.0449,0.0730,0.0156,0.61,2.88
n=20000000,fp32,0.0817,0.0766,0.0263,1.07,3.10
n=22500000,fp16,0.0505,0.0813,0.0173,0.62,2.92
n=22500000,bf16,0.0507,0.0813,0.0173,0.62,2.93
n=22500000,fp32,0.0915,0.0852,0.0291,1.07,3.15
n=25000000,fp16,0.0563,0.0896,0.0190,0.63,2.96
n=25000000,bf16,0.0568,0.0897,0.0189,0.63,3.01
n=25000000,fp32,0.1006,0.0941,0.0321,1.07,3.13
n=27500000,fp16,0.0632,0.0982,0.0206,0.64,3.06
n=27500000,bf16,0.0640,0.0983,0.0206,0.65,3.11
n=27500000,fp32,0.1102,0.1027,0.0350,1.07,3.15
n=30000000,fp16,0.0699,0.1065,0.0222,0.66,3.15
n=30000000,bf16,0.0696,0.1065,0.0222,0.65,3.14
n=30000000,fp32,0.1183,0.1115,0.0377,1.06,3.14
n=32500000,fp16,0.0758,0.1149,0.0239,0.66,3.17
n=32500000,bf16,0.0761,0.1150,0.0239,0.66,3.18
n=32500000,fp32,0.1279,0.1202,0.0405,1.06,3.16
n=35000000,fp16,0.0816,0.1233,0.0254,0.66,3.21
n=35000000,bf16,0.0818,0.1234,0.0254,0.66,3.22
n=35000000,fp32,0.1368,0.1291,0.0435,1.06,3.14
n=37500000,fp16,0.0866,0.1318,0.0272,0.66,3.18
n=37500000,bf16,0.0866,0.1317,0.0272,0.66,3.19
n=37500000,fp32,0.1464,0.1377,0.0465,1.06,3.15
n=40000000,fp16,0.0922,0.1401,0.0287,0.66,3.21
n=40000000,bf16,0.0927,0.1401,0.0287,0.66,3.22
n=40000000,fp32,0.1554,0.1464,0.0495,1.06,3.14
n=42500000,fp16,0.0976,0.1484,0.0305,0.66,3.20
n=42500000,bf16,0.0979,0.1484,0.0303,0.66,3.23
n=42500000,fp32,0.1650,0.1552,0.0521,1.06,3.17
n=45000000,fp16,0.1021,0.1568,0.0319,0.65,3.20
n=45000000,bf16,0.1032,0.1568,0.0318,0.66,3.24
n=45000000,fp32,0.1735,0.1640,0.0550,1.06,3.15
n=47500000,fp16,0.1079,0.1651,0.0335,0.65,3.22
n=47500000,bf16,0.1080,0.1650,0.0335,0.65,3.23
n=47500000,fp32,0.1828,0.1729,0.0579,1.06,3.16
n=50000000,fp16,0.1125,0.1736,0.0351,0.65,3.21
n=50000000,bf16,0.1125,0.1735,0.0351,0.65,3.20
n=50000000,fp32,0.1914,0.1816,0.0609,1.05,3.14
