params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
K=1024,fp32,0.5615,0.3213,0.0620,1.75,9.06
K=1024,fp16,0.0261,0.0460,0.0324,0.57,0.81
K=1024,fp8_e4m3fn,0.6075,0.0365,0.0185,16.65,32.85
K=1024,fp8_e5m2,0.6055,0.0364,0.0186,16.65,32.59
K=2048,fp32,1.0962,0.6252,0.1025,1.75,10.70
K=2048,fp16,0.0458,0.0760,0.0522,0.60,0.88
K=2048,fp8_e4m3fn,1.1657,0.0594,0.0286,19.61,40.69
K=2048,fp8_e5m2,1.1657,0.0605,0.0290,19.27,40.26
K=3072,fp32,1.6315,0.9240,0.1436,1.77,11.36
K=3072,fp16,0.0668,0.1071,0.0725,0.62,0.92
K=3072,fp8_e4m3fn,1.7221,0.0840,0.0385,20.51,44.76
K=3072,fp8_e5m2,1.7211,0.0840,0.0387,20.48,44.47
K=4096,fp32,2.1668,1.2219,0.1832,1.77,11.83
K=4096,fp16,0.0899,0.1440,0.0934,0.62,0.96
K=4096,fp8_e4m3fn,2.2809,0.1063,0.0481,21.45,47.42
K=4096,fp8_e5m2,2.2791,0.1073,0.0488,21.24,46.72
K=5120,fp32,2.7018,1.5189,0.2239,1.78,12.07
K=5120,fp16,0.1146,0.1794,0.1163,0.64,0.99
K=5120,fp8_e4m3fn,2.8413,0.1300,0.0580,21.85,48.98
K=5120,fp8_e5m2,2.8383,0.1312,0.0590,21.63,48.09
K=6144,fp32,3.2370,1.8180,0.2656,1.78,12.19
K=6144,fp16,0.1405,0.2126,0.1397,0.66,1.01
K=6144,fp8_e4m3fn,3.3975,0.1539,0.0680,22.08,49.96
K=6144,fp8_e5m2,3.3955,0.1549,0.0694,21.93,48.95
K=7168,fp32,3.7711,2.1121,0.3081,1.79,12.24
K=7168,fp16,0.1675,0.2445,0.1630,0.68,1.03
K=7168,fp8_e4m3fn,3.9584,0.1817,0.0778,21.78,50.90
K=7168,fp8_e5m2,3.9541,0.1812,0.0796,21.82,49.65
K=8192,fp32,4.3062,2.4054,0.3509,1.79,12.27
K=8192,fp16,0.1935,0.2766,0.1865,0.70,1.04
K=8192,fp8_e4m3fn,4.5167,0.2189,0.0874,20.64,51.66
K=8192,fp8_e5m2,4.5123,0.2213,0.0900,20.39,50.14
K=9216,fp32,4.8396,2.7050,0.3933,1.79,12.30
K=9216,fp16,0.2172,0.3070,0.2095,0.71,1.04
K=9216,fp8_e4m3fn,5.0745,0.2536,0.0968,20.01,52.41
K=9216,fp8_e5m2,5.0702,0.2556,0.1008,19.84,50.29
K=10240,fp32,5.3725,3.0008,0.4441,1.79,12.10
K=10240,fp16,0.2424,0.3402,0.2328,0.71,1.04
K=10240,fp8_e4m3fn,5.6314,0.2805,0.1063,20.08,52.98
K=10240,fp8_e5m2,5.6278,0.2829,0.1121,19.89,50.20
K=11264,fp32,5.9062,3.2998,0.4869,1.79,12.13
K=11264,fp16,0.2692,0.3698,0.2565,0.73,1.05
K=11264,fp8_e4m3fn,6.1901,0.3088,0.1158,20.05,53.46
