params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
K=1024,int8,0.2249,0.0296,0.0237,7.60,9.50
K=2048,int8,0.3889,0.0508,0.0407,7.65,9.55
K=3072,int8,0.5556,0.0715,0.0578,7.77,9.62
K=4096,int8,0.7245,0.0927,0.0747,7.82,9.70
K=5120,int8,0.8974,0.1127,0.0910,7.96,9.87
K=6144,int8,1.0659,0.1337,0.1072,7.97,9.95
K=7168,int8,1.2337,0.1544,0.1234,7.99,9.99
K=8192,int8,1.4020,0.1754,0.1398,7.99,10.03
K=9216,int8,1.5704,0.1961,0.1558,8.01,10.08
K=10240,int8,1.7390,0.2171,0.1721,8.01,10.10
K=11264,int8,1.9069,0.2378,0.1884,8.02,10.12
K=12288,int8,2.0752,0.2588,0.2045,8.02,10.15
K=13312,int8,2.2419,0.2796,0.2208,8.02,10.15
K=14336,int8,2.4100,0.3002,0.2372,8.03,10.16
K=15360,int8,2.5805,0.3214,0.2532,8.03,10.19
K=16384,int8,2.7487,0.3423,0.2698,8.03,10.19
K=17408,int8,2.9171,0.3629,0.2858,8.04,10.21
K=18432,int8,3.0869,0.3836,0.3021,8.05,10.22
K=19456,int8,3.2564,0.4051,0.3182,8.04,10.24
K=20480,int8,3.4266,0.4257,0.3344,8.05,10.25
