params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
K=1024,int8,0.2249,0.0363,0.0572,6.19,3.93
K=2048,int8,0.3906,0.0634,0.1056,6.17,3.70
K=3072,int8,0.5568,0.0908,0.1539,6.13,3.62
K=4096,int8,0.7251,0.1178,0.2022,6.16,3.59
K=5120,int8,0.8984,0.1451,0.2506,6.19,3.59
K=6144,int8,1.0654,0.1724,0.2990,6.18,3.56
K=7168,int8,1.2338,0.2007,0.3474,6.15,3.55
K=8192,int8,1.4027,0.2280,0.3957,6.15,3.54
K=9216,int8,1.5706,0.2549,0.4442,6.16,3.54
K=10240,int8,1.7384,0.2823,0.4923,6.16,3.53
K=11264,int8,1.9073,0.3095,0.5400,6.16,3.53
K=12288,int8,2.0749,0.3368,0.5888,6.16,3.52
K=13312,int8,2.2428,0.3643,0.6361,6.16,3.53
K=14336,int8,2.4110,0.3918,0.6849,6.15,3.52
K=15360,int8,2.5788,0.4191,0.7329,6.15,3.52
K=16384,int8,2.7487,0.4472,0.7810,6.15,3.52
K=17408,int8,2.9181,0.4744,0.8297,6.15,3.52
K=18432,int8,3.0851,0.5019,0.8770,6.15,3.52
K=19456,int8,3.2557,0.5299,0.9260,6.14,3.52
K=20480,int8,3.4246,0.5572,0.9732,6.15,3.52
