params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=256,fp16,0.0015,0.0038,0.0016,0.39,0.95
N=256,bf16,0.0015,0.0037,0.0015,0.40,1.01
N=256,fp32,0.0015,0.0039,0.0017,0.40,0.92
N=256,int8,0.0014,0.0037,0.0014,0.37,1.02
N=512,fp16,0.0017,0.0043,0.0017,0.39,0.97
N=512,bf16,0.0017,0.0041,0.0017,0.40,0.99
N=512,fp32,0.0020,0.0044,0.0020,0.47,1.01
N=512,int8,0.0016,0.0039,0.0015,0.40,1.03
N=768,fp16,0.0021,0.0056,0.0020,0.38,1.03
N=768,bf16,0.0021,0.0056,0.0020,0.37,1.01
N=768,fp32,0.0023,0.0049,0.0023,0.47,1.01
N=768,int8,0.0019,0.0041,0.0018,0.47,1.04
N=1024,fp16,0.0023,0.0049,0.0023,0.46,1.01
N=1024,bf16,0.0024,0.0057,0.0023,0.42,1.04
N=1024,fp32,0.0026,0.0051,0.0027,0.51,0.98
N=1024,int8,0.0021,0.0047,0.0020,0.45,1.04
N=1280,fp16,0.0026,0.0055,0.0025,0.46,1.03
N=1280,bf16,0.0026,0.0055,0.0024,0.47,1.07
N=1280,fp32,0.0037,0.0063,0.0035,0.58,1.03
N=1280,int8,0.0022,0.0052,0.0020,0.42,1.07
N=1536,fp16,0.0029,0.0062,0.0029,0.47,1.01
N=1536,bf16,0.0031,0.0063,0.0030,0.49,1.01
N=1536,fp32,0.0044,0.0072,0.0044,0.61,0.99
N=1536,int8,0.0025,0.0057,0.0022,0.44,1.14
N=1792,fp16,0.0035,0.0075,0.0034,0.47,1.03
N=1792,bf16,0.0035,0.0076,0.0033,0.46,1.04
N=1792,fp32,0.0056,0.0091,0.0053,0.62,1.06
N=1792,int8,0.0030,0.0071,0.0025,0.42,1.17
N=2048,fp16,0.0044,0.0091,0.0042,0.49,1.04
N=2048,bf16,0.0040,0.0099,0.0037,0.40,1.07
N=2048,fp32,0.0073,0.0112,0.0069,0.65,1.05
N=2048,int8,0.0035,0.0081,0.0028,0.43,1.27
N=2304,fp16,0.0047,0.0103,0.0044,0.46,1.07
N=2304,bf16,0.0047,0.0102,0.0044,0.46,1.07
N=2304,fp32,0.0088,0.0137,0.0085,0.64,1.04
N=2304,int8,0.0042,0.0093,0.0031,0.45,1.34
N=2560,fp16,0.0059,0.0121,0.0055,0.49,1.08
N=2560,bf16,0.0060,0.0120,0.0055,0.50,1.08
N=2560,fp32,0.0105,0.0159,0.0106,0.66,0.99
N=2560,int8,0.0050,0.0106,0.0036,0.47,1.39
N=2816,fp16,0.0071,0.0145,0.0062,0.49,1.14
N=2816,bf16,0.0071,0.0146,0.0064,0.49,1.10
N=2816,fp32,0.0122,0.0184,0.0121,0.66,1.01
N=2816,int8,0.0057,0.0124,0.0041,0.46,1.40
N=3072,fp16,0.0083,0.0164,0.0083,0.51,1.00
N=3072,bf16,0.0082,0.0165,0.0082,0.50,1.01
N=3072,fp32,0.0141,0.0200,0.0139,0.71,1.01
N=3072,int8,0.0065,0.0142,0.0064,0.46,1.01
N=3328,fp16,0.0095,0.0180,0.0090,0.53,1.05
N=3328,bf16,0.0095,0.0180,0.0091,0.53,1.05
N=3328,fp32,0.0158,0.0222,0.0203,0.71,0.78
N=3328,int8,0.0073,0.0153,0.0046,0.48,1.59
N=3584,fp16,0.0106,0.0193,0.0105,0.55,1.00
N=3584,bf16,0.0106,0.0194,0.0106,0.55,1.00
N=3584,fp32,0.0179,0.0252,0.0180,0.71,0.99
N=3584,int8,0.0084,0.0167,0.0084,0.50,1.00
N=3840,fp16,0.0119,0.0218,0.0114,0.55,1.04
N=3840,bf16,0.0120,0.0217,0.0115,0.55,1.04
N=3840,fp32,0.0202,0.0280,0.0203,0.72,0.99
N=3840,int8,0.0095,0.0184,0.0066,0.52,1.45
N=4096,fp16,0.0132,0.0236,0.0126,0.56,1.04
N=4096,bf16,0.0133,0.0236,0.0126,0.57,1.06
N=4096,fp32,0.0225,0.0299,0.0227,0.75,0.99
N=4096,int8,0.0104,0.0198,0.0073,0.53,1.43
N=4352,fp16,0.0145,0.0258,0.0144,0.56,1.00
N=4352,bf16,0.0145,0.0261,0.0145,0.56,1.00
N=4352,fp32,0.0250,0.0334,0.0251,0.75,1.00
N=4352,int8,0.0117,0.0217,0.0117,0.54,1.00
N=4608,fp16,0.0160,0.0278,0.0153,0.58,1.05
N=4608,bf16,0.0160,0.0278,0.0153,0.57,1.05
N=4608,fp32,0.0276,0.0364,0.0280,0.76,0.99
N=4608,int8,0.0130,0.0236,0.0092,0.55,1.41
N=4864,fp16,0.0176,0.0304,0.0168,0.58,1.05
N=4864,bf16,0.0176,0.0305,0.0167,0.58,1.05
N=4864,fp32,0.0305,0.0396,0.0376,0.77,0.81
N=4864,int8,0.0142,0.0261,0.0095,0.54,1.49
N=5120,fp16,0.0192,0.0327,0.0183,0.59,1.05
N=5120,bf16,0.0192,0.0327,0.0185,0.59,1.04
N=5120,fp32,0.0335,0.0430,0.0338,0.78,0.99
N=5120,int8,0.0154,0.0280,0.0104,0.55,1.49
