params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1024,fp16,0.0205,0.0102,0.0041,2.01,5.06
n=1024,bf16,0.0204,0.0102,0.0041,2.00,4.93
n=1024,fp32,0.0213,0.0116,0.0072,1.84,2.97
n=1024,int8,0.0193,0.0072,0.0035,2.68,5.55
n=2048,fp16,0.0369,0.0153,0.0078,2.41,4.75
n=2048,bf16,0.0370,0.0152,0.0077,2.44,4.80
n=2048,fp32,0.0402,0.0198,0.0133,2.03,3.03
n=2048,int8,0.0346,0.0106,0.0059,3.27,5.85
n=3072,fp16,0.0557,0.0203,0.0107,2.75,5.20
n=3072,bf16,0.0557,0.0202,0.0109,2.76,5.12
n=3072,fp32,0.0606,0.0256,0.0183,2.37,3.32
n=3072,int8,0.0528,0.0139,0.0077,3.80,6.90
n=4096,fp16,0.0699,0.0282,0.0143,2.48,4.89
n=4096,bf16,0.0699,0.0282,0.0143,2.47,4.89
n=4096,fp32,0.0773,0.0327,0.0252,2.37,3.07
n=4096,int8,0.0664,0.0172,0.0098,3.87,6.78
n=5120,fp16,0.0919,0.0328,0.0166,2.80,5.54
n=5120,bf16,0.0919,0.0328,0.0164,2.80,5.59
n=5120,fp32,0.1021,0.0389,0.0294,2.63,3.47
n=5120,int8,0.0839,0.0211,0.0114,3.98,7.35
n=6144,fp16,0.1067,0.0370,0.0188,2.88,5.67
n=6144,bf16,0.1066,0.0370,0.0187,2.88,5.69
n=6144,fp32,0.1183,0.0455,0.0336,2.60,3.52
n=6144,int8,0.1018,0.0245,0.0130,4.15,7.83
n=7168,fp16,0.1229,0.0434,0.0213,2.83,5.78
n=7168,bf16,0.1230,0.0434,0.0213,2.84,5.77
n=7168,fp32,0.1337,0.0519,0.0388,2.58,3.45
n=7168,int8,0.1201,0.0271,0.0178,4.44,6.73
n=8192,fp16,0.1350,0.0492,0.0240,2.74,5.63
n=8192,bf16,0.1350,0.0492,0.0238,2.74,5.67
n=8192,fp32,0.1501,0.0583,0.0435,2.58,3.45
n=8192,int8,0.1291,0.0303,0.0193,4.27,6.68
n=9216,fp16,0.1551,0.0534,0.0264,2.90,5.87
n=9216,bf16,0.1552,0.0535,0.0266,2.90,5.84
n=9216,fp32,0.1711,0.0647,0.0487,2.65,3.52
n=9216,int8,0.1496,0.0333,0.0220,4.49,6.79
n=10240,fp16,0.1813,0.0583,0.0289,3.11,6.27
n=10240,bf16,0.1810,0.0584,0.0288,3.10,6.28
n=10240,fp32,0.1986,0.0710,0.0546,2.80,3.64
n=10240,int8,0.1726,0.0366,0.0171,4.71,10.08
n=11264,fp16,0.1863,0.0649,0.0319,2.87,5.84
n=11264,bf16,0.1863,0.0650,0.0320,2.86,5.82
n=11264,fp32,0.2095,0.0773,0.0590,2.71,3.55
n=11264,int8,0.1793,0.0394,0.0212,4.55,8.46
n=12288,fp16,0.2106,0.0696,0.0348,3.03,6.05
n=12288,bf16,0.2103,0.0697,0.0344,3.02,6.11
n=12288,fp32,0.2311,0.0836,0.0639,2.76,3.62
n=12288,int8,0.2000,0.0424,0.0282,4.72,7.11
n=13312,fp16,0.2217,0.0744,0.0365,2.98,6.07
n=13312,bf16,0.2212,0.0745,0.0368,2.97,6.01
n=13312,fp32,0.2444,0.0899,0.0694,2.72,3.52
n=13312,int8,0.2116,0.0453,0.0251,4.67,8.44
n=14336,fp16,0.2380,0.0802,0.0392,2.97,6.07
n=14336,bf16,0.2380,0.0802,0.0393,2.97,6.05
n=14336,fp32,0.2607,0.0961,0.0744,2.71,3.50
n=14336,int8,0.2317,0.0488,0.0222,4.75,10.45
n=15360,fp16,0.2612,0.0855,0.0417,3.05,6.26
n=15360,bf16,0.2613,0.0856,0.0416,3.05,6.28
n=15360,fp32,0.2896,0.1023,0.0792,2.83,3.66
n=15360,int8,0.2461,0.0516,0.0276,4.77,8.93
n=16384,fp16,0.2648,0.0903,0.0440,2.93,6.02
n=16384,bf16,0.2647,0.0904,0.0442,2.93,6.00
n=16384,fp32,0.2956,0.1086,0.0857,2.72,3.45
n=16384,int8,0.2551,0.0542,0.0298,4.71,8.57
n=17408,fp16,0.2979,0.0961,0.0469,3.10,6.36
n=17408,bf16,0.2978,0.0960,0.0466,3.10,6.40
n=17408,fp32,0.3289,0.1149,0.0891,2.86,3.69
n=17408,int8,0.2826,0.0571,0.0385,4.95,7.33
n=18432,fp16,0.3046,0.1013,0.0493,3.01,6.18
n=18432,bf16,0.3045,0.1014,0.0493,3.00,6.17
n=18432,fp32,0.3364,0.1209,0.0944,2.78,3.57
n=18432,int8,0.2937,0.0606,0.0333,4.85,8.83
n=19456,fp16,0.3243,0.1065,0.0518,3.05,6.26
n=19456,bf16,0.3241,0.1065,0.0518,3.04,6.25
n=19456,fp32,0.3590,0.1273,0.0993,2.82,3.62
n=19456,int8,0.3059,0.0634,0.0345,4.82,8.86
n=20480,fp16,0.3566,0.1112,0.0541,3.21,6.59
n=20480,bf16,0.3560,0.1113,0.0540,3.20,6.59
n=20480,fp32,0.3879,0.1335,0.1036,2.91,3.74
n=20480,int8,0.3458,0.0663,0.0363,5.22,9.53
