params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
N=1024,fp16,0.0123,0.0066,0.0028,1.88,4.45
N=1024,bf16,0.0128,0.0067,0.0028,1.92,4.62
N=1024,fp32,0.0069,0.0070,0.0032,0.98,2.14
N=2048,fp16,0.0203,0.0074,0.0036,2.73,5.63
N=2048,bf16,0.0201,0.0077,0.0038,2.61,5.29
N=2048,fp32,0.0099,0.0079,0.0039,1.26,2.54
N=3072,fp16,0.0290,0.0088,0.0050,3.29,5.76
N=3072,bf16,0.0292,0.0087,0.0052,3.35,5.61
N=3072,fp32,0.0152,0.0095,0.0055,1.61,2.76
N=4096,fp16,0.0358,0.0094,0.0062,3.80,5.80
N=4096,bf16,0.0362,0.0091,0.0062,3.96,5.88
N=4096,fp32,0.0198,0.0113,0.0080,1.75,2.49
N=5120,fp16,0.0445,0.0106,0.0077,4.20,5.75
N=5120,bf16,0.0447,0.0108,0.0079,4.13,5.66
N=5120,fp32,0.0253,0.0137,0.0107,1.85,2.37
N=6144,fp16,0.0527,0.0119,0.0099,4.43,5.32
N=6144,bf16,0.0538,0.0118,0.0095,4.58,5.66
N=6144,fp32,0.0296,0.0155,0.0126,1.91,2.34
N=7168,fp16,0.0698,0.0127,0.0117,5.48,5.94
N=7168,bf16,0.0696,0.0131,0.0121,5.30,5.76
N=7168,fp32,0.0348,0.0175,0.0145,1.99,2.39
N=8192,fp16,0.0619,0.0140,0.0166,4.43,3.73
N=8192,bf16,0.0621,0.0143,0.0165,4.36,3.77
N=8192,fp32,0.0232,0.0191,0.0161,1.22,1.45
N=9216,fp16,0.0713,0.0156,0.0199,4.58,3.58
N=9216,bf16,0.0717,0.0157,0.0199,4.57,3.61
N=9216,fp32,0.0259,0.0208,0.0179,1.24,1.45
N=10240,fp16,0.0804,0.0169,0.0221,4.76,3.63
N=10240,bf16,0.0812,0.0169,0.0220,4.81,3.69
N=10240,fp32,0.0272,0.0225,0.0196,1.21,1.39
N=11264,fp16,0.0899,0.0183,0.0299,4.90,3.00
N=11264,bf16,0.0909,0.0183,0.0241,4.96,3.78
N=11264,fp32,0.0297,0.0245,0.0215,1.21,1.39
N=12288,fp16,0.0981,0.0192,0.0324,5.10,3.02
N=12288,bf16,0.0988,0.0194,0.0259,5.10,3.81
N=12288,fp32,0.0311,0.0261,0.0232,1.19,1.34
N=13312,fp16,0.1067,0.0206,0.0351,5.18,3.04
N=13312,bf16,0.1075,0.0206,0.0278,5.22,3.86
N=13312,fp32,0.0337,0.0278,0.0247,1.21,1.36
N=14336,fp16,0.1138,0.0218,0.0374,5.22,3.04
N=14336,bf16,0.1149,0.0219,0.0298,5.26,3.85
N=14336,fp32,0.0351,0.0295,0.0262,1.19,1.34
N=15360,fp16,0.1220,0.0230,0.0482,5.31,2.53
N=15360,bf16,0.1230,0.0234,0.0155,5.25,7.93
N=15360,fp32,0.0374,0.0339,0.0309,1.10,1.21
N=16384,fp16,0.1288,0.0245,0.0508,5.26,2.54
N=16384,bf16,0.1301,0.0245,0.0192,5.30,6.79
N=16384,fp32,0.0387,0.0363,0.0342,1.07,1.13
N=17408,fp16,0.1360,0.0257,0.0538,5.30,2.53
N=17408,bf16,0.1374,0.0258,0.0175,5.32,7.86
N=17408,fp32,0.0406,0.0357,0.0323,1.14,1.26
N=18432,fp16,0.1426,0.0268,0.0565,5.32,2.52
N=18432,bf16,0.1440,0.0270,0.0216,5.34,6.68
N=18432,fp32,0.0416,0.0362,0.0326,1.15,1.28
N=19456,fp16,0.1498,0.0281,0.0594,5.34,2.52
N=19456,bf16,0.1514,0.0281,0.0196,5.38,7.74
N=19456,fp32,0.0435,0.0379,0.0343,1.15,1.27
N=20480,fp16,0.1561,0.0292,0.0621,5.35,2.51
N=20480,bf16,0.1577,0.0292,0.0236,5.40,6.69
N=20480,fp32,0.0446,0.0394,0.0362,1.13,1.23
