params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1048576,fp16,0.0023,0.0053,0.0023,0.43,1.01
n=1048576,bf16,0.0023,0.0054,0.0022,0.43,1.03
n=1048576,fp32,0.0027,0.0056,0.0037,0.47,0.72
n=1048576,int8,0.0021,0.0053,0.0021,0.39,0.97
n=2097152,fp16,0.0030,0.0079,0.0035,0.38,0.86
n=2097152,bf16,0.0028,0.0079,0.0036,0.35,0.77
n=2097152,fp32,0.0038,0.0088,0.0041,0.42,0.91
n=2097152,int8,0.0025,0.0076,0.0035,0.34,0.73
n=3145728,fp16,0.0038,0.0094,0.0033,0.41,1.16
n=3145728,bf16,0.0034,0.0093,0.0032,0.37,1.07
n=3145728,fp32,0.0055,0.0114,0.0053,0.48,1.04
n=3145728,int8,0.0032,0.0097,0.0033,0.33,0.99
n=4194304,fp16,0.0047,0.0118,0.0038,0.40,1.22
n=4194304,bf16,0.0043,0.0118,0.0038,0.36,1.12
n=4194304,fp32,0.0072,0.0135,0.0067,0.53,1.06
n=4194304,int8,0.0038,0.0112,0.0036,0.34,1.07
n=5242880,fp16,0.0054,0.0142,0.0049,0.38,1.10
n=5242880,bf16,0.0054,0.0145,0.0052,0.37,1.04
n=5242880,fp32,0.0088,0.0162,0.0087,0.54,1.01
n=5242880,int8,0.0046,0.0135,0.0051,0.34,0.90
n=6291456,fp16,0.0065,0.0166,0.0054,0.39,1.19
n=6291456,bf16,0.0060,0.0164,0.0052,0.37,1.14
n=6291456,fp32,0.0102,0.0185,0.0100,0.55,1.02
n=6291456,int8,0.0051,0.0152,0.0048,0.34,1.06
n=7340032,fp16,0.0074,0.0184,0.0062,0.40,1.20
n=7340032,bf16,0.0069,0.0186,0.0064,0.37,1.08
n=7340032,fp32,0.0117,0.0201,0.0114,0.58,1.02
n=7340032,int8,0.0055,0.0165,0.0050,0.33,1.11
n=8388608,fp16,0.0084,0.0208,0.0075,0.40,1.12
n=8388608,bf16,0.0077,0.0208,0.0075,0.37,1.04
n=8388608,fp32,0.0127,0.0218,0.0129,0.58,0.99
n=8388608,int8,0.0064,0.0192,0.0071,0.33,0.90
n=9437184,fp16,0.0092,0.0225,0.0083,0.41,1.11
n=9437184,bf16,0.0086,0.0224,0.0083,0.38,1.03
n=9437184,fp32,0.0140,0.0242,0.0139,0.58,1.00
n=9437184,int8,0.0071,0.0212,0.0078,0.33,0.90
n=10485760,fp16,0.0101,0.0233,0.0087,0.43,1.15
n=10485760,bf16,0.0096,0.0233,0.0091,0.41,1.06
n=10485760,fp32,0.0152,0.0261,0.0152,0.58,1.00
n=10485760,int8,0.0077,0.0223,0.0069,0.34,1.10
n=11534336,fp16,0.0111,0.0261,0.0099,0.43,1.12
n=11534336,bf16,0.0102,0.0262,0.0100,0.39,1.03
n=11534336,fp32,0.0164,0.0277,0.0163,0.59,1.01
n=11534336,int8,0.0079,0.0242,0.0090,0.33,0.87
n=12582912,fp16,0.0120,0.0280,0.0107,0.43,1.12
n=12582912,bf16,0.0109,0.0270,0.0106,0.40,1.03
n=12582912,fp32,0.0177,0.0299,0.0177,0.59,1.00
n=12582912,int8,0.0086,0.0250,0.0098,0.34,0.87
n=13631488,fp16,0.0128,0.0295,0.0108,0.43,1.19
n=13631488,bf16,0.0117,0.0295,0.0105,0.40,1.11
n=13631488,fp32,0.0188,0.0320,0.0201,0.59,0.93
n=13631488,int8,0.0093,0.0269,0.0088,0.35,1.06
n=14680064,fp16,0.0135,0.0311,0.0114,0.44,1.19
n=14680064,bf16,0.0124,0.0313,0.0114,0.40,1.08
n=14680064,fp32,0.0201,0.0340,0.0204,0.59,0.99
n=14680064,int8,0.0100,0.0285,0.0090,0.35,1.11
n=15728640,fp16,0.0143,0.0318,0.0125,0.45,1.14
n=15728640,bf16,0.0131,0.0320,0.0127,0.41,1.03
n=15728640,fp32,0.0214,0.0358,0.0213,0.60,1.00
n=15728640,int8,0.0105,0.0302,0.0120,0.35,0.88
n=16777216,fp16,0.0151,0.0347,0.0125,0.43,1.20
n=16777216,bf16,0.0137,0.0347,0.0127,0.40,1.08
n=16777216,fp32,0.0226,0.0372,0.0227,0.61,1.00
n=16777216,int8,0.0113,0.0331,0.0101,0.34,1.11
n=17825792,fp16,0.0160,0.0354,0.0134,0.45,1.19
n=17825792,bf16,0.0144,0.0364,0.0131,0.39,1.09
n=17825792,fp32,0.0238,0.0392,0.0253,0.61,0.94
n=17825792,int8,0.0119,0.0350,0.0110,0.34,1.08
n=18874368,fp16,0.0169,0.0371,0.0142,0.45,1.18
n=18874368,bf16,0.0151,0.0372,0.0138,0.41,1.09
n=18874368,fp32,0.0251,0.0415,0.0266,0.60,0.94
n=18874368,int8,0.0125,0.0367,0.0116,0.34,1.08
n=19922944,fp16,0.0175,0.0389,0.0145,0.45,1.20
n=19922944,bf16,0.0158,0.0389,0.0145,0.41,1.09
n=19922944,fp32,0.0262,0.0430,0.0264,0.61,0.99
n=19922944,int8,0.0133,0.0374,0.0118,0.35,1.12
n=20971520,fp16,0.0184,0.0416,0.0152,0.44,1.21
n=20971520,bf16,0.0166,0.0406,0.0157,0.41,1.06
n=20971520,fp32,0.0275,0.0453,0.0277,0.61,0.99
n=20971520,int8,0.0139,0.0390,0.0124,0.36,1.12
