params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=1048576,fp16,0.0023,0.0079,0.0024,0.29,0.97
n=1048576,bf16,0.0023,0.0075,0.0024,0.31,0.96
n=1048576,fp32,0.0027,0.0077,0.0026,0.34,1.01
n=1048576,int8,0.0020,0.0073,0.0020,0.28,0.99
n=2097152,fp16,0.0032,0.0117,0.0030,0.28,1.06
n=2097152,bf16,0.0030,0.0118,0.0031,0.25,0.97
n=2097152,fp32,0.0042,0.0127,0.0042,0.33,1.01
n=2097152,int8,0.0025,0.0112,0.0029,0.22,0.85
n=3145728,fp16,0.0039,0.0150,0.0035,0.26,1.12
n=3145728,bf16,0.0037,0.0151,0.0036,0.25,1.05
n=3145728,fp32,0.0055,0.0165,0.0054,0.33,1.00
n=3145728,int8,0.0031,0.0146,0.0036,0.21,0.88
n=4194304,fp16,0.0047,0.0183,0.0043,0.25,1.09
n=4194304,bf16,0.0043,0.0181,0.0041,0.24,1.05
n=4194304,fp32,0.0071,0.0201,0.0070,0.35,1.01
n=4194304,int8,0.0038,0.0178,0.0042,0.21,0.91
n=5242880,fp16,0.0054,0.0222,0.0049,0.25,1.12
n=5242880,bf16,0.0052,0.0223,0.0050,0.23,1.05
n=5242880,fp32,0.0088,0.0245,0.0087,0.36,1.02
n=5242880,int8,0.0044,0.0211,0.0049,0.21,0.90
n=6291456,fp16,0.0065,0.0260,0.0059,0.25,1.11
n=6291456,bf16,0.0060,0.0261,0.0059,0.23,1.02
n=6291456,fp32,0.0101,0.0281,0.0101,0.36,1.00
n=6291456,int8,0.0051,0.0249,0.0057,0.20,0.89
n=7340032,fp16,0.0072,0.0298,0.0066,0.24,1.10
n=7340032,bf16,0.0071,0.0297,0.0069,0.24,1.03
n=7340032,fp32,0.0114,0.0318,0.0114,0.36,1.00
n=7340032,int8,0.0056,0.0278,0.0063,0.20,0.89
n=8388608,fp16,0.0085,0.0336,0.0076,0.25,1.12
n=8388608,bf16,0.0078,0.0335,0.0076,0.23,1.03
n=8388608,fp32,0.0126,0.0356,0.0126,0.35,1.00
n=8388608,int8,0.0063,0.0318,0.0072,0.20,0.88
n=9437184,fp16,0.0094,0.0371,0.0085,0.25,1.11
n=9437184,bf16,0.0085,0.0371,0.0083,0.23,1.03
n=9437184,fp32,0.0141,0.0391,0.0141,0.36,1.00
n=9437184,int8,0.0067,0.0346,0.0076,0.19,0.88
n=10485760,fp16,0.0102,0.0409,0.0091,0.25,1.12
n=10485760,bf16,0.0095,0.0408,0.0092,0.23,1.04
n=10485760,fp32,0.0151,0.0428,0.0151,0.35,1.00
n=10485760,int8,0.0074,0.0380,0.0084,0.19,0.88
n=11534336,fp16,0.0111,0.0443,0.0099,0.25,1.12
n=11534336,bf16,0.0102,0.0443,0.0099,0.23,1.03
n=11534336,fp32,0.0164,0.0467,0.0164,0.35,1.00
n=11534336,int8,0.0080,0.0419,0.0091,0.19,0.88
n=12582912,fp16,0.0118,0.0479,0.0107,0.25,1.11
n=12582912,bf16,0.0110,0.0479,0.0106,0.23,1.03
n=12582912,fp32,0.0176,0.0503,0.0175,0.35,1.00
n=12582912,int8,0.0085,0.0454,0.0098,0.19,0.87
n=13631488,fp16,0.0127,0.0515,0.0112,0.25,1.13
n=13631488,bf16,0.0117,0.0516,0.0113,0.23,1.03
n=13631488,fp32,0.0189,0.0539,0.0189,0.35,1.00
n=13631488,int8,0.0091,0.0488,0.0105,0.19,0.87
n=14680064,fp16,0.0135,0.0549,0.0119,0.24,1.13
n=14680064,bf16,0.0123,0.0550,0.0119,0.22,1.03
n=14680064,fp32,0.0202,0.0577,0.0202,0.35,1.00
n=14680064,int8,0.0099,0.0523,0.0113,0.19,0.88
n=15728640,fp16,0.0142,0.0585,0.0125,0.24,1.14
n=15728640,bf16,0.0131,0.0585,0.0127,0.22,1.03
n=15728640,fp32,0.0213,0.0613,0.0213,0.35,1.00
n=15728640,int8,0.0104,0.0559,0.0120,0.19,0.87
n=16777216,fp16,0.0151,0.0621,0.0133,0.24,1.13
n=16777216,bf16,0.0138,0.0622,0.0135,0.22,1.03
n=16777216,fp32,0.0225,0.0650,0.0225,0.35,1.00
n=16777216,int8,0.0112,0.0595,0.0128,0.19,0.88
n=17825792,fp16,0.0159,0.0656,0.0140,0.24,1.14
n=17825792,bf16,0.0144,0.0657,0.0140,0.22,1.03
n=17825792,fp32,0.0238,0.0687,0.0237,0.35,1.00
n=17825792,int8,0.0120,0.0629,0.0136,0.19,0.88
n=18874368,fp16,0.0166,0.0691,0.0146,0.24,1.14
n=18874368,bf16,0.0151,0.0690,0.0147,0.22,1.03
n=18874368,fp32,0.0250,0.0724,0.0249,0.35,1.00
n=18874368,int8,0.0125,0.0663,0.0143,0.19,0.88
n=19922944,fp16,0.0174,0.0726,0.0154,0.24,1.13
n=19922944,bf16,0.0158,0.0727,0.0154,0.22,1.03
n=19922944,fp32,0.0262,0.0761,0.0263,0.34,1.00
n=19922944,int8,0.0132,0.0697,0.0150,0.19,0.88
n=20971520,fp16,0.0183,0.0763,0.0160,0.24,1.14
n=20971520,bf16,0.0166,0.0762,0.0161,0.22,1.03
n=20971520,fp32,0.0275,0.0796,0.0274,0.34,1.00
n=20971520,int8,0.0138,0.0732,0.0157,0.19,0.88
