params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
K=512,fp16,0.0267,0.0130,0.0030,2.06,8.88
K=512,bf16,0.0267,0.0130,0.0032,2.05,8.40
K=512,fp32,0.0171,0.0133,0.0031,1.28,5.42
K=1024,fp16,0.0364,0.0142,0.0036,2.57,10.07
K=1024,bf16,0.0366,0.0143,0.0037,2.57,9.89
K=1024,fp32,0.0245,0.0158,0.0040,1.55,6.09
K=1536,fp16,0.0477,0.0162,0.0049,2.95,9.71
K=1536,bf16,0.0475,0.0162,0.0047,2.94,10.04
K=1536,fp32,0.0319,0.0181,0.0060,1.77,5.34
K=2048,fp16,0.0552,0.0162,0.0049,3.41,11.26
K=2048,bf16,0.0571,0.0164,0.0050,3.49,11.33
K=2048,fp32,0.0379,0.0187,0.0078,2.03,4.89
K=2560,fp16,0.0668,0.0194,0.0073,3.45,9.21
K=2560,bf16,0.0677,0.0195,0.0073,3.47,9.25
K=2560,fp32,0.0455,0.0217,0.0107,2.10,4.24
K=3072,fp16,0.0762,0.0203,0.0079,3.74,9.69
K=3072,bf16,0.0756,0.0204,0.0079,3.71,9.59
K=3072,fp32,0.0513,0.0229,0.0123,2.24,4.16
K=3584,fp16,0.0857,0.0205,0.0079,4.19,10.83
K=3584,bf16,0.0861,0.0205,0.0083,4.20,10.32
K=3584,fp32,0.0589,0.0260,0.0127,2.26,4.65
K=4096,fp16,0.0937,0.0206,0.0087,4.54,10.75
K=4096,bf16,0.0941,0.0207,0.0089,4.55,10.56
K=4096,fp32,0.0649,0.0270,0.0148,2.40,4.37
K=4608,fp16,0.1055,0.0231,0.0106,4.56,9.98
K=4608,bf16,0.1052,0.0233,0.0108,4.52,9.70
K=4608,fp32,0.0750,0.0293,0.0170,2.56,4.40
K=5120,fp16,0.1183,0.0234,0.0111,5.06,10.62
K=5120,bf16,0.1207,0.0235,0.0112,5.13,10.81
K=5120,fp32,0.0848,0.0301,0.0189,2.81,4.49
K=5632,fp16,0.1350,0.0238,0.0125,5.67,10.80
K=5632,bf16,0.1360,0.0238,0.0126,5.72,10.75
K=5632,fp32,0.0982,0.0339,0.0224,2.90,4.39
K=6144,fp16,0.1541,0.0244,0.0129,6.32,11.95
K=6144,bf16,0.1540,0.0246,0.0131,6.26,11.76
K=6144,fp32,0.1095,0.0345,0.0245,3.18,4.47
K=6656,fp16,0.1703,0.0272,0.0143,6.25,11.91
K=6656,bf16,0.1722,0.0272,0.0143,6.33,12.07
K=6656,fp32,0.1233,0.0397,0.0271,3.11,4.55
K=7168,fp16,0.1856,0.0274,0.0146,6.77,12.68
K=7168,bf16,0.1869,0.0281,0.0149,6.65,12.52
K=7168,fp32,0.1342,0.0409,0.0297,3.28,4.53
K=7680,fp16,0.2012,0.0284,0.0166,7.08,12.13
K=7680,bf16,0.2013,0.0287,0.0233,7.02,8.64
K=7680,fp32,0.1451,0.0416,0.0264,3.49,5.50
K=8192,fp16,0.1964,0.0288,0.0173,6.83,11.37
K=8192,bf16,0.1970,0.0288,0.0241,6.85,8.18
K=8192,fp32,0.1371,0.0422,0.0274,3.25,5.00
K=8704,fp16,0.2099,0.0314,0.0193,6.69,10.85
K=8704,bf16,0.2103,0.0315,0.0189,6.67,11.10
K=8704,fp32,0.1468,0.0478,0.0370,3.07,3.96
K=9216,fp16,0.2235,0.0323,0.0200,6.92,11.20
K=9216,bf16,0.2242,0.0325,0.0200,6.90,11.21
K=9216,fp32,0.1556,0.0490,0.0389,3.18,4.00
K=9728,fp16,0.2362,0.0322,0.0213,7.35,11.06
K=9728,bf16,0.2369,0.0322,0.0219,7.36,10.84
K=9728,fp32,0.1638,0.0502,0.0412,3.26,3.98
K=10240,fp16,0.2509,0.0324,0.0224,7.74,11.22
K=10240,bf16,0.2504,0.0329,0.0225,7.62,11.12
K=10240,fp32,0.1731,0.0511,0.0429,3.39,4.04
