params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
K=512,fp16,0.0267,0.0156,0.0035,1.71,7.60
K=512,bf16,0.0254,0.0157,0.0035,1.62,7.19
K=512,fp32,0.0173,0.0161,0.0035,1.08,4.93
K=1024,fp16,0.0372,0.0167,0.0036,2.23,10.38
K=1024,bf16,0.0357,0.0166,0.0037,2.15,9.72
K=1024,fp32,0.0242,0.0170,0.0041,1.42,5.93
K=1536,fp16,0.0473,0.0186,0.0057,2.55,8.31
K=1536,bf16,0.0474,0.0185,0.0052,2.56,9.10
K=1536,fp32,0.0323,0.0203,0.0074,1.59,4.39
K=2048,fp16,0.0552,0.0187,0.0058,2.96,9.47
K=2048,bf16,0.0558,0.0187,0.0063,2.99,8.83
K=2048,fp32,0.0379,0.0202,0.0090,1.87,4.19
K=2560,fp16,0.0664,0.0209,0.0080,3.18,8.25
K=2560,bf16,0.0667,0.0212,0.0078,3.15,8.56
K=2560,fp32,0.0457,0.0233,0.0116,1.96,3.95
K=3072,fp16,0.0759,0.0220,0.0084,3.45,9.04
K=3072,bf16,0.0757,0.0223,0.0085,3.39,8.93
K=3072,fp32,0.0518,0.0246,0.0129,2.11,4.00
K=3584,fp16,0.0855,0.0249,0.0118,3.43,7.25
K=3584,bf16,0.0861,0.0241,0.0108,3.58,7.96
K=3584,fp32,0.0585,0.0271,0.0138,2.16,4.25
K=4096,fp16,0.0935,0.0239,0.0126,3.91,7.42
K=4096,bf16,0.0946,0.0239,0.0116,3.95,8.16
K=4096,fp32,0.0654,0.0278,0.0154,2.35,4.25
K=4608,fp16,0.1049,0.0267,0.0148,3.92,7.10
K=4608,bf16,0.1060,0.0268,0.0140,3.95,7.59
K=4608,fp32,0.0748,0.0314,0.0169,2.38,4.44
K=5120,fp16,0.1197,0.0269,0.0157,4.45,7.63
K=5120,bf16,0.1197,0.0270,0.0147,4.43,8.16
K=5120,fp32,0.0828,0.0322,0.0187,2.57,4.43
K=5632,fp16,0.1343,0.0297,0.0168,4.53,7.99
K=5632,bf16,0.1345,0.0297,0.0166,4.53,8.11
K=5632,fp32,0.0971,0.0364,0.0196,2.66,4.96
K=6144,fp16,0.1546,0.0295,0.0175,5.23,8.81
K=6144,bf16,0.1544,0.0297,0.0172,5.20,8.97
K=6144,fp32,0.1088,0.0393,0.0216,2.77,5.04
K=6656,fp16,0.1711,0.0332,0.0210,5.15,8.13
K=6656,bf16,0.1733,0.0332,0.0193,5.23,8.99
K=6656,fp32,0.1212,0.0439,0.0233,2.76,5.20
K=7168,fp16,0.1863,0.0332,0.0218,5.62,8.56
K=7168,bf16,0.1876,0.0332,0.0198,5.65,9.49
K=7168,fp32,0.1339,0.0460,0.0248,2.91,5.39
K=7680,fp16,0.2012,0.0365,0.0166,5.52,12.09
K=7680,bf16,0.2016,0.0367,0.0233,5.48,8.67
K=7680,fp32,0.1458,0.0509,0.0263,2.87,5.54
K=8192,fp16,0.1966,0.0364,0.0172,5.40,11.44
K=8192,bf16,0.1978,0.0364,0.0240,5.44,8.24
K=8192,fp32,0.1378,0.0489,0.0277,2.82,4.98
K=8704,fp16,0.2091,0.0387,0.0217,5.40,9.62
K=8704,bf16,0.2112,0.0390,0.0227,5.42,9.28
K=8704,fp32,0.1458,0.0545,0.0294,2.68,4.95
K=9216,fp16,0.2224,0.0401,0.0225,5.55,9.90
K=9216,bf16,0.2235,0.0400,0.0246,5.58,9.10
K=9216,fp32,0.1559,0.0568,0.0305,2.75,5.10
K=9728,fp16,0.2359,0.0434,0.0259,5.43,9.10
K=9728,bf16,0.2369,0.0426,0.0266,5.56,8.90
K=9728,fp32,0.1646,0.0624,0.0322,2.64,5.11
K=10240,fp16,0.2501,0.0429,0.0267,5.83,9.38
K=10240,bf16,0.2507,0.0436,0.0279,5.76,9.00
K=10240,fp32,0.1730,0.0605,0.0344,2.86,5.03
