params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
seq_len=1024,fp16,0.0395,0.0779,0.0137,0.51,2.89
seq_len=1024,fp32,0.0433,0.0777,0.0130,0.56,3.33
seq_len=2048,fp16,0.0644,0.1642,0.0242,0.39,2.66
seq_len=2048,fp32,0.0762,0.1662,0.0229,0.46,3.32
seq_len=3072,fp16,0.0880,0.2347,0.0330,0.37,2.67
seq_len=3072,fp32,0.1163,0.2396,0.0315,0.49,3.69
seq_len=4096,fp16,0.1145,0.3071,0.0428,0.37,2.68
seq_len=4096,fp32,0.1556,0.3272,0.0441,0.48,3.53
seq_len=5120,fp16,0.1456,0.3790,0.0496,0.38,2.94
seq_len=5120,fp32,0.1937,0.4198,0.0553,0.46,3.51
seq_len=6144,fp16,0.1765,0.4575,0.0590,0.39,2.99
seq_len=6144,fp32,0.2320,0.5081,0.0657,0.46,3.53
seq_len=7168,fp16,0.2057,0.5452,0.0695,0.38,2.96
seq_len=7168,fp32,0.2705,0.5935,0.0773,0.46,3.50
seq_len=8192,fp16,0.2347,0.6377,0.0810,0.37,2.90
seq_len=8192,fp32,0.3104,0.6777,0.0869,0.46,3.57
seq_len=9216,fp16,0.2627,0.7294,0.0916,0.36,2.87
seq_len=9216,fp32,0.3495,0.7622,0.0973,0.46,3.59
seq_len=10240,fp16,0.2911,0.8193,0.1013,0.36,2.87
seq_len=10240,fp32,0.3881,0.8470,0.1088,0.46,3.57
seq_len=11264,fp16,0.3202,0.9072,0.1114,0.35,2.87
seq_len=11264,fp32,0.4256,0.9313,0.1198,0.46,3.55
seq_len=12288,fp16,0.3491,0.9918,0.1215,0.35,2.87
seq_len=12288,fp32,0.4634,1.0133,0.1309,0.46,3.54
seq_len=13312,fp16,0.3758,1.0762,0.1315,0.35,2.86
seq_len=13312,fp32,0.5005,1.0978,0.1417,0.46,3.53
seq_len=14336,fp16,0.4046,1.1614,0.1413,0.35,2.86
seq_len=14336,fp32,0.5375,1.1805,0.1523,0.46,3.53
seq_len=15360,fp16,0.4325,1.2438,0.1514,0.35,2.86
seq_len=15360,fp32,0.5746,1.2627,0.1622,0.46,3.54
seq_len=16384,fp16,0.4587,1.3285,0.1617,0.35,2.84
seq_len=16384,fp32,0.6119,1.3456,0.1722,0.45,3.55
seq_len=17408,fp16,0.4864,1.4123,0.1712,0.34,2.84
seq_len=17408,fp32,0.6494,1.4282,0.1828,0.45,3.55
seq_len=18432,fp16,0.5143,1.4963,0.1814,0.34,2.84
seq_len=18432,fp32,0.6872,1.5113,0.1932,0.45,3.56
seq_len=19456,fp16,0.5414,1.5798,0.1914,0.34,2.83
seq_len=19456,fp32,0.7242,1.5946,0.2041,0.45,3.55
seq_len=20480,fp16,0.5689,1.6628,0.2014,0.34,2.82
seq_len=20480,fp32,0.7622,1.6764,0.2145,0.45,3.55
