params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=2500000,fp16,0.0159,0.0074,0.0044,2.14,3.63
n=2500000,bf16,0.0160,0.0068,0.0043,2.37,3.75
n=2500000,fp32,0.0048,0.0083,0.0051,0.58,0.94
n=5000000,fp16,0.0262,0.0087,0.0071,3.02,3.71
n=5000000,bf16,0.0264,0.0090,0.0076,2.92,3.48
n=5000000,fp32,0.0088,0.0122,0.0090,0.72,0.98
n=7500000,fp16,0.0355,0.0108,0.0099,3.30,3.59
n=7500000,bf16,0.0358,0.0110,0.0095,3.25,3.75
n=7500000,fp32,0.0118,0.0164,0.0125,0.72,0.95
n=10000000,fp16,0.0459,0.0145,0.0126,3.17,3.66
n=10000000,bf16,0.0461,0.0146,0.0125,3.15,3.69
n=10000000,fp32,0.0151,0.0191,0.0155,0.79,0.98
n=12500000,fp16,0.0564,0.0164,0.0150,3.45,3.75
n=12500000,bf16,0.0569,0.0163,0.0151,3.48,3.77
n=12500000,fp32,0.0179,0.0228,0.0184,0.78,0.97
n=15000000,fp16,0.0686,0.0188,0.0175,3.65,3.91
n=15000000,bf16,0.0692,0.0187,0.0175,3.70,3.96
n=15000000,fp32,0.0205,0.0259,0.0212,0.79,0.97
n=17500000,fp16,0.0823,0.0213,0.0200,3.86,4.12
n=17500000,bf16,0.0829,0.0207,0.0199,4.00,4.16
n=17500000,fp32,0.0237,0.0289,0.0243,0.82,0.97
n=20000000,fp16,0.0958,0.0223,0.0222,4.30,4.32
n=20000000,bf16,0.0959,0.0222,0.0221,4.32,4.35
n=20000000,fp32,0.0264,0.0319,0.0321,0.83,0.82
n=22500000,fp16,0.1088,0.0234,0.0242,4.64,4.49
n=22500000,bf16,0.1088,0.0235,0.0242,4.62,4.51
n=22500000,fp32,0.0293,0.0352,0.0346,0.83,0.85
n=25000000,fp16,0.1210,0.0254,0.0273,4.76,4.43
n=25000000,bf16,0.1218,0.0254,0.0273,4.78,4.46
n=25000000,fp32,0.0319,0.0381,0.0334,0.84,0.96
n=27500000,fp16,0.1329,0.0272,0.0297,4.88,4.48
n=27500000,bf16,0.1341,0.0272,0.0298,4.93,4.51
n=27500000,fp32,0.0349,0.0414,0.0367,0.84,0.95
n=30000000,fp16,0.1452,0.0291,0.0308,4.99,4.72
n=30000000,bf16,0.1464,0.0292,0.0306,5.01,4.78
n=30000000,fp32,0.0379,0.0443,0.0440,0.86,0.86
n=32500000,fp16,0.1573,0.0308,0.0329,5.10,4.78
n=32500000,bf16,0.1587,0.0309,0.0328,5.13,4.83
n=32500000,fp32,0.0407,0.0476,0.0465,0.85,0.88
n=35000000,fp16,0.1688,0.0324,0.0351,5.20,4.81
n=35000000,bf16,0.1701,0.0330,0.0349,5.15,4.87
n=35000000,fp32,0.0437,0.0504,0.0490,0.87,0.89
n=37500000,fp16,0.1802,0.0345,0.0372,5.23,4.85
n=37500000,bf16,0.1820,0.0349,0.0371,5.22,4.91
n=37500000,fp32,0.0464,0.0535,0.0515,0.87,0.90
n=40000000,fp16,0.1919,0.0362,0.0393,5.30,4.89
n=40000000,bf16,0.1935,0.0364,0.0392,5.32,4.93
n=40000000,fp32,0.0493,0.0565,0.0559,0.87,0.88
n=42500000,fp16,0.2042,0.0383,0.0414,5.34,4.93
n=42500000,bf16,0.2059,0.0383,0.0413,5.38,4.98
n=42500000,fp32,0.0521,0.0596,0.0586,0.87,0.89
n=45000000,fp16,0.2153,0.0399,0.0436,5.40,4.94
n=45000000,bf16,0.2167,0.0401,0.0435,5.41,4.98
n=45000000,fp32,0.0547,0.0625,0.0611,0.88,0.90
n=47500000,fp16,0.2263,0.0417,0.0456,5.43,4.96
n=47500000,bf16,0.2282,0.0418,0.0455,5.46,5.01
n=47500000,fp32,0.0578,0.0660,0.0642,0.88,0.90
n=50000000,fp16,0.2381,0.0434,0.0478,5.48,4.98
n=50000000,bf16,0.2404,0.0435,0.0477,5.52,5.04
n=50000000,fp32,0.0605,0.0686,0.0678,0.88,0.89
