params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n=2500000,fp16,0.0159,0.0141,0.0044,1.13,3.60
n=2500000,bf16,0.0157,0.0133,0.0043,1.19,3.68
n=2500000,fp32,0.0048,0.0151,0.0051,0.32,0.94
n=5000000,fp16,0.0259,0.0214,0.0069,1.21,3.74
n=5000000,bf16,0.0265,0.0219,0.0070,1.21,3.80
n=5000000,fp32,0.0086,0.0236,0.0088,0.36,0.97
n=7500000,fp16,0.0354,0.0305,0.0098,1.16,3.60
n=7500000,bf16,0.0356,0.0301,0.0096,1.18,3.72
n=7500000,fp32,0.0119,0.0327,0.0124,0.37,0.97
n=10000000,fp16,0.0458,0.0392,0.0124,1.17,3.71
n=10000000,bf16,0.0465,0.0391,0.0126,1.19,3.68
n=10000000,fp32,0.0148,0.0414,0.0153,0.36,0.97
n=12500000,fp16,0.0562,0.0478,0.0151,1.18,3.74
n=12500000,bf16,0.0569,0.0478,0.0150,1.19,3.79
n=12500000,fp32,0.0175,0.0501,0.0182,0.35,0.96
n=15000000,fp16,0.0687,0.0560,0.0175,1.23,3.92
n=15000000,bf16,0.0695,0.0561,0.0175,1.24,3.97
n=15000000,fp32,0.0207,0.0590,0.0212,0.35,0.97
n=17500000,fp16,0.0823,0.0644,0.0199,1.28,4.13
n=17500000,bf16,0.0832,0.0645,0.0199,1.29,4.17
n=17500000,fp32,0.0232,0.0677,0.0242,0.34,0.96
n=20000000,fp16,0.0956,0.0731,0.0224,1.31,4.27
n=20000000,bf16,0.0963,0.0730,0.0224,1.32,4.30
n=20000000,fp32,0.0268,0.0764,0.0273,0.35,0.98
n=22500000,fp16,0.1087,0.0816,0.0248,1.33,4.39
n=22500000,bf16,0.1094,0.0814,0.0249,1.34,4.40
n=22500000,fp32,0.0292,0.0853,0.0304,0.34,0.96
n=25000000,fp16,0.1210,0.0898,0.0272,1.35,4.45
n=25000000,bf16,0.1217,0.0898,0.0272,1.36,4.47
n=25000000,fp32,0.0321,0.0938,0.0333,0.34,0.96
n=27500000,fp16,0.1332,0.0983,0.0296,1.35,4.50
n=27500000,bf16,0.1343,0.0982,0.0297,1.37,4.52
n=27500000,fp32,0.0354,0.1025,0.0363,0.34,0.97
n=30000000,fp16,0.1456,0.1065,0.0321,1.37,4.54
n=30000000,bf16,0.1454,0.1064,0.0322,1.37,4.52
n=30000000,fp32,0.0380,0.1116,0.0393,0.34,0.97
n=32500000,fp16,0.1574,0.1150,0.0345,1.37,4.56
n=32500000,bf16,0.1586,0.1150,0.0346,1.38,4.59
n=32500000,fp32,0.0408,0.1203,0.0425,0.34,0.96
n=35000000,fp16,0.1689,0.1234,0.0369,1.37,4.58
n=35000000,bf16,0.1701,0.1235,0.0370,1.38,4.60
n=35000000,fp32,0.0437,0.1290,0.0452,0.34,0.97
n=37500000,fp16,0.1808,0.1318,0.0393,1.37,4.59
n=37500000,bf16,0.1825,0.1318,0.0395,1.38,4.62
n=37500000,fp32,0.0465,0.1376,0.0484,0.34,0.96
n=40000000,fp16,0.1919,0.1402,0.0418,1.37,4.59
n=40000000,bf16,0.1939,0.1400,0.0419,1.38,4.63
n=40000000,fp32,0.0492,0.1464,0.0513,0.34,0.96
n=42500000,fp16,0.2042,0.1485,0.0441,1.38,4.63
n=42500000,bf16,0.2051,0.1485,0.0443,1.38,4.63
n=42500000,fp32,0.0521,0.1550,0.0543,0.34,0.96
n=45000000,fp16,0.2159,0.1570,0.0465,1.38,4.64
n=45000000,bf16,0.2165,0.1568,0.0467,1.38,4.64
n=45000000,fp32,0.0553,0.1637,0.0573,0.34,0.96
n=47500000,fp16,0.2263,0.1652,0.0489,1.37,4.63
n=47500000,bf16,0.2283,0.1652,0.0491,1.38,4.65
n=47500000,fp32,0.0581,0.1726,0.0601,0.34,0.97
n=50000000,fp16,0.2381,0.1737,0.0513,1.37,4.64
n=50000000,bf16,0.2400,0.1736,0.0515,1.38,4.66
n=50000000,fp32,0.0607,0.1813,0.0631,0.33,0.96
