params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
n_cols=512,fp16,0.0049,0.0122,0.0060,0.40,0.82
n_cols=512,fp32,0.0037,0.0132,0.0064,0.28,0.58
n_cols=1024,fp16,0.0086,0.0129,0.0062,0.66,1.38
n_cols=1024,fp32,0.0057,0.0134,0.0067,0.42,0.85
n_cols=1536,fp16,0.0179,0.0145,0.0098,1.23,1.83
n_cols=1536,fp32,0.0121,0.0159,0.0110,0.76,1.11
n_cols=2048,fp16,0.0211,0.0148,0.0100,1.43,2.10
n_cols=2048,fp32,0.0143,0.0161,0.0116,0.89,1.23
n_cols=2560,fp16,0.0222,0.0178,0.0139,1.25,1.60
n_cols=2560,fp32,0.0238,0.0196,0.0154,1.21,1.54
n_cols=3072,fp16,0.0235,0.0177,0.0139,1.33,1.69
n_cols=3072,fp32,0.0254,0.0198,0.0163,1.28,1.56
n_cols=3584,fp16,0.0269,0.0205,0.0180,1.31,1.49
n_cols=3584,fp32,0.0281,0.0230,0.0207,1.22,1.36
n_cols=4096,fp16,0.0285,0.0207,0.0180,1.38,1.58
n_cols=4096,fp32,0.0299,0.0239,0.0214,1.25,1.39
n_cols=4608,fp16,0.0456,0.0239,0.0217,1.91,2.10
n_cols=4608,fp32,0.0473,0.0277,0.0256,1.71,1.85
n_cols=5120,fp16,0.0470,0.0239,0.0218,1.96,2.15
n_cols=5120,fp32,0.0488,0.0277,0.0263,1.76,1.85
n_cols=5632,fp16,0.0511,0.0266,0.0252,1.93,2.03
n_cols=5632,fp32,0.0528,0.0313,0.0306,1.69,1.73
n_cols=6144,fp16,0.0525,0.0265,0.0255,1.98,2.06
n_cols=6144,fp32,0.0548,0.0319,0.0317,1.71,1.73
n_cols=6656,fp16,0.0558,0.0295,0.0294,1.89,1.90
n_cols=6656,fp32,0.0576,0.0358,0.0347,1.61,1.66
n_cols=7168,fp16,0.0571,0.0295,0.0296,1.94,1.93
n_cols=7168,fp32,0.0599,0.0365,0.0346,1.64,1.73
n_cols=7680,fp16,0.0651,0.0325,0.0339,2.01,1.92
n_cols=7680,fp32,0.0647,0.0419,0.0389,1.54,1.66
n_cols=8192,fp16,0.0664,0.0325,0.0341,2.05,1.95
n_cols=8192,fp32,0.0655,0.0421,0.0391,1.56,1.68
n_cols=8704,fp16,0.0654,0.0362,0.0382,1.81,1.71
n_cols=8704,fp32,0.0685,0.0469,0.0442,1.46,1.55
n_cols=9216,fp16,0.0668,0.0361,0.0381,1.85,1.75
n_cols=9216,fp32,0.0697,0.0469,0.0443,1.48,1.57
n_cols=9728,fp16,0.0447,0.0391,0.0428,1.14,1.04
n_cols=9728,fp32,0.0497,0.0518,0.0490,0.96,1.01
n_cols=10240,fp16,0.0455,0.0395,0.0428,1.15,1.06
n_cols=10240,fp32,0.0500,0.0521,0.0494,0.96,1.01
