params,dtype,torch_ms,triton_ms,cutile_ms,speedup_triton,speedup_cutile
"m=1024, n=4096",fp16,0.0262,0.0904,0.5278,0.29,0.05
"m=1024, n=4096",bf16,0.0260,0.0899,0.5270,0.29,0.05
"m=1024, n=4096",fp32,0.6021,0.3444,0.5695,1.75,1.06
"m=1024, n=5120",fp16,0.0320,0.1088,0.7094,0.29,0.05
"m=1024, n=5120",bf16,0.0315,0.1085,0.7087,0.29,0.04
"m=1024, n=5120",fp32,0.7794,0.4280,0.7968,1.82,0.98
"m=1024, n=11008",fp16,0.0799,0.1470,1.1243,0.54,0.07
"m=1024, n=11008",bf16,0.0808,0.1468,1.1245,0.55,0.07
"m=1024, n=11008",fp32,1.5457,0.9035,1.3394,1.71,1.15
"m=1024, n=14336",fp16,0.0862,0.1851,1.3122,0.47,0.07
"m=1024, n=14336",bf16,0.0852,0.1842,1.3109,0.46,0.06
"m=1024, n=14336",fp32,2.0075,1.1764,1.4453,1.71,1.39
"m=1024, n=28672",fp16,0.1695,0.3377,2.2657,0.50,0.07
"m=1024, n=28672",bf16,0.1629,0.3223,2.2664,0.51,0.07
"m=1024, n=28672",fp32,3.8589,2.3390,2.5281,1.65,1.53
"m=2048, n=4096",fp16,0.0461,0.1191,0.8810,0.39,0.05
"m=2048, n=4096",bf16,0.0456,0.1182,0.8792,0.39,0.05
"m=2048, n=4096",fp32,1.2364,0.6753,1.0527,1.83,1.17
"m=2048, n=5120",fp16,0.0534,0.1318,1.0228,0.40,0.05
"m=2048, n=5120",bf16,0.0519,0.1319,1.0227,0.39,0.05
"m=2048, n=5120",fp32,1.3902,0.8429,1.2006,1.65,1.16
"m=2048, n=11008",fp16,0.1165,0.2524,1.8360,0.46,0.06
"m=2048, n=11008",bf16,0.1116,0.2533,1.8290,0.44,0.06
"m=2048, n=11008",fp32,2.9246,1.7981,2.0820,1.63,1.40
"m=2048, n=14336",fp16,0.1614,0.3403,2.2483,0.47,0.07
"m=2048, n=14336",bf16,0.1537,0.3337,2.2462,0.46,0.07
"m=2048, n=14336",fp32,3.8464,2.3389,2.5216,1.64,1.53
"m=2048, n=28672",fp16,0.3084,0.6313,4.0412,0.49,0.08
"m=2048, n=28672",bf16,0.2952,0.6313,4.0382,0.47,0.07
"m=2048, n=28672",fp32,7.8219,4.6639,4.5212,1.68,1.73
"m=4096, n=4096",fp16,0.0899,0.2140,1.3706,0.42,0.07
"m=4096, n=4096",bf16,0.0871,0.2100,1.3714,0.41,0.06
"m=4096, n=4096",fp32,2.1573,1.3378,1.7273,1.61,1.25
"m=4096, n=5120",fp16,0.1129,0.2562,1.6821,0.44,0.07
"m=4096, n=5120",bf16,0.1088,0.2530,1.6875,0.43,0.06
"m=4096, n=5120",fp32,2.7745,1.6712,1.9908,1.66,1.39
"m=4096, n=11008",fp16,0.2351,0.4866,3.2054,0.48,0.07
"m=4096, n=11008",bf16,0.2263,0.4814,3.2063,0.47,0.07
"m=4096, n=11008",fp32,5.8541,3.5822,3.6638,1.63,1.60
"m=4096, n=14336",fp16,0.3111,0.6512,3.9970,0.48,0.08
"m=4096, n=14336",bf16,0.2953,0.6592,3.9945,0.45,0.07
"m=4096, n=14336",fp32,7.5274,4.6622,4.5165,1.61,1.67
"m=4096, n=28672",fp16,0.6179,1.3602,7.5895,0.45,0.08
"m=4096, n=28672",bf16,0.5991,1.2242,7.5849,0.49,0.08
"m=4096, n=28672",fp32,14.8028,9.3055,8.4726,1.59,1.75
"m=8192, n=4096",fp16,0.1722,0.3689,2.2108,0.47,0.08
"m=8192, n=4096",bf16,0.1648,0.3619,2.2098,0.46,0.07
"m=8192, n=4096",fp32,4.3110,2.6670,2.8771,1.62,1.50
"m=8192, n=5120",fp16,0.2188,0.4887,2.8547,0.45,0.08
"m=8192, n=5120",bf16,0.2088,0.4445,2.8517,0.47,0.07
"m=8192, n=5120",fp32,5.3775,3.3341,3.3479,1.61,1.61
"m=8192, n=11008",fp16,0.4721,0.9885,5.8469,0.48,0.08
"m=8192, n=11008",bf16,0.4499,0.9728,5.8496,0.46,0.08
"m=8192, n=11008",fp32,11.3215,7.1536,6.6032,1.58,1.71
"m=8192, n=14336",fp16,0.6020,1.3269,7.5174,0.45,0.08
"m=8192, n=14336",bf16,0.6014,1.2665,7.5049,0.47,0.08
"m=8192, n=14336",fp32,14.7656,9.3106,8.4848,1.59,1.74
"m=8192, n=28672",fp16,1.3221,2.6791,14.6359,0.49,0.09
"m=8192, n=28672",bf16,1.2768,2.5471,14.6317,0.50,0.09
"m=8192, n=28672",fp32,29.1836,18.5906,16.3426,1.57,1.79
